Version	3.0
Starting Frame	73
Avg Step Width (cm)	  10.54
R_Velocity	133.554	133.349
R_Stride_Len	142.859	139.661
R_Cadence	113.386	114.286
L_Velocity	135.061	130.038
L_Stride_Len	143.298	141.716
L_Cadence	113.386	109.924
R_Support_Time	62.205	61.905
L_Support_Time	62.205	61.069
R_Non_Support	37.795	38.095
L_Non_Support	37.795	38.931
R_Step_Len	73.217	69.580
L_Step_Len	69.642	70.081	72.136
R_Dbl_Support	12.598	11.905
L_Dbl_Support	12.598	11.450
RHS	48.000	175.000	301.000
LHS	111.000	238.000	369.000
RTO	127.000	253.000	383.000
LTO	64.000	190.000	318.000
RHS FP	
LHS FP	111.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-2.807	-5.906	6.857	-23.964	-4.262	53.714	21.876	1.770	-17.391	32.252	12.697	-10.268	6.580	5.795	8.581	-19.776	1.671	7.044	14.446	10.649	0.809	35.882	15.354	-14.219	0.000	0.000	0.000	1.262	-2.808	2.764	3.751	3.714	0.197	-5.381	65.426	0.000	1.296	-1.145	0.000	-0.142	0.014	0.005	-0.037	-0.008	0.006	-0.018	0.008	-0.002	0.000	0.000	0.000	-0.165	0.004	-0.006	-0.067	-0.006	-0.002	-0.018	0.001	-0.004	0.000	0.000	0.000	0.004	0.011	-0.106	-0.001	-0.013	0.037	-0.001	-0.001	-0.011	-0.000	-0.022	-0.014	0.000	-0.006	-0.004	-0.002	-0.001	-0.008	0.264	-0.036	0.028	-0.026	-0.003	0.005	13.214	25.246	4.767	63.348	72.447	15.547	6.873	22.636
-2.493	-5.512	8.151	-24.049	-4.252	54.025	21.573	1.982	-15.718	32.014	12.793	-10.499	6.003	5.522	7.829	-19.258	1.593	6.783	14.491	10.518	1.241	36.365	15.365	-14.018	0.000	0.000	0.000	1.272	-2.723	2.362	3.470	3.732	0.117	-5.710	62.856	0.000	1.270	-1.046	0.000	-0.138	0.013	0.005	-0.036	-0.008	0.007	-0.017	0.007	-0.002	0.000	0.000	0.000	-0.165	0.001	-0.006	-0.067	-0.007	-0.002	-0.018	0.001	-0.004	0.000	0.000	0.000	0.005	0.015	-0.100	-0.001	-0.011	0.035	-0.001	-0.001	-0.010	-0.000	-0.023	-0.008	0.000	-0.006	-0.006	-0.002	-0.001	-0.008	0.245	-0.018	0.029	-0.014	-0.004	0.005	13.883	31.858	5.162	66.468	71.417	15.749	7.010	23.080
-2.221	-5.113	9.410	-24.016	-4.229	54.150	21.135	2.197	-13.962	31.869	12.916	-10.779	5.446	5.243	7.063	-18.741	1.525	6.493	14.512	10.268	1.676	36.842	15.367	-13.806	0.000	0.000	0.000	1.287	-2.646	1.971	3.178	3.746	0.053	-6.050	60.060	0.000	1.238	-0.936	0.000	-0.134	0.012	0.006	-0.035	-0.008	0.008	-0.016	0.007	-0.002	0.000	0.000	0.000	-0.164	-0.002	-0.006	-0.067	-0.008	-0.001	-0.018	0.001	-0.004	0.000	0.000	0.000	0.006	0.020	-0.092	-0.001	-0.008	0.032	-0.001	-0.000	-0.010	-0.000	-0.023	-0.001	0.000	-0.006	-0.007	-0.002	-0.001	-0.008	0.219	-0.002	0.029	-0.002	-0.005	0.004	13.891	39.122	5.598	68.055	67.802	15.491	7.005	23.329
-1.984	-4.717	10.629	-23.886	-4.191	54.084	20.576	2.401	-12.161	31.810	13.062	-11.106	4.959	4.965	6.281	-18.281	1.468	6.159	14.522	9.924	2.096	37.312	15.360	-13.582	0.000	0.000	0.000	1.310	-2.576	1.593	2.881	3.758	0.003	-6.399	57.073	0.000	1.199	-0.812	0.000	-0.130	0.009	0.007	-0.034	-0.009	0.009	-0.016	0.006	-0.001	0.000	0.000	0.000	-0.162	-0.004	-0.005	-0.066	-0.008	-0.001	-0.017	0.001	-0.004	0.000	0.000	0.000	0.007	0.025	-0.081	-0.001	-0.005	0.028	-0.001	-0.000	-0.010	-0.000	-0.024	0.005	0.000	-0.005	-0.008	-0.002	-0.001	-0.008	0.187	0.012	0.028	0.010	-0.006	0.004	13.355	46.760	6.074	68.749	62.362	14.877	6.900	23.499
-1.776	-4.332	11.800	-23.687	-4.135	53.817	19.921	2.588	-10.358	31.825	13.227	-11.474	4.573	4.691	5.478	-17.921	1.421	5.774	14.531	9.529	2.482	37.775	15.347	-13.347	0.000	0.000	0.000	1.340	-2.514	1.230	2.583	3.769	-0.034	-6.756	53.933	0.000	1.157	-0.671	0.000	-0.126	0.007	0.008	-0.033	-0.010	0.010	-0.015	0.005	-0.001	0.000	0.000	0.000	-0.159	-0.006	-0.005	-0.065	-0.009	-0.001	-0.017	0.001	-0.004	0.000	0.000	0.000	0.007	0.031	-0.068	-0.001	-0.001	0.024	-0.001	-0.000	-0.010	-0.000	-0.024	0.011	0.000	-0.005	-0.009	-0.002	-0.001	-0.008	0.152	0.022	0.027	0.021	-0.008	0.003	12.527	54.693	6.600	69.328	56.095	14.073	6.742	23.654
-1.589	-3.964	12.915	-23.453	-4.058	53.335	19.203	2.744	-8.608	31.901	13.406	-11.876	4.303	4.426	4.652	-17.683	1.383	5.333	14.549	9.127	2.818	38.230	15.329	-13.104	0.000	0.000	0.000	1.378	-2.458	0.882	2.286	3.778	-0.061	-7.119	50.683	0.000	1.114	-0.514	0.000	-0.123	0.004	0.009	-0.032	-0.012	0.011	-0.015	0.004	-0.001	0.000	0.000	0.000	-0.157	-0.007	-0.006	-0.065	-0.009	-0.001	-0.017	0.000	-0.003	0.000	0.000	0.000	0.008	0.036	-0.055	-0.001	0.002	0.019	-0.001	-0.000	-0.010	-0.000	-0.025	0.016	0.000	-0.005	-0.010	-0.002	-0.001	-0.008	0.116	0.026	0.025	0.031	-0.009	0.003	11.603	62.912	7.175	70.179	49.827	13.198	6.595	23.851
-1.406	-3.613	13.966	-23.223	-3.954	52.629	18.457	2.850	-6.958	32.026	13.594	-12.305	4.148	4.170	3.803	-17.572	1.351	4.839	14.584	8.763	3.098	38.679	15.309	-12.855	0.000	0.000	0.000	1.422	-2.409	0.549	1.994	3.786	-0.082	-7.487	47.368	0.000	1.074	-0.341	0.000	-0.120	0.001	0.011	-0.032	-0.013	0.012	-0.015	0.003	-0.000	0.000	0.000	0.000	-0.155	-0.008	-0.006	-0.064	-0.009	-0.001	-0.017	0.000	-0.003	0.000	0.000	0.000	0.009	0.041	-0.041	-0.001	0.006	0.014	-0.000	-0.000	-0.009	-0.000	-0.026	0.020	0.000	-0.005	-0.010	-0.001	-0.001	-0.008	0.081	0.026	0.023	0.038	-0.010	0.002	10.716	71.248	7.801	71.274	44.228	12.288	6.514	24.110
-1.217	-3.280	14.949	-23.035	-3.819	51.691	17.718	2.887	-5.446	32.186	13.786	-12.750	4.093	3.922	2.933	-17.578	1.325	4.301	14.640	8.472	3.320	39.126	15.289	-12.603	0.000	0.000	0.000	1.471	-2.365	0.229	1.709	3.793	-0.102	-7.862	44.028	0.000	1.040	-0.155	0.000	-0.119	-0.002	0.013	-0.033	-0.015	0.014	-0.016	0.001	-0.000	0.000	0.000	0.000	-0.153	-0.008	-0.006	-0.064	-0.009	-0.001	-0.017	0.000	-0.003	0.000	0.000	0.000	0.009	0.046	-0.027	-0.001	0.009	0.008	-0.000	-0.000	-0.009	-0.000	-0.027	0.023	0.000	-0.005	-0.010	-0.001	-0.001	-0.008	0.049	0.019	0.021	0.044	-0.010	0.002	9.964	79.576	8.502	72.560	39.725	11.328	6.536	24.412
-1.011	-2.964	15.858	-22.921	-3.649	50.524	17.015	2.847	-4.100	32.371	13.979	-13.203	4.116	3.681	2.049	-17.674	1.301	3.734	14.715	8.271	3.491	39.575	15.271	-12.351	0.000	0.000	0.000	1.522	-2.323	-0.080	1.430	3.797	-0.118	-8.245	40.694	0.000	1.012	0.040	0.000	-0.118	-0.004	0.015	-0.035	-0.017	0.015	-0.017	0.000	-0.000	0.000	0.000	0.000	-0.151	-0.008	-0.007	-0.063	-0.008	-0.001	-0.017	0.000	-0.003	0.000	0.000	0.000	0.009	0.051	-0.013	-0.001	0.013	0.002	-0.000	-0.000	-0.010	0.000	-0.028	0.025	0.000	-0.005	-0.010	-0.001	-0.001	-0.007	0.022	0.006	0.019	0.048	-0.011	0.002	9.412	87.890	9.286	74.216	36.440	10.292	6.686	24.678
-0.782	-2.663	16.687	-22.908	-3.439	49.131	16.367	2.739	-2.929	32.567	14.168	-13.653	4.186	3.443	1.157	-17.828	1.277	3.158	14.807	8.157	3.630	40.030	15.257	-12.101	0.000	0.000	0.000	1.574	-2.283	-0.378	1.156	3.798	-0.129	-8.639	37.384	0.000	0.989	0.239	0.000	-0.118	-0.006	0.017	-0.037	-0.019	0.016	-0.018	-0.001	0.000	0.000	0.000	0.000	-0.150	-0.008	-0.008	-0.063	-0.008	-0.001	-0.017	0.000	-0.003	0.000	0.000	0.000	0.009	0.055	-0.001	-0.001	0.016	-0.004	0.000	-0.000	-0.010	0.000	-0.029	0.026	0.000	-0.006	-0.009	-0.001	-0.001	-0.007	0.001	-0.013	0.018	0.050	-0.010	0.002	9.073	96.000	10.113	76.261	34.220	9.187	6.967	24.732
