PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\kz_11mar2013\Trimmed_kz3_2.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	1077	31	mm	120	1	1077																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-236.57387	227.19289	1055.39197	-107.62196	219.99651	969.61115	-308.3511	144.56989	969.12817	-343.83295	192.99471	630.1496	-342.18805	224.84525	632.5813	-349.79742	263.93909	629.36102	-235.81665	66.1981	675.99274	-247.88423	389.91843	671.58142	-152.7222	102.17314	635.92169	-156.91293	357.91229	629.30072	-181.70012	83.17932	1028.922	-72.65262	-19.40668	883.39941	-28.90906	-8.13208	732.40466	-25.67998	-76.57919	760.50311	109.53953	-72.94371	795.56207	217.04468	-94.59398	757.37885	218.48198	-21.23035	775.80133	-184.46564	364.47559	1037.078	-86.36769	453.52383	863.1001	-187.81635	471.28174	894.5542	-98.73265	479.33878	709.99554	-69.22276	541.53955	760.92755	-5.42616	456.47858	811.3432	47.46037	332.40268	811.78308	96.21726	382.52896	785.73199	642.73682	-373.58432	720.84247	61.51014	-377.40408	723.2666	51.3756	862.88031	719.57013	635.77185	868.39154	720.14148	-148.1989	102.71011	631.2691	-153.00389	352.99353	624.79865	-239.89911	175.71269	674.50037	-153.00377	352.99265	624.80035	71.83882	357.46582	798.75751	-83.9777	510.43918	735.46155
2	0.008	-236.54813	226.70332	1055.34546	-107.59577	219.40399	969.68323	-308.56747	144.34633	969.05969	-343.79465	193.04007	630.0614	-342.21475	224.83728	632.57605	-349.77347	263.94092	629.37964	-236.01115	66.02428	675.8631	-247.72571	389.7616	671.71741	-152.87526	101.98887	635.78967	-156.84155	357.78705	629.41998	-182.03171	82.68636	1028.84265	-72.88335	-19.72289	883.3512	-28.99235	-8.29671	732.38623	-25.71382	-76.71883	760.42615	109.49488	-73.12331	795.54309	217.02055	-94.66462	757.33795	218.43892	-21.33665	775.87	-184.17059	363.91943	1037.26721	-86.19572	453.08594	863.19757	-187.6183	470.75241	894.71802	-98.86012	478.76712	710.34094	-69.21283	541.12909	761.0274	-5.37045	455.98706	811.41608	47.61983	331.90887	811.59827	96.3484	382.15866	785.81494	642.73596	-373.5845	720.84265	61.50599	-377.40482	723.27289	51.37737	862.88068	719.57068	635.77295	868.39178	720.14148	-148.35223	102.47757	631.1723	-152.88417	352.77182	624.90741	-239.97418	175.5446	674.46063	-152.88405	352.77087	624.90894	71.98412	357.03378	798.7066	-84.03648	509.94812	735.6842
3	0.017	-236.45833	226.21652	1055.28467	-107.52843	218.82394	969.76251	-308.74237	144.11203	968.99817	-343.76047	193.07614	629.99323	-342.23172	224.83156	632.57867	-349.71915	263.93854	629.40424	-236.16872	65.85558	675.73553	-247.5423	389.62021	671.85236	-153.00655	101.82524	635.64465	-156.75096	357.66965	629.53314	-182.33145	82.1988	1028.76013	-73.09584	-20.03988	883.29291	-29.13212	-8.46179	732.34497	-25.74742	-76.8686	760.34174	109.43492	-73.31812	795.52002	217.00513	-94.73071	757.30103	218.40102	-21.44744	775.94342	-183.89218	363.37329	1037.48792	-86.02167	452.70129	863.32202	-187.44063	470.27655	894.92645	-99.01127	478.27722	710.7171	-69.27284	540.80408	761.17157	-5.35034	455.6138	811.55804	47.76964	331.57169	811.54108	96.47049	381.9097	785.94458	642.73633	-373.58411	720.84259	61.50119	-377.40396	723.28003	51.37853	862.88098	719.57159	635.77539	868.39233	720.14172	-148.47604	102.25243	631.06519	-152.74472	352.56812	625.00275	-240.0164	175.38515	674.42188	-152.74464	352.5672	625.00403	72.12006	356.74069	798.7428	-84.14206	509.54065	735.94434
4	0.025	-236.3299	225.73579	1055.22229	-107.43105	218.26025	969.84741	-308.87167	143.86946	968.94196	-343.73239	193.10133	629.94507	-342.23853	224.82736	632.58624	-349.63617	263.93219	629.43201	-236.2894	65.69666	675.60834	-247.33937	389.49725	671.98541	-153.1134	101.68511	635.48804	-156.64685	357.56018	629.63824	-182.59761	81.71731	1028.67383	-73.28396	-20.35352	883.22424	-29.32339	-8.62674	732.28418	-25.77616	-77.0299	760.24774	109.35889	-73.52682	795.48999	216.9982	-94.79036	757.26801	218.36794	-21.56092	776.02032	-183.63019	362.83746	1037.73901	-85.85372	452.36047	863.48035	-187.28526	469.85626	895.18408	-99.17457	477.87399	711.10718	-69.38559	540.55359	761.36249	-5.36063	455.34274	811.75726	47.90702	331.36621	811.57916	96.58078	381.76645	786.10107	642.73779	-373.58347	720.84222	61.49678	-377.40192	723.28638	51.37873	862.88129	719.57269	635.77832	868.39313	720.14203	-148.56985	102.04101	630.94824	-152.58914	352.3873	625.08606	-240.0276	175.2384	674.38269	-152.5891	352.38641	625.08704	72.2439	356.56635	798.84009	-84.28008	509.21378	736.2348
5	0.033	-236.19121	225.2648	1055.17249	-107.31628	217.71799	969.93604	-308.95438	143.62117	968.88831	-343.71109	193.11517	629.91565	-342.23532	224.82541	632.59607	-349.52805	263.92252	629.45941	-236.3754	65.55158	675.48254	-247.11975	389.39282	672.11615	-153.19521	101.57037	635.3241	-156.53485	357.45819	629.73358	-182.83046	81.24323	1028.58484	-73.44453	-20.6611	883.1474	-29.55545	-8.79034	732.20917	-25.79532	-77.2019	760.14453	109.27008	-73.74768	795.45099	216.99886	-94.84202	757.2384	218.33911	-21.67538	776.09967	-183.38042	362.30997	1038.0177	-85.70274	452.06424	863.67401	-187.14966	469.49408	895.49823	-99.34747	477.56329	711.5014	-69.5375	540.36786	761.60071	-5.39892	455.1553	811.99896	48.0301	331.26501	811.67645	96.67673	381.71188	786.26422	642.74017	-373.58292	720.84143	61.49318	-377.39966	723.29089	51.37802	862.88153	719.5741	635.78125	868.39392	720.14233	-148.63449	101.8475	630.82532	-152.41858	352.22952	625.1601	-240.01021	175.10707	674.34369	-152.41856	352.22876	625.16083	72.35342	356.48846	798.97034	-84.44248	508.96558	736.55109
6	0.042	-236.06345	224.80624	1055.14551	-107.19666	217.20129	970.02515	-308.99298	143.36839	968.83496	-343.69604	193.11795	629.90295	-342.22226	224.82692	632.60638	-349.40042	263.91107	629.48328	-236.43066	65.42323	675.36224	-246.88594	389.30524	672.24512	-153.25272	101.48148	635.16077	-156.4202	357.36365	629.81714	-183.03062	80.77859	1028.49573	-73.57574	-20.96123	883.06555	-29.80907	-8.95019	732.12671	-25.80153	-77.38256	760.0343	109.17416	-73.97825	795.4021	217.00609	-94.88515	757.21204	218.31421	-21.78908	776.18127	-183.1353	361.78848	1038.32056	-85.57939	451.81985	863.89929	-187.02722	469.1936	895.87891	-99.53246	477.34998	711.89508	-69.71992	540.23669	761.88507	-5.46576	455.03204	812.26495	48.13812	331.23874	811.79602	96.75521	381.72818	786.41174	642.74329	-373.5827	720.84009	61.49036	-377.39813	723.29321	51.37658	862.88171	719.57562	635.78412	868.39465	720.1427	-148.67169	101.67408	630.7041	-152.23351	352.09238	625.23004	-239.96768	174.99252	674.30774	-152.23349	352.0918	625.23065	72.44666	356.48346	799.10388	-84.6262	508.79333	736.89008
7	0.05	-235.95749	224.36081	1055.14392	-107.08167	216.71075	970.11035	-308.99298	143.11166	968.78198	-343.68628	193.1106	629.90424	-342.1994	224.83302	632.61652	-349.26019	263.8999	629.50171	-236.4601	65.31305	675.25287	-246.64116	389.23172	672.37433	-153.28749	101.41744	635.00793	-156.3076	357.27692	629.8877	-183.1976	80.32573	1028.4104	-73.67658	-21.25346	882.98132	-30.05962	-9.10359	732.04449	-25.7943	-77.57042	759.91986	109.07714	-74.215	795.34412	217.01915	-94.92031	757.18909	218.2937	-21.90022	776.26624	-182.88739	361.271	1038.64429	-85.49019	451.63098	864.15063	-186.90846	468.95993	896.33765	-99.73398	477.23529	712.28583	-69.92834	540.1488	762.2121	-5.56381	454.95444	812.5354	48.2319	331.25778	811.90137	96.81279	381.79742	786.51929	642.74689	-373.58286	720.83838	61.48832	-377.39767	723.29376	51.37456	862.88184	719.57727	635.7868	868.39526	720.14307	-148.68394	101.52144	630.59424	-152.03485	351.97226	625.30322	-239.90436	174.89473	674.27905	-152.03482	351.97186	625.30383	72.52235	356.52762	799.21033	-84.83116	508.69205	737.24896
8	0.058	-235.87666	223.92691	1055.16394	-106.97557	216.24283	970.18854	-308.96182	142.85162	968.73199	-343.68054	193.09451	629.91699	-342.16699	224.84442	632.62689	-349.11432	263.89093	629.51453	-236.4686	65.22111	675.15814	-246.38956	389.16837	672.50732	-153.30153	101.3764	634.87329	-156.19989	357.19778	629.94604	-183.32849	79.88673	1028.33191	-73.74765	-21.53831	882.89532	-30.28637	-9.24879	731.96918	-25.7766	-77.76501	759.80304	108.98462	-74.45351	795.2796	217.03752	-94.94897	757.16943	218.27922	-22.00769	776.35541	-182.632	360.75592	1038.98499	-85.4361	451.49088	864.42438	-186.78342	468.79886	896.88611	-99.95853	477.21561	712.67279	-70.161	540.09241	762.57611	-5.69628	454.90479	812.79095	48.31431	331.29346	811.95697	96.84701	381.90259	786.56244	642.75073	-373.58331	720.83636	61.48713	-377.39801	723.29303	51.37215	862.88196	719.57874	635.78912	868.39575	720.14331	-148.67413	101.38954	630.50317	-151.82483	351.86511	625.38708	-239.82486	174.81247	674.26135	-151.82478	351.86499	625.38782	72.58066	356.59802	799.2597	-85.05977	508.65399	737.62445
