PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\kz_11mar2013\Trimmed_kz5_2.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	423	31	mm	120	1	423																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-276.73398	221.60226	1052.92017	-141.62236	211.96085	978.09882	-347.33859	138.74821	956.99573	-348.84738	191.17578	624.20007	-346.53485	223.13719	626.72498	-353.3483	262.21191	625.00702	-241.83931	62.32098	671.29163	-250.60219	384.69394	674.5401	-153.9704	104.44521	633.86896	-161.79173	355.22202	635.49353	-227.74515	79.66669	1029.94714	-128.50763	-49.569	902.10254	-82.94267	-62.96799	751.46857	-87.06395	-128.44286	787.92297	48.57717	-132.08817	827.85425	156.66319	-159.71228	797.67548	160.36858	-84.30321	804.46503	-224.99571	351.7009	1044.58447	-94.99471	427.6871	888.815	-195.41919	463.78574	910.98462	-75.84647	454.396	736.55566	-51.49726	513.28333	792.28955	-4.50771	423.625	851.50006	42.9737	297.64499	854.4184	97.60844	349.39111	847.34436	642.88739	-373.45538	720.81598	60.76499	-377.04874	722.66565	51.49529	862.9632	719.68994	635.80212	868.42371	720.15717	-152.09053	99.00622	631.17676	-154.20834	347.94333	630.81604	-244.80379	171.37975	672.39056	-154.20705	347.94418	630.81689	70.29107	323.51804	850.88141	-63.67187	483.83966	764.42261
2	0.008	-277.3989	220.79965	1052.81482	-142.25021	211.13037	978.32788	-347.89001	138.23773	956.69971	-348.9816	191.14357	624.05048	-346.61395	223.09853	626.56372	-353.45901	262.16568	624.96326	-241.97014	62.27083	671.16443	-250.42616	384.25867	674.71814	-154.05264	104.41027	633.87061	-161.98848	355.09598	635.79675	-228.43201	78.87627	1029.7583	-129.8517	-50.78815	901.68793	-84.27868	-64.25382	751.01013	-88.96351	-129.85847	787.37909	46.50446	-133.91312	827.90778	154.69527	-161.64426	798.05701	158.41423	-86.29375	805.31268	-225.72688	350.68857	1044.72888	-95.47322	425.81577	888.67712	-195.30447	463.33371	911.90924	-76.72107	453.93353	736.77148	-52.15364	512.52246	792.6864	-5.57648	422.59677	851.68195	42.37564	296.89365	854.20685	96.90873	348.91165	847.70361	642.88177	-373.45193	720.81873	60.75917	-377.05051	722.66418	51.46412	862.95929	719.6676	635.79797	868.4259	720.16412	-152.14041	98.91202	631.18976	-154.01569	347.46158	631.06915	-244.83081	171.19931	672.36664	-154.01466	347.46231	631.07025	69.64218	322.90265	850.95526	-64.43736	483.228	764.72894
3	0.017	-278.12686	219.98347	1052.70728	-142.92732	210.27902	978.57147	-348.45917	137.72275	956.38538	-349.12814	191.11394	623.89587	-346.71918	223.06682	626.42841	-353.57138	262.12332	624.94092	-242.12054	62.21367	671.03375	-250.23235	383.84103	674.9184	-154.16573	104.37215	633.84821	-162.18184	354.96402	636.10327	-229.16191	78.05891	1029.57031	-131.24889	-52.02767	901.27771	-85.69885	-65.54823	750.56525	-90.91506	-131.28059	786.84784	44.36362	-135.79793	827.97339	152.66103	-163.65753	798.44135	156.41429	-88.37567	806.2049	-226.53738	349.66562	1044.89868	-95.95081	423.99661	888.66431	-195.31415	462.73505	912.65601	-77.46114	453.34955	737.1156	-52.74399	511.72806	793.18036	-6.55505	421.6257	852.07153	41.90445	296.23874	854.53131	96.35622	348.46933	848.2417	642.87659	-373.44827	720.82135	60.75242	-377.05399	722.66522	51.43507	862.95709	719.65112	635.79608	868.42834	720.17194	-152.21526	98.80295	631.18085	-153.82008	346.98923	631.31897	-244.86476	171.0202	672.3479	-153.81929	346.98981	631.32031	69.13033	322.35403	851.38654	-65.10256	482.53882	765.14801
4	0.025	-278.91013	219.15092	1052.59351	-143.64822	209.40709	978.8183	-349.05591	137.19447	956.05176	-349.28644	191.08519	623.74109	-346.84299	223.041	626.31622	-353.6806	262.08243	624.93396	-242.29233	62.14054	670.89935	-250.02899	383.44342	675.13495	-154.30853	104.3196	633.80585	-162.37253	354.8212	636.40936	-229.94873	77.2123	1029.38403	-132.70895	-53.28452	900.87537	-87.20547	-66.84835	750.13672	-92.92188	-132.70586	786.32831	42.15699	-137.74139	828.05359	150.56067	-165.75456	798.83398	154.37131	-90.55091	807.14099	-227.4128	348.63562	1045.09363	-96.43163	422.29263	888.81818	-195.47713	462.0062	913.22644	-78.04317	452.65823	737.60046	-53.26144	510.92932	793.7785	-7.35959	420.75992	852.66754	41.60868	295.7113	855.37811	96.00026	348.08984	848.91736	642.87268	-373.44516	720.8233	60.74606	-377.05829	722.66821	51.41295	862.95667	719.64203	635.79681	868.43073	720.17877	-152.31555	98.67112	631.1535	-153.62697	346.52979	631.56482	-244.90964	170.8373	672.33228	-153.62642	346.53018	631.56616	68.80447	321.90057	852.14777	-65.65231	481.79376	765.68945
5	0.033	-279.73914	218.29985	1052.47119	-144.40573	208.51595	979.06085	-349.69476	136.64461	955.69946	-349.44928	191.05571	623.58905	-346.97961	223.01698	626.2243	-353.78342	262.04056	624.93652	-242.48177	62.04383	670.76086	-249.82645	383.06729	675.3623	-154.47685	104.24634	633.74597	-162.56204	354.66257	636.71246	-230.80403	76.33532	1029.20142	-134.24138	-54.55664	900.48419	-88.79417	-68.1516	749.72705	-94.98537	-134.12987	785.81592	39.8849	-139.74281	828.15063	148.39328	-167.93886	799.24329	152.28703	-92.82214	808.12262	-228.33788	347.60031	1045.30762	-96.91536	420.77148	889.18481	-195.81409	461.1702	913.6347	-78.45068	451.89374	738.23273	-53.70002	510.15982	794.49292	-7.92255	420.03812	853.46014	41.51384	295.32996	856.67719	95.86663	347.79083	849.69556	642.87079	-373.4436	720.82428	60.74123	-377.06262	722.67255	51.40072	862.95709	719.64081	635.80054	868.43256	720.18262	-152.43776	98.51221	631.1098	-153.44353	346.08832	631.80524	-244.96648	170.64607	672.3175	-153.44325	346.08838	631.80634	68.69024	321.56039	853.18634	-66.07536	481.02676	766.36279
6	0.042	-280.60605	217.4304	1052.34021	-145.19113	207.60809	979.29486	-350.38708	136.06712	955.32819	-349.60715	191.02284	623.44006	-347.12723	222.98787	626.15094	-353.87952	261.99509	624.94366	-242.67946	61.9183	670.61755	-249.63515	382.71365	675.59705	-154.66414	104.15308	633.66803	-162.75172	354.48199	637.01117	-231.73575	75.43017	1029.02527	-135.85208	-55.84353	900.10468	-90.45427	-69.45569	749.33746	-97.10439	-135.54881	785.30432	37.54643	-141.80168	828.26752	146.15486	-170.21577	799.68243	150.1622	-95.19194	809.15326	-229.2995	346.55981	1045.53064	-97.39384	419.50455	889.80798	-196.33348	460.25516	913.90692	-78.67628	451.10425	739.01422	-54.05359	509.45264	795.33868	-8.2061	419.48395	854.43457	41.62408	295.09793	858.32452	95.95383	347.58041	850.55048	642.87079	-373.44397	720.82428	60.73775	-377.06696	722.6781	51.39858	862.95667	719.64722	635.80756	868.43365	720.18237	-152.5743	98.32625	631.0495	-153.27754	345.67142	632.03784	-245.03256	170.44336	672.30212	-153.27759	345.67105	632.03845	68.78896	321.33917	854.4375	-66.36493	480.27844	767.17645
7	0.05	-281.50653	216.54518	1052.20044	-145.99463	206.68674	979.51752	-351.13348	135.459	954.93634	-349.75415	190.98256	623.29291	-347.28751	222.94493	626.0943	-353.97202	261.94351	624.95142	-242.87219	61.7614	670.46771	-249.46382	382.38135	675.83875	-154.86244	104.04665	633.56891	-162.94287	354.2735	637.30743	-232.74759	74.5033	1028.85803	-137.54005	-57.14546	899.7337	-92.16888	-70.75842	748.96783	-99.27703	-136.96126	784.78717	35.14206	-143.91753	828.40643	143.83824	-172.59204	800.16779	147.99562	-97.66215	810.23633	-230.2867	345.51208	1045.75317	-97.85325	418.56198	890.72095	-197.03023	459.29205	914.07819	-78.72025	450.3432	739.94366	-54.31725	508.8356	796.33264	-8.20859	419.10382	855.57465	41.92749	295.00348	860.21191	96.23837	347.45749	851.4668	642.87207	-373.44604	720.82367	60.7355	-377.07123	722.68457	51.40467	862.95422	719.66003	635.81732	868.43433	720.17816	-152.7148	98.11706	630.97003	-153.13556	345.28476	632.26105	-245.10214	170.22713	672.28473	-153.13594	345.28387	632.26123	69.08293	321.23047	855.83936	-66.51875	479.58939	768.13812
8	0.058	-282.43765	215.64761	1052.04956	-146.80716	205.75497	979.72516	-351.92383	134.82027	954.52197	-349.89059	190.92987	623.14655	-347.46478	222.8788	626.05072	-354.06595	261.88379	624.95551	-243.04694	61.57252	670.3067	-249.31892	382.0654	676.08844	-155.06429	103.93669	633.44269	-163.13766	354.03479	637.60785	-233.83699	73.56364	1028.70044	-139.29752	-58.46276	899.36652	-93.9175	-72.05889	748.61615	-101.50189	-138.36864	784.25934	32.67247	-146.09084	828.56818	141.43588	-175.0744	800.7146	145.78351	-100.2356	811.37408	-231.29005	344.4541	1045.96851	-98.27909	418.00247	891.93872	-197.88683	458.31122	914.19037	-78.5856	449.65823	741.01685	-54.48878	508.32773	797.49097	-7.96056	418.88904	856.86749	42.39965	295.02347	862.25055	96.68603	347.41272	852.44116	642.87323	-373.44897	720.82312	60.73578	-377.07434	722.69092	51.41598	862.94916	719.67743	635.82886	868.43494	720.17139	-152.84892	97.8903	630.86658	-153.02223	344.93018	632.47437	-245.16875	169.99525	672.26263	-153.02295	344.92874	632.47382	69.54284	321.21808	857.34589	-66.53719	478.99298	769.25391
