PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\mo_12feb2014\Trimmed_mo5_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	947	31	mm	120	1	947																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
9	0.067	-276.50034	243.17708	1103.06726	-166.73044	260.42249	987.29919	-374.44827	136.21954	996.76331	-394.03674	203.86137	618.0578	-401.14554	248.10921	613.76526	-398.96454	305.5712	615.79742	-299.54504	91.93578	683.20819	-300.65903	416.89639	681.02618	-208.82047	146.23982	644.82886	-212.50624	364.68585	649.00238	-224.76125	80.08636	1038.14514	-163.18486	-15.79802	918.91675	-87.16849	-8.22819	765.53265	-63.77305	-79.22261	836.3717	56.44208	-56.83548	840.83099	179.55539	-54.01586	778.11847	174.80232	19.49793	814.59222	-252.51367	412.34924	1067.66113	-151.48798	530.00018	986.07446	-244.21617	511.40042	979.64868	-92.06574	535.01556	851.64459	-50.10092	590.63184	935.27417	33.73066	441.37927	950.65186	72.92257	355.92719	944.60803	131.57149	389.9834	893.50592	636.24048	-346.94507	744.78467	49.67505	-350.63947	741.85193	43.38631	894.51947	739.09753	625.2453	896.25146	741.07953	-217.64186	135.76843	644.22833	-219.68831	374.44537	643.01453	-217.64186	135.76843	644.22833	-219.68831	374.44537	643.01453	102.24703	372.95529	919.05695	-71.08333	562.82373	893.45941
10	0.075	-277.31451	242.95676	1103.24048	-167.37363	260.36432	987.61523	-375.06	135.97537	996.66559	-393.90781	203.77475	618.06995	-401.02795	248.05615	613.83679	-398.83661	305.52441	615.89349	-299.55209	91.75706	683.12756	-300.62091	416.83142	681.09045	-208.77937	146.01039	644.79425	-212.26761	364.63242	649.14001	-225.44551	79.94797	1038.16333	-163.65547	-15.85031	919.11737	-87.1717	-8.24609	766.09326	-63.86137	-79.24391	836.80341	56.55086	-57.03271	841.30762	179.59369	-54.10671	778.44916	174.84534	19.44028	814.89294	-253.60635	412.18784	1067.97327	-152.40564	529.59528	985.90619	-245.2973	511.14822	979.40717	-92.79547	533.69641	851.5625	-50.89307	589.88562	934.96619	32.87613	440.72952	951.54425	72.05635	355.17828	946.19751	130.80826	388.92053	894.92743	636.25067	-346.94391	744.78027	49.67828	-350.63556	741.87689	43.38482	894.51721	739.10504	625.25739	896.25555	741.08264	-217.64618	135.59563	644.1601	-219.65952	374.38602	643.05261	-217.64618	135.59563	644.1601	-219.65952	374.38602	643.05261	101.4323	372.04941	920.5625	-71.84428	561.79102	893.26434
11	0.083	-278.17245	242.71558	1103.40527	-168.05344	260.27414	987.93103	-375.71417	135.72011	996.54822	-393.79449	203.68903	618.06714	-400.92856	248.00206	613.89648	-398.72128	305.47913	615.96942	-299.58063	91.56458	683.01807	-300.59213	416.74603	681.16235	-208.75957	145.77043	644.73499	-212.04984	364.58344	649.29193	-226.18774	79.78599	1038.18005	-164.13063	-15.91476	919.35614	-87.16313	-8.29112	766.69781	-63.94625	-79.29106	837.29761	56.64952	-57.26947	841.84094	179.62682	-54.21345	778.84845	174.89169	19.36174	815.27264	-254.74576	411.9754	1068.2937	-153.31541	529.12738	985.83478	-246.40649	510.86536	979.14423	-93.50032	532.38403	851.60004	-51.64566	589.07703	934.80548	31.96803	439.95911	952.51666	71.0752	354.28705	947.81873	129.96826	387.70728	896.42499	636.26135	-346.94232	744.77655	49.68302	-350.63174	741.90167	43.38453	894.51495	739.11438	625.26764	896.25891	741.08429	-217.67065	135.41037	644.06726	-219.64195	374.30753	643.09302	-217.67065	135.41037	644.06726	-219.64195	374.30753	643.09302	100.52173	370.99716	922.12189	-72.57299	560.73053	893.20276
12	0.092	-279.07654	242.45024	1103.56384	-168.77373	260.1499	988.25305	-376.41528	135.45207	996.40936	-393.69962	203.60556	618.05145	-400.85043	247.94682	613.94525	-398.6218	305.43433	616.02753	-299.6297	91.36214	682.88556	-300.57452	416.63651	681.2486	-208.76138	145.52689	644.65802	-211.86328	364.54095	649.45911	-226.98938	79.5974	1038.19604	-164.61398	-15.99548	919.63287	-87.14053	-8.36125	767.34387	-64.02784	-79.36255	837.85791	56.73521	-57.54597	842.43463	179.65002	-54.33577	779.32477	174.93716	19.26035	815.74139	-255.93175	411.7085	1068.62732	-154.21623	528.59271	985.86401	-247.53555	510.55081	978.86938	-94.17586	531.07507	851.75775	-52.35253	588.19196	934.79865	31.00874	439.04724	953.55151	69.98444	353.23895	949.44208	129.04874	386.32886	897.96948	636.27136	-346.94019	744.77362	49.68816	-350.62866	741.92438	43.38517	894.51312	739.12506	625.27429	896.26056	741.08411	-217.71381	135.21729	643.9577	-219.63615	374.20697	643.14417	-217.71381	135.21729	643.9577	-219.63615	374.20697	643.14417	99.51659	369.78391	923.70581	-73.2642	559.63348	893.2782
13	0.1	-280.02884	242.15823	1103.71863	-169.5383	259.98889	988.58582	-377.16776	135.17024	996.24829	-393.62579	203.52509	618.02502	-400.79611	247.89061	613.98334	-398.54175	305.38922	616.07025	-299.6998	91.1541	682.73633	-300.57047	416.49945	681.35406	-208.78551	145.28568	644.57159	-211.71649	364.50711	649.64252	-227.85162	79.38005	1038.21057	-165.11194	-16.09682	919.94653	-87.10388	-8.45601	768.02844	-64.10886	-79.45598	838.48602	56.80595	-57.86132	843.091	179.65862	-54.47337	779.88489	174.97536	19.13426	816.30682	-257.16235	411.38632	1068.97693	-155.10556	527.98761	985.99567	-248.67169	510.20529	978.60321	-94.81744	529.76642	852.03455	-53.00789	587.21741	934.94934	30.00208	437.97595	954.6286	68.79139	352.02277	951.04016	128.04807	384.77344	899.5285	636.27966	-346.93756	744.77179	49.69164	-350.62692	741.94263	43.38609	894.51196	739.13629	625.27618	896.25964	741.0816	-217.77515	135.02101	643.84021	-219.64304	374.0813	643.21375	-217.77515	135.02101	643.84021	-219.64304	374.0813	643.21375	98.41973	368.3981	925.2843	-73.91267	558.49194	893.49194
14	0.108	-281.03079	241.83815	1103.87195	-170.35051	259.78802	988.9314	-377.9751	134.87381	996.06525	-393.57513	203.44748	617.9892	-400.76685	247.83369	614.01044	-398.48389	305.34363	616.10022	-299.79297	90.94455	682.57697	-300.58228	416.33191	681.48157	-208.83286	145.05075	644.48505	-211.61644	364.48383	649.84296	-228.77568	79.13305	1038.22278	-165.63161	-16.22294	920.29541	-87.05622	-8.57719	768.74829	-64.19421	-79.56954	839.1828	56.85982	-58.2132	843.81152	179.64902	-54.62595	780.53467	175.00005	18.98151	816.97375	-258.43509	411.00967	1069.34436	-155.97937	527.3092	986.22931	-249.79893	509.83044	978.37457	-95.4218	528.45642	852.42737	-53.60569	586.14178	935.25812	28.95298	436.73026	955.72595	67.50362	350.62933	952.58575	126.96782	383.03171	901.06873	636.2854	-346.9346	744.77106	49.69143	-350.62683	741.95514	43.38678	894.51154	739.14716	625.2724	896.25604	741.07648	-217.85522	134.82526	643.724	-219.66338	373.92715	643.30823	-217.85522	134.82526	643.724	-219.66338	373.92715	643.30823	97.23572	366.83051	926.82727	-74.51374	557.29913	893.84277
15	0.117	-282.08356	241.48927	1104.02588	-171.21333	259.54456	989.28973	-378.83954	134.56166	995.86151	-393.54861	203.37192	617.94501	-400.76291	247.77637	614.02631	-398.44998	305.29813	616.11969	-299.91171	90.73717	682.41382	-300.61096	416.13162	681.63263	-208.90416	144.82426	644.40741	-211.56859	364.4715	650.05896	-229.76341	78.85619	1038.23145	-166.17935	-16.37744	920.67773	-87.00451	-8.72914	769.50073	-64.28989	-79.70284	839.94849	56.89333	-58.59804	844.59784	179.61896	-54.79375	781.27808	175.00592	18.80051	817.74438	-259.7468	410.57977	1069.72974	-156.83261	526.55518	986.56238	-250.90042	509.42831	978.21649	-95.98701	527.14471	852.93085	-54.13982	584.95575	935.72235	27.86694	435.29846	956.82141	66.12855	349.0506	954.0517	125.81287	381.09662	902.55768	636.28894	-346.93164	744.77124	49.68762	-350.62808	741.96228	43.38743	894.5116	739.15656	625.26294	896.25012	741.06885	-217.95493	134.63275	643.61786	-219.69698	373.74142	643.43274	-217.95493	134.63275	643.61786	-219.69698	373.74142	643.43274	95.97071	365.07361	928.30469	-75.06342	556.05023	894.3266
16	0.125	-283.18787	241.11092	1104.1814	-172.12848	259.25626	989.65991	-379.763	134.2326	995.63855	-393.54623	203.29723	617.89301	-400.78381	247.71919	614.03076	-398.44122	305.25357	616.13062	-300.05789	90.53507	682.25153	-300.65649	415.89771	681.8078	-208.99965	144.60754	644.34534	-211.5759	364.46753	650.28583	-230.81723	78.54916	1038.2373	-166.76044	-16.5631	921.09222	-86.95972	-8.91837	770.2843	-64.40211	-79.85697	840.78235	56.90035	-59.01139	845.45245	179.56696	-54.97783	782.11731	174.98749	18.59049	818.61835	-261.09274	410.09839	1070.13257	-157.65977	525.72394	986.99023	-251.96063	509.00131	978.16174	-96.5136	525.83209	853.53754	-54.60503	583.65265	936.33673	26.7496	433.67276	957.89435	64.67292	347.28052	955.41113	124.58885	378.96326	903.96466	636.29138	-346.9292	744.77209	49.68279	-350.62994	741.96661	43.38874	894.5116	739.16406	625.24835	896.24255	741.0592	-218.07484	134.44557	643.52802	-219.74306	373.52219	643.59045	-218.07484	134.44557	643.52802	-219.74306	373.52219	643.59045	94.63088	363.12189	929.68793	-75.55931	554.74237	894.93713
17	0.133	-284.34332	240.70229	1104.33813	-173.09549	258.92181	990.04102	-380.74759	133.88602	995.39746	-393.56781	203.22269	617.83325	-400.82825	247.66325	614.0235	-398.45847	305.21109	616.13434	-300.23221	90.34058	682.09155	-300.71893	415.63138	682.00702	-209.11885	144.40132	644.302	-211.63829	364.46683	650.51617	-231.93907	78.2112	1038.24255	-167.37947	-16.78228	921.53827	-86.93668	-9.1527	771.09998	-64.53722	-80.03452	841.68152	56.87256	-59.44831	846.37811	179.49147	-55.18052	783.05249	174.93839	18.35156	819.59241	-262.46707	409.56818	1070.55066	-158.45529	524.81439	987.50671	-252.96738	508.552	978.23767	-97.00488	524.52057	854.23969	-54.99763	582.22809	937.09332	25.60568	431.84998	958.9259	63.14232	345.31537	956.63879	123.29998	376.62961	905.26166	636.29443	-346.9274	744.7735	49.68035	-350.63147	741.97119	43.39137	894.51074	739.16943	625.2301	896.23419	741.04822	-218.21501	134.26567	643.45697	-219.80116	373.27032	643.78278	-218.21501	134.26567	643.45697	-219.80116	373.27032	643.78278	93.22115	360.97247	930.95026	-76.00125	553.37433	895.6665
18	0.142	-285.54767	240.26273	1104.49414	-174.11172	258.54013	990.43225	-381.79489	133.52219	995.13867	-393.61365	203.14861	617.7655	-400.89471	247.60995	614.00385	-398.50183	305.17172	616.13092	-300.43472	90.15495	681.93213	-300.79944	415.3364	682.22906	-209.26102	144.2057	644.27679	-211.75336	364.46274	650.74255	-233.1302	77.84107	1038.25024	-168.04054	-17.0378	922.01532	-86.95261	-9.44038	771.95056	-64.70284	-80.23957	842.64093	56.80067	-59.90411	847.37677	179.38902	-55.40621	784.08252	174.8512	18.08377	820.66229	-263.86362	408.99133	1070.98022	-159.2137	523.82562	988.10504	-253.91309	508.08157	978.46136	-97.46506	523.21234	855.02942	-55.3155	580.67908	937.98163	24.43826	429.83102	959.89966	61.54101	343.15353	957.71069	121.94937	374.09753	906.4248	636.29919	-346.92612	744.77539	49.68344	-350.63159	741.97821	43.3954	894.50861	739.17267	625.21069	896.22583	741.03625	-218.37546	134.09457	643.40356	-219.87221	372.98987	644.00879	-218.37546	134.09457	643.40356	-219.87221	372.98987	644.00879	91.74519	358.62552	932.06775	-76.39028	551.94574	896.50555
