PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\ts_19jul2013\Trimmed_ts4_1.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	678	31	mm	120	1	678																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-224.3653	354.38403	1097.67981	-89.73237	343.09274	924.11908	-327.69922	181.37148	990.5741	-467.5838	268.00928	663.59485	-466.07297	297.84702	651.7287	-471.99695	338.52396	652.78436	-318.73004	75.25766	653.30707	-344.98734	503.20343	642.88379	-200.74399	135.36244	577.47339	-222.96315	448.72668	596.25397	-174.93542	200.18559	1100.43762	-53.72774	75.70622	972.93713	-52.05053	41.62223	778.75476	-12.84512	-20.19732	877.36292	80.58112	71.30972	893.58978	141.05058	158.25626	826.93488	100.08938	194.50923	902.20239	-182.40569	504.91571	1029.96985	-145.15947	622.1106	833.94116	-253.98466	607.9079	875.18951	-189.19041	611.51257	673.2807	-190.54222	710.44006	754.40436	-72.84296	696.92181	779.685	45.61886	615.08624	781.26459	58.55748	704.4624	753.4917	661.97937	-349.59219	726.75159	77.85152	-356.4032	721.8504	65.1541	887.28101	724.02393	645.48395	893.99512	725.4566	-200.74399	135.36244	577.47339	-222.96315	448.72668	596.25397	-200.74399	135.36244	577.47339	-222.96315	448.72668	596.25397	120.56998	176.38274	864.5686	-32.44783	10.71246	828.05884
2	0.008	-224.23564	354.62949	1097.66431	-89.62627	343.25708	924.06915	-327.47992	181.52394	990.68958	-467.48322	267.99606	663.62512	-465.98557	297.82312	651.77802	-471.96213	338.52649	652.83691	-318.66599	75.26975	653.41339	-344.94962	503.21655	642.87372	-200.68571	135.36089	577.55994	-222.92348	448.73441	596.25531	-174.75732	200.53024	1100.57312	-53.51426	75.96324	973.20343	-51.90514	41.42588	779.1015	-12.64445	-20.18047	877.83069	80.70572	71.42925	893.90161	141.15062	158.28677	827.10284	100.10825	194.6691	902.30481	-182.27327	505.09845	1029.92896	-145.09836	622.21655	833.85529	-253.90808	608.05341	875.12183	-189.18524	611.56061	673.22369	-190.50055	710.52338	754.30798	-72.8165	696.9729	779.63324	45.62901	615.07855	781.26923	58.57839	704.46332	753.49634	661.97363	-349.59061	726.75604	77.85522	-356.40128	721.8631	65.15411	887.2782	724.02661	645.48553	893.9928	725.45477	-200.68571	135.36089	577.55994	-222.92348	448.73441	596.25531	-200.68571	135.36089	577.55994	-222.92348	448.73441	596.25531	120.62943	176.47794	864.7038	-32.2748	10.6227	828.46613
3	0.017	-224.11992	354.87192	1097.65356	-89.52172	343.41876	924.02679	-327.26428	181.67677	990.80139	-467.38583	267.98099	663.66138	-465.89954	297.79987	651.83191	-471.92542	338.52603	652.88965	-318.59589	75.28556	653.5249	-344.91553	503.22601	642.86322	-200.6241	135.36465	577.64868	-222.88701	448.74057	596.25494	-174.593	200.87119	1100.70947	-53.30928	76.21599	973.46307	-51.75631	41.21304	779.45227	-12.44043	-20.17499	878.30499	80.82917	71.53826	894.21796	141.24997	158.31111	827.27155	100.12389	194.82379	902.40833	-182.14877	505.28055	1029.89355	-145.04974	622.33038	833.77588	-253.84009	608.19879	875.06079	-189.18587	611.61639	673.1731	-190.46187	710.61292	754.21527	-72.79335	697.02765	779.58466	45.63274	615.07501	781.27386	58.5957	704.46539	753.49768	661.96722	-349.58847	726.75989	77.85617	-356.3988	721.87585	65.15005	887.27496	724.02716	645.48694	893.99036	725.45209	-200.6241	135.36465	577.64868	-222.88701	448.74057	596.25494	-200.6241	135.36465	577.64868	-222.88701	448.74057	596.25494	120.68694	176.56744	864.8399	-32.09837	10.51903	828.8786
4	0.025	-224.01572	355.10992	1097.64587	-89.419	343.57806	923.99133	-327.05243	181.83035	990.91003	-467.2934	267.96609	663.7041	-465.8176	297.78036	651.89093	-471.8866	338.52472	652.94226	-318.51917	75.30681	653.63928	-344.88428	503.23294	642.85065	-200.55991	135.37541	577.73529	-222.85382	448.74628	596.24884	-174.44017	201.20695	1100.84534	-53.10994	76.4629	973.71832	-51.60171	40.98219	779.80304	-12.23366	-20.18518	878.78143	80.95294	71.63292	894.53522	141.3392	158.32997	827.43774	100.14227	194.96906	902.51465	-182.03186	505.46106	1029.86328	-145.01256	622.4527	833.7019	-253.78256	608.34302	875.00739	-189.19151	611.67938	673.12775	-190.42633	710.70886	754.12573	-72.77376	697.08472	779.53894	45.63184	615.0741	781.27594	58.60945	704.46759	753.49603	661.96112	-349.58572	726.76196	77.85471	-356.39594	721.88721	65.14322	887.27167	724.02478	645.48755	893.9884	725.44812	-200.55991	135.37541	577.73529	-222.85382	448.74628	596.24884	-200.55991	135.37541	577.73529	-222.85382	448.74628	596.24884	120.74073	176.64952	864.9762	-31.91768	10.3985	829.29224
5	0.033	-223.92053	355.34247	1097.64038	-89.31807	343.73624	923.9624	-326.84497	181.98517	991.01611	-467.20557	267.95291	663.75269	-465.74091	297.76685	651.95441	-471.84506	338.5246	652.99426	-318.43478	75.33449	653.75354	-344.85577	503.23892	642.83478	-200.49303	135.39461	577.81567	-222.82422	448.75348	596.23438	-174.29617	201.53708	1100.98035	-52.9141	76.70219	973.97095	-51.43987	40.73437	780.15015	-12.02489	-20.21283	879.25549	81.07848	71.71087	894.85046	141.41383	158.34315	827.59949	100.16772	195.10086	902.62469	-181.92165	505.63858	1029.83777	-144.98398	622.58325	833.63263	-253.73946	608.48676	874.96301	-189.2009	611.74786	673.08691	-190.39394	710.8103	754.03925	-72.75795	697.14301	779.49579	45.62769	615.07458	781.27393	58.62041	704.46936	753.49139	661.95654	-349.58286	726.76135	77.85183	-356.39328	721.89545	65.13552	887.26831	724.0191	645.48749	893.9873	725.44263	-200.49303	135.39461	577.81567	-222.82422	448.75348	596.23438	-200.49303	135.39461	577.81567	-222.82422	448.75348	596.23438	120.79078	176.72202	865.11212	-31.73238	10.26077	829.70282
6	0.042	-223.83148	355.56955	1097.63684	-89.21719	343.89502	923.94006	-326.64249	182.14143	991.12024	-467.12106	267.94257	663.80597	-465.66934	297.76041	652.0213	-471.7999	338.52716	653.04553	-318.34219	75.36884	653.86505	-344.8306	503.24594	642.815	-200.42334	135.42311	577.88696	-222.79887	448.76465	596.21027	-174.15797	201.86115	1101.11475	-52.72032	76.93271	974.22162	-51.27067	40.47288	780.49048	-11.81487	-20.25712	879.72272	81.20758	71.7715	895.16144	141.47562	158.34952	827.75702	100.2018	195.21516	902.73773	-181.81709	505.81207	1029.81689	-144.95926	622.72076	833.56726	-253.71352	608.6311	874.92908	-189.21274	611.8197	673.04993	-190.36452	710.91534	753.95618	-72.74538	697.20129	779.45502	45.6209	615.07556	781.26782	58.62979	704.47058	753.48413	661.95435	-349.58038	726.75793	77.8488	-356.39148	721.89929	65.12817	887.26501	724.01056	645.48767	893.9873	725.43567	-200.42334	135.42311	577.88696	-222.79887	448.76465	596.21027	-200.42334	135.42311	577.88696	-222.79887	448.76465	596.21027	120.83871	176.78235	865.24738	-31.54277	10.10788	830.10663
7	0.05	-223.74574	355.79227	1097.63562	-89.11364	344.05618	923.92542	-326.44528	182.29874	991.22266	-467.03854	267.93576	663.86304	-465.6019	297.76105	652.09052	-471.74991	338.5329	653.09613	-318.24225	75.40923	653.97168	-344.80975	503.25598	642.79132	-200.35168	135.46065	577.94745	-222.77875	448.78201	596.17615	-174.02293	202.17802	1101.24927	-52.5276	77.15377	974.47015	-51.09525	40.20252	780.82123	-11.60434	-20.31537	880.17896	81.34209	71.81621	895.46576	141.53136	158.34732	827.91162	100.24415	195.30882	902.85114	-181.71747	505.98157	1029.80066	-144.93317	622.86383	833.50525	-253.70262	608.77594	874.90509	-189.22569	611.89276	673.01654	-190.33786	711.02271	753.87671	-72.73502	697.25891	779.41663	45.61156	615.07684	781.25897	58.63893	704.47095	753.47473	661.95483	-349.57864	726.75189	77.84644	-356.39099	721.89813	65.12151	887.26172	724.00024	645.48834	893.98804	725.4281	-200.35168	135.46065	577.94745	-222.77875	448.78201	596.17615	-200.35168	135.46065	577.94745	-222.77875	448.78201	596.17615	120.88776	176.82806	865.38135	-31.34979	9.94357	830.50012
8	0.058	-223.66153	356.01212	1097.63684	-89.00607	344.22159	923.91974	-326.25403	182.45607	991.32257	-466.95721	267.93286	663.92316	-465.5372	297.76791	652.16083	-471.69415	338.54156	653.14648	-318.13724	75.45432	654.07208	-344.79367	503.27042	642.76447	-200.27959	135.50575	577.99689	-222.76424	448.80658	596.1333	-173.88979	202.48636	1101.3844	-52.33541	77.36485	974.7157	-50.9149	39.92882	781.13977	-11.39371	-20.3838	880.62024	81.48305	71.84801	895.76056	141.58945	158.3354	828.0647	100.29449	195.38124	902.96185	-181.6223	506.14844	1029.78882	-144.90167	623.01135	833.44598	-253.69864	608.91962	874.88861	-189.23863	611.96576	672.98633	-190.31369	711.13184	753.80078	-72.7263	697.31598	779.38049	45.59932	615.07886	781.24927	58.64881	704.47015	753.46411	661.95752	-349.57776	726.74414	77.84484	-356.39194	721.89221	65.11568	887.25781	723.98975	645.48962	893.98926	725.42084	-200.27959	135.50575	577.99689	-222.76424	448.80658	596.1333	-200.27959	135.50575	577.99689	-222.76424	448.80658	596.1333	120.94197	176.85832	865.51331	-31.1543	9.77251	830.88
