PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\ts_19jul2013\Trimmed_ts5_5.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	768	31	mm	120	1	768																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
9	0.067	-331.68475	402.26898	1094.82141	-173.0829	394.50885	939.84674	-406.65887	219.02225	983.0011	-492.81088	284.11713	635.59387	-485.48026	310.00296	622.85132	-492.15988	350.68097	621.63159	-341.06216	98.62171	664.40979	-373.20334	513.42902	612.72827	-214.51537	155.71545	601.08325	-244.6508	459.10788	589.16101	-270.5665	251.95163	1110.00415	-122.12246	125.64237	1024.54382	-63.43951	74.78093	855.97131	-53.9105	22.26838	965.24048	56.63751	92.23628	983.11603	146.04459	136.57941	942.99194	104.48911	207.59116	973.60986	-291.31149	548.95264	1026.83752	-238.47905	697.80145	880.09528	-346.08954	655.25323	877.89813	-243.91652	717.99786	709.26001	-274.59921	795.00922	800.56915	-148.86719	819.40704	823.53961	-14.29604	775.49084	810.84119	-22.21659	865.98633	784.94244	661.67261	-349.78278	726.17749	78.79386	-356.3692	721.56659	64.08638	887.55804	724.91211	645.44257	894.11127	725.23846	-214.51537	155.71545	601.08325	-244.6508	459.10788	589.16101	-214.51537	155.71545	601.08325	-244.6508	459.10788	589.16101	125.26685	172.08528	958.3009	-58.675	48.52465	910.6059
10	0.075	-332.41364	402.31244	1094.82581	-173.67218	394.59668	939.96448	-407.15021	219.05096	982.88037	-492.88959	284.07639	635.45862	-485.58832	309.97314	622.71936	-492.30164	350.64178	621.49371	-341.27817	98.5521	664.36255	-373.33527	513.40375	612.65857	-214.68433	155.62949	601.11536	-244.77524	459.06573	589.1712	-271.3573	252.13037	1110.15283	-122.64197	126.09698	1025.18933	-63.54813	75.83689	856.64612	-54.30098	23.16103	965.85522	56.32159	92.93101	984.04376	145.94963	137.05684	944.17749	104.38357	208.18338	974.61243	-291.9751	549.01044	1026.89673	-238.65407	697.83752	880.37738	-346.37042	655.40674	877.86255	-243.58205	718.12598	709.54364	-274.41193	795.14886	800.80316	-148.61507	819.87012	823.69812	-13.98507	776.19971	811.01385	-22.06577	866.59747	784.87262	661.66193	-349.77594	726.17358	78.79121	-356.36481	721.55933	64.14266	887.5517	724.88507	645.44092	894.11523	725.23785	-214.68433	155.62949	601.11536	-244.77524	459.06573	589.1712	-214.68433	155.62949	601.11536	-244.77524	459.06573	589.1712	125.1666	172.62012	959.39496	-58.92455	49.49896	911.25067
11	0.083	-333.15295	402.37766	1094.82202	-174.28145	394.7019	940.0777	-407.64078	219.09258	982.76227	-492.98694	284.0343	635.31189	-485.69666	309.93744	622.57666	-492.45023	350.59967	621.35022	-341.48541	98.48581	664.31305	-373.46771	513.36914	612.58173	-214.84363	155.54982	601.14978	-244.89766	459.01779	589.18024	-272.14868	252.32767	1110.30554	-123.19015	126.54509	1025.76672	-63.72942	76.86646	857.22046	-54.75676	24.00036	966.35492	55.88953	93.63695	984.91589	145.71565	137.6239	945.35529	104.10333	208.83284	975.62561	-292.66766	549.08026	1026.95166	-238.86795	697.90106	880.6626	-346.65442	655.55896	877.80029	-243.22258	718.27582	709.83929	-274.21762	795.31226	801.03827	-148.36732	820.34827	823.87024	-13.66592	776.9231	811.17542	-21.92444	867.2439	784.86346	661.65198	-349.77191	726.17322	78.7874	-356.36536	721.55438	64.18713	887.54663	724.86285	645.43921	894.1153	725.23737	-214.84363	155.54982	601.14978	-244.89766	459.01779	589.18024	-214.84363	155.54982	601.14978	-244.89766	459.01779	589.18024	124.90949	173.22838	960.49048	-59.24309	50.43341	911.78772
12	0.092	-333.89441	402.46646	1094.80859	-174.90427	394.82907	940.18671	-408.13181	219.1496	982.65253	-493.10251	283.99188	635.15472	-485.8056	309.89499	622.42474	-492.59967	350.55444	621.19708	-341.68033	98.42436	664.26453	-373.60205	513.32422	612.49622	-214.99084	155.47864	601.18817	-245.019	458.96423	589.1864	-272.93307	252.54123	1110.45972	-123.76467	126.97994	1026.26355	-63.98829	77.85286	857.68201	-55.28009	24.76968	966.72656	55.32912	94.34991	985.72186	145.31688	138.3004	946.51294	103.62592	209.54793	976.65082	-293.39139	549.16498	1027.00012	-239.12053	697.99384	880.94409	-346.93817	655.70978	877.70856	-242.84494	718.45105	710.14331	-274.01505	795.49817	801.27386	-148.1209	820.83374	824.05865	-13.33457	777.65564	811.31366	-21.79153	867.92676	784.9245	661.6441	-349.77072	726.17621	78.7841	-356.36996	721.55212	64.21484	887.54346	724.84784	645.43719	894.11218	725.23669	-214.99084	155.47864	601.18817	-245.019	458.96423	589.1864	-214.99084	155.47864	601.18817	-245.019	458.96423	589.1864	124.47141	173.92416	961.58185	-59.63419	51.31127	912.20428
13	0.1	-334.63351	402.57916	1094.78589	-175.53419	394.98325	940.29144	-408.62485	219.22298	982.5542	-493.23416	283.94913	634.98914	-485.91696	309.84497	622.26495	-492.7478	350.50613	621.03217	-341.85941	98.36936	664.21912	-373.74277	513.26984	612.40149	-215.12389	155.41946	601.23151	-245.1429	458.90811	589.18866	-273.70615	252.76851	1110.61243	-124.36568	127.39616	1026.66919	-64.33434	78.7848	858.02295	-55.87542	25.46001	966.96252	54.62591	95.07258	986.45459	144.73347	139.10536	947.64227	102.92519	210.34015	977.68506	-294.14752	549.26648	1027.03992	-239.40776	698.11548	881.21692	-347.22134	655.86072	877.58685	-242.45705	718.65515	710.45172	-273.80371	795.70471	801.51031	-147.8705	821.31946	824.26495	-12.98718	778.39612	811.4173	-21.66399	868.64832	785.05829	661.63879	-349.77161	726.18097	78.783	-356.3765	721.55176	64.22489	887.54224	724.84088	645.43506	894.10754	725.23566	-215.12389	155.41946	601.23151	-245.1429	458.90811	589.18866	-215.12389	155.41946	601.23151	-245.1429	458.90811	589.18866	123.82933	174.72276	962.6637	-60.10488	52.12241	912.49274
14	0.108	-335.36987	402.71475	1094.75549	-176.16884	395.16864	940.39105	-409.12253	219.3118	982.4682	-493.37903	283.90585	634.81781	-486.0332	309.78726	622.09882	-492.89661	350.45465	620.85504	-342.02054	98.32233	664.17804	-373.89734	513.20856	612.29816	-215.24225	155.37656	601.28033	-245.27576	458.85486	589.18713	-274.46658	253.00743	1110.76038	-124.9968	127.78971	1026.97852	-64.78003	79.65695	858.24042	-56.5483	26.06988	967.0603	53.76499	95.81464	987.11047	143.95143	140.0569	948.73932	101.97234	211.22334	978.72229	-294.93576	549.38605	1027.06995	-239.72182	698.26373	881.47986	-347.50406	656.01404	877.4364	-242.06581	718.89056	710.76099	-273.58304	795.93018	801.74829	-147.60988	821.80078	824.48926	-12.6209	779.14862	811.47827	-21.53643	869.41162	785.26025	661.63599	-349.77335	726.1853	78.78475	-356.38226	721.55194	64.22102	887.54266	724.84106	645.43329	894.10291	725.23395	-215.24225	155.37656	601.28033	-245.27576	458.85486	589.18713	-215.24225	155.37656	601.28033	-245.27576	458.85486	589.18713	122.96188	175.64012	963.73083	-60.66417	52.86341	912.65039
15	0.117	-336.10492	402.87128	1094.71887	-176.81013	395.38766	940.48529	-409.62863	219.41394	982.39392	-493.53369	283.86206	634.64325	-486.1561	309.72305	621.92767	-493.04947	350.39984	620.66638	-342.16342	98.28447	664.14276	-374.07407	513.14435	612.18726	-215.34677	155.35368	601.33606	-245.42477	458.81104	589.1828	-275.21524	253.25645	1110.90112	-125.66517	128.15752	1027.19275	-65.33762	80.46997	858.33655	-57.30369	26.60427	967.02246	52.73307	96.59148	987.68945	142.95807	141.17395	949.80334	100.7381	212.21315	979.75568	-295.75449	549.52448	1027.08997	-240.05197	698.43549	881.73615	-347.78537	656.172	877.25934	-241.67546	719.15875	711.06873	-273.35083	796.17297	801.98895	-147.33237	822.27625	824.73022	-12.23236	779.92078	811.49304	-21.40187	870.22015	785.51929	661.63495	-349.77454	726.18774	78.78853	-356.38492	721.55157	64.21019	887.54388	724.84589	645.43225	894.09967	725.23138	-215.34677	155.35368	601.33606	-245.42477	458.81104	589.1828	-215.34677	155.35368	601.33606	-245.42477	458.81104	589.1828	121.84808	176.69356	964.77954	-61.32065	53.53712	912.6795
16	0.125	-336.84036	403.04633	1094.67798	-177.46205	395.64017	940.57581	-410.14731	219.52739	982.3302	-493.69406	283.81766	634.46783	-486.28571	309.65506	621.75269	-493.20831	350.34204	620.46692	-342.28925	98.25642	664.11469	-374.27933	513.08093	612.06921	-215.43933	155.35292	601.40002	-245.5957	458.78186	589.17615	-275.95425	253.5144	1111.03296	-126.38052	128.49762	1027.32019	-66.0165	81.22934	858.31836	-58.14439	27.07253	966.85602	51.52028	97.42218	988.19403	141.73903	142.47659	950.83435	99.19537	213.32669	980.77875	-296.60126	549.68207	1027.10144	-240.38583	698.62701	881.99292	-348.0625	656.33667	877.05823	-241.28696	719.45917	711.37524	-273.10251	796.43158	802.23389	-147.03082	822.74744	824.98547	-11.81368	780.7207	811.46252	-21.2528	871.07684	785.81952	661.6347	-349.77408	726.18793	78.79309	-356.38336	721.55035	64.19949	887.54517	724.85272	645.4325	894.09869	725.22845	-215.43933	155.35292	601.40002	-245.5957	458.78186	589.17615	-215.43933	155.35292	601.40002	-245.5957	458.78186	589.17615	120.4672	177.90164	965.80652	-62.08045	54.15094	912.58716
17	0.133	-337.5784	403.2377	1094.63428	-178.12888	395.9231	940.66589	-410.68112	219.65121	982.27478	-493.85651	283.77206	634.29303	-486.42072	309.58743	621.57513	-493.37256	350.28204	620.2572	-342.4003	98.2383	664.09607	-374.51489	513.021	611.94415	-215.52214	155.37396	601.47424	-245.79044	458.76971	589.1676	-276.68677	253.7804	1111.15515	-127.15368	128.81013	1027.37549	-66.8217	81.94365	858.19678	-59.0704	27.48637	966.57141	50.121	98.32761	988.62811	140.28058	143.98445	951.83173	97.32159	214.58203	981.78442	-297.47369	549.85834	1027.10718	-240.71104	698.83429	882.25952	-348.33142	656.50977	876.83661	-240.89764	719.78839	711.68335	-272.83118	796.70422	802.48553	-146.69778	823.21948	825.25177	-11.35178	781.55542	811.3924	-21.08139	871.98431	786.14191	661.6344	-349.77176	726.18658	78.79792	-356.37802	721.54895	64.19434	887.54578	724.85944	645.43414	894.1001	725.22565	-215.52214	155.37396	601.47424	-245.79044	458.76971	589.1676	-215.52214	155.37396	601.47424	-245.79044	458.76971	589.1676	118.80109	179.28323	966.80804	-62.94605	54.71501	912.38409
18	0.142	-338.32248	403.44363	1094.58899	-178.81441	396.23132	940.75909	-411.23019	219.78586	982.22467	-494.01901	283.72491	634.11987	-486.55927	309.52487	621.39612	-493.54013	350.22061	620.03906	-342.49966	98.22997	664.08911	-374.77597	512.96558	611.81104	-215.59749	155.41365	601.55988	-246.00539	458.77301	589.15582	-277.41714	254.05392	1111.26794	-127.99437	129.09801	1027.37744	-67.7522	82.62383	857.9856	-60.07832	27.85859	966.18182	48.53406	99.32902	988.99567	138.57335	145.71593	952.79297	95.09964	215.99641	982.76422	-298.36996	550.05212	1027.11035	-241.01633	699.0531	882.54584	-348.58707	656.69293	876.5979	-240.5007	720.1402	711.99738	-272.52881	796.98907	802.74695	-146.32547	823.70032	825.52545	-10.83279	782.43243	811.29193	-20.87992	872.9444	786.46484	661.63318	-349.76834	726.18555	78.80339	-356.37045	721.54871	64.19845	887.54547	724.86456	645.43671	894.10352	725.22357	-215.59749	155.41365	601.55988	-246.00539	458.77301	589.15582	-215.59749	155.41365	601.55988	-246.00539	458.77301	589.15582	116.83649	180.85617	967.77856	-63.91526	55.24121	912.08368
