Version	3																																																																																													
Starting Frame	28																																																																																													
Avg Step Width (cm)	12.04									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	134.925	128.605								131.765	131.765	97.628	135.6715	98.97																																																																																
R_Stride_Len	165.438	157.781								161.6095																																																																																				
R_Cadence	97.297	97.959								97.628																																																																																				
L_Velocity	138.817	132.526								135.6715																																																																																				
L_Stride_Len	167.862	160.221								164.0415																																																																																				
L_Cadence	99.31	98.63								98.97																																																																																				
R_Support_Time	60.811	61.905								61.358																																																																																				
L_Support_Time	61.379	63.014								62.1965																																																																																				
R_Non_Support	39.189	38.095								38.642																																																																																				
L_Non_Support	38.621	36.986								37.8035																																																																																				
R_Step_Len	85.19	82.767	80.327							82.76133333																																																																																				
L_Step_Len	82.672	77.455								80.0635																																																																																				
R_Dbl_Support	11.486	11.565								11.5255																																																																																				
L_Dbl_Support	11.724	11.644								11.684																																																																																				
RHS	80	228	375																																																																																											
LHS	8	153	299																																																																																											
RTO	25	170	319																																																																																											
LTO	97	245	395																																																																																											
RHS FP	80																																																																																													
LHS FP																																																																																														
