Version	3.0
Starting Frame	79
Avg Step Width (cm)	  11.90
R_Velocity	118.829	116.894
R_Stride_Len	147.719	146.849
R_Cadence	95.364	95.364
L_Velocity	117.982	115.915
L_Stride_Len	147.170	148.305
L_Cadence	96.000	93.506
R_Support_Time	58.940	58.940
L_Support_Time	64.000	62.987
R_Non_Support	41.060	41.060
L_Non_Support	36.000	37.013
R_Step_Len	76.797	76.476
L_Step_Len	70.922	70.373	71.830
R_Dbl_Support	11.921	13.245
L_Dbl_Support	9.333	9.740
RHS	67.000	218.000	369.000
LHS	142.000	292.000	446.000
RTO	156.000	307.000	459.000
LTO	85.000	238.000	389.000
RHS FP	
LHS FP	142.000	292.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-5.956	-3.623	-5.693	-15.148	-1.744	28.798	17.294	0.777	-13.970	34.845	14.757	6.763	-15.244	6.597	29.255	11.645	-4.366	20.052	-7.910	-0.073	1.930	26.915	25.466	-13.390	0.000	0.000	0.000	-0.283	-5.650	3.850	2.939	9.728	-0.929	-2.929	57.292	0.000	-7.250	-0.167	0.000	-0.210	0.005	0.005	-0.100	-0.015	-0.001	-0.031	-0.008	-0.004	0.000	0.000	0.000	-0.182	-0.049	-0.014	-0.065	-0.031	-0.007	-0.020	-0.001	-0.001	0.000	0.000	0.000	-0.009	-0.039	-0.119	0.001	-0.017	-0.001	-0.003	-0.001	-0.017	-0.004	-0.040	0.136	0.001	-0.013	-0.057	-0.001	-0.000	-0.014	0.295	0.003	-0.069	0.250	0.009	0.021	9.403	31.463	56.524	16.115	29.336	8.409	7.164	11.586
-5.714	-3.862	-4.439	-15.133	-1.859	31.407	17.157	0.858	-16.665	34.315	14.743	6.577	-15.674	6.638	28.387	12.401	-4.469	20.008	-8.248	-0.189	2.588	27.124	25.460	-13.220	0.000	0.000	0.000	-0.227	-5.716	3.710	2.905	9.633	-0.999	-2.754	61.102	0.000	-7.252	-0.071	0.000	-0.209	0.006	0.004	-0.098	-0.017	-0.002	-0.032	-0.008	-0.005	0.000	0.000	0.000	-0.180	-0.044	-0.016	-0.065	-0.028	-0.007	-0.020	-0.001	-0.001	0.000	0.000	0.000	-0.011	-0.046	-0.124	0.001	-0.021	0.001	-0.003	-0.002	-0.017	-0.004	-0.044	0.125	0.001	-0.014	-0.053	-0.001	-0.000	-0.015	0.329	-0.008	-0.068	0.229	-0.003	0.020	9.033	37.933	59.070	17.704	35.139	8.538	7.449	11.826
-5.531	-3.998	-3.080	-15.144	-2.011	33.994	17.025	0.976	-19.204	33.786	14.752	6.460	-16.027	6.647	27.574	12.972	-4.552	19.921	-8.390	-0.329	3.183	27.377	25.457	-13.010	0.000	0.000	0.000	-0.191	-5.741	3.537	2.832	9.577	-0.998	-2.576	64.667	0.000	-7.256	0.012	0.000	-0.206	0.008	0.003	-0.095	-0.019	-0.002	-0.031	-0.007	-0.006	0.000	0.000	0.000	-0.177	-0.037	-0.018	-0.065	-0.025	-0.008	-0.019	-0.001	-0.001	0.000	0.000	0.000	-0.014	-0.052	-0.127	0.001	-0.026	0.004	-0.003	-0.002	-0.018	-0.004	-0.049	0.110	0.001	-0.015	-0.048	-0.001	-0.000	-0.015	0.360	-0.022	-0.063	0.197	-0.011	0.019	8.604	44.536	60.421	19.390	40.696	8.602	7.666	11.839
-5.417	-4.056	-1.630	-15.142	-2.196	36.540	16.884	1.082	-21.450	33.269	14.781	6.401	-16.278	6.631	26.813	13.355	-4.605	19.805	-8.381	-0.501	3.721	27.669	25.463	-12.772	0.000	0.000	0.000	-0.172	-5.731	3.327	2.734	9.556	-0.948	-2.410	67.864	0.000	-7.261	0.086	0.000	-0.201	0.009	0.002	-0.090	-0.020	-0.003	-0.031	-0.007	-0.007	0.000	0.000	0.000	-0.174	-0.029	-0.019	-0.065	-0.022	-0.008	-0.019	-0.001	-0.001	0.000	0.000	0.000	-0.016	-0.058	-0.130	0.001	-0.030	0.007	-0.004	-0.002	-0.018	-0.004	-0.052	0.093	0.001	-0.015	-0.043	-0.001	-0.000	-0.015	0.386	-0.039	-0.056	0.160	-0.016	0.018	8.192	50.950	60.304	21.075	45.488	8.662	7.819	11.728
-5.370	-4.059	-0.106	-15.085	-2.410	39.034	16.702	1.164	-23.283	32.774	14.828	6.389	-16.410	6.598	26.090	13.566	-4.618	19.660	-8.278	-0.710	4.209	27.997	25.484	-12.517	0.000	0.000	0.000	-0.162	-5.695	3.079	2.619	9.565	-0.869	-2.278	70.585	0.000	-7.266	0.156	0.000	-0.195	0.010	0.000	-0.084	-0.021	-0.004	-0.030	-0.005	-0.007	0.000	0.000	0.000	-0.170	-0.021	-0.020	-0.064	-0.020	-0.007	-0.019	-0.001	-0.001	0.000	0.000	0.000	-0.018	-0.064	-0.132	0.001	-0.034	0.011	-0.004	-0.002	-0.019	-0.004	-0.055	0.075	0.001	-0.015	-0.038	-0.001	-0.000	-0.015	0.406	-0.058	-0.046	0.121	-0.018	0.017	7.841	57.124	58.497	22.622	49.160	8.761	7.914	11.546
-5.382	-4.026	1.475	-14.952	-2.642	41.466	16.468	1.219	-24.612	32.313	14.891	6.407	-16.416	6.556	25.385	13.640	-4.586	19.476	-8.140	-0.957	4.655	28.355	25.523	-12.253	0.000	0.000	0.000	-0.156	-5.641	2.795	2.496	9.597	-0.783	-2.197	72.747	0.000	-7.267	0.219	0.000	-0.188	0.011	-0.002	-0.078	-0.021	-0.005	-0.030	-0.004	-0.007	0.000	0.000	0.000	-0.167	-0.013	-0.020	-0.064	-0.017	-0.007	-0.018	-0.000	-0.001	0.000	0.000	0.000	-0.020	-0.069	-0.133	0.001	-0.037	0.015	-0.004	-0.002	-0.019	-0.004	-0.057	0.056	0.001	-0.015	-0.033	-0.001	-0.000	-0.014	0.420	-0.077	-0.035	0.085	-0.018	0.015	7.558	63.061	55.303	23.901	51.652	8.918	7.956	11.311
-5.423	-3.977	3.091	-14.766	-2.871	43.816	16.203	1.243	-25.388	31.896	14.971	6.437	-16.305	6.514	24.674	13.621	-4.511	19.240	-8.019	-1.242	5.065	28.737	25.580	-11.986	0.000	0.000	0.000	-0.149	-5.578	2.481	2.371	9.645	-0.706	-2.172	74.295	0.000	-7.264	0.275	0.000	-0.180	0.011	-0.004	-0.071	-0.020	-0.006	-0.029	-0.002	-0.007	0.000	0.000	0.000	-0.164	-0.006	-0.020	-0.064	-0.016	-0.007	-0.018	-0.000	-0.001	0.000	0.000	0.000	-0.022	-0.072	-0.133	0.001	-0.040	0.020	-0.004	-0.002	-0.019	-0.004	-0.059	0.037	0.001	-0.015	-0.029	-0.001	-0.000	-0.014	0.428	-0.095	-0.022	0.053	-0.018	0.014	7.327	68.595	51.287	24.803	53.295	9.123	7.950	11.029
-5.455	-3.920	4.720	-14.578	-3.066	46.056	15.939	1.226	-25.611	31.525	15.067	6.460	-16.102	6.477	23.941	13.557	-4.398	18.944	-7.952	-1.564	5.441	29.137	25.652	-11.715	0.000	0.000	0.000	-0.136	-5.514	2.145	2.247	9.701	-0.651	-2.204	75.210	0.000	-7.255	0.325	0.000	-0.172	0.012	-0.006	-0.064	-0.019	-0.006	-0.027	0.000	-0.007	0.000	0.000	0.000	-0.162	0.000	-0.020	-0.064	-0.014	-0.006	-0.018	-0.000	-0.001	0.000	0.000	0.000	-0.023	-0.075	-0.132	0.001	-0.042	0.025	-0.004	-0.002	-0.018	-0.004	-0.060	0.020	0.001	-0.014	-0.025	-0.001	-0.000	-0.014	0.429	-0.110	-0.008	0.027	-0.017	0.013	7.125	73.440	46.944	25.246	54.650	9.321	7.905	10.735
-5.451	-3.858	6.345	-14.446	-3.202	48.157	15.709	1.164	-25.315	31.198	15.181	6.465	-15.824	6.446	23.181	13.480	-4.255	18.590	-7.951	-1.910	5.788	29.552	25.734	-11.441	0.000	0.000	0.000	-0.115	-5.452	1.795	2.125	9.761	-0.613	-2.291	75.502	0.000	-7.242	0.372	0.000	-0.164	0.012	-0.008	-0.057	-0.018	-0.007	-0.026	0.002	-0.007	0.000	0.000	0.000	-0.160	0.006	-0.019	-0.063	-0.013	-0.006	-0.018	0.000	-0.001	0.000	0.000	0.000	-0.024	-0.076	-0.131	0.001	-0.044	0.029	-0.004	-0.002	-0.018	-0.004	-0.060	0.005	0.001	-0.014	-0.022	-0.001	-0.000	-0.014	0.423	-0.120	0.004	0.007	-0.015	0.012	6.923	77.381	42.521	25.248	56.274	9.436	7.830	10.469
-5.397	-3.782	7.953	-14.411	-3.252	50.093	15.522	1.045	-24.551	30.908	15.311	6.447	-15.468	6.415	22.401	13.393	-4.086	18.198	-8.005	-2.261	6.107	29.979	25.823	-11.159	0.000	0.000	0.000	-0.091	-5.391	1.433	2.001	9.824	-0.567	-2.435	75.200	0.000	-7.230	0.421	0.000	-0.156	0.012	-0.010	-0.051	-0.016	-0.007	-0.025	0.004	-0.007	0.000	0.000	0.000	-0.159	0.011	-0.019	-0.063	-0.012	-0.006	-0.017	0.000	-0.001	0.000	0.000	0.000	-0.024	-0.076	-0.128	0.001	-0.044	0.033	-0.004	-0.002	-0.018	-0.003	-0.061	-0.007	0.001	-0.014	-0.019	-0.001	-0.000	-0.014	0.412	-0.125	0.015	-0.009	-0.014	0.011	6.721	80.624	38.116	24.824	58.530	9.407	7.734	10.258
