Version	2.0
Starting Frame	29
Avg Step Width (cm)	   9.24
R_Velocity	117.601	117.937
R_Stride_Len	122.436	121.170
R_Cadence	116.129	117.073
L_Velocity	113.425	118.825	116.489
L_Stride_Len	119.562	123.129	123.694
L_Cadence	115.200	116.129	115.200
R_Support_Time	63.710	64.228
L_Support_Time	67.200	65.323	64.800
R_Non_Support	36.290	35.772
L_Non_Support	32.800	34.677	35.200
R_Step_Len	60.122	62.996	61.036
L_Step_Len	59.441	60.134	62.658
R_Dbl_Support	15.323	13.821
L_Dbl_Support	16.800	15.323	15.200
RHS	106.000	230.000	353.000
LHS	41.000	166.000	290.000	415.000
RTO	62.000	185.000	309.000	436.000
LTO	125.000	247.000	371.000
RHS FP	106.000
LHS FP	290.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Null	R_Foot_Null	L_Foot_Orientation	L_Foot_Null	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
6.161	10.661	7.139	-6.991	-2.247	8.044	-3.940	-0.269	3.904	36.898	17.103	-13.075	-6.302	-1.551	15.487	-17.544	0.165	58.435	1.782	-0.340	-10.810	37.994	21.372	-9.696				-4.671	0.151	0.124	3.434	2.615	-2.468	-6.231	0.000	0.000	-14.755	0.000	0.000	-0.169	0.017	-0.018	-0.068	-0.004	-0.005	-0.018	0.000	-0.001	0.000	0.000	0.000	-0.143	0.025	-0.017	-0.042	-0.010	-0.004	-0.018	0.009	-0.006	0.000	0.000	0.000	-0.000	-0.053	-0.043	0.001	-0.009	0.003	-0.001	0.001	-0.011	-0.011	-0.044	-0.113	0.004	-0.013	-0.009	-0.004	0.000	-0.011	-0.059	0.002	0.012	0.387	0.008	0.032	561.822	12.422	526.793	304.929	36.244	40.766	181.383	40.905
6.308	10.387	6.493	-6.695	-2.096	7.814	-4.536	-0.351	4.410	37.192	17.342	-12.749	-5.636	-1.089	17.157	-17.446	0.190	58.639	1.093	-0.180	-9.362	37.586	21.230	-10.352				-4.636	0.301	0.302	3.282	2.704	-2.184	-6.238	0.000	0.000	-15.165	0.000	0.000	-0.171	0.017	-0.018	-0.068	-0.004	-0.005	-0.018	0.000	-0.001	0.000	0.000	0.000	-0.141	0.028	-0.017	-0.042	-0.010	-0.003	-0.018	0.008	-0.006	0.000	0.000	0.000	-0.000	-0.055	-0.041	0.001	-0.009	0.003	-0.001	0.001	-0.012	-0.009	-0.043	-0.118	0.004	-0.011	-0.010	-0.004	0.000	-0.011	-0.058	0.002	0.012	0.387	0.003	0.032	580.183	13.109	537.765	275.082	36.449	42.320	197.329	44.261
6.328	10.151	5.843	-6.291	-1.979	7.600	-5.143	-0.443	4.913	37.504	17.565	-12.413	-4.799	-0.618	18.730	-17.451	0.323	58.540	0.543	-0.076	-7.944	37.181	21.093	-11.046				-4.596	0.448	0.467	3.145	2.783	-1.871	-6.235	0.000	0.000	-15.469	0.000	0.000	-0.172	0.016	-0.019	-0.069	-0.004	-0.005	-0.018	0.000	-0.001	0.000	0.000	0.000	-0.138	0.031	-0.017	-0.042	-0.011	-0.001	-0.018	0.007	-0.005	0.000	0.000	0.000	-0.000	-0.057	-0.038	0.001	-0.009	0.002	-0.001	0.001	-0.012	-0.007	-0.040	-0.121	0.003	-0.008	-0.011	-0.003	0.001	-0.011	-0.057	0.001	0.012	0.379	-0.004	0.032	587.480	13.661	541.522	237.610	36.350	43.024	209.836	47.439
6.237	9.958	5.186	-5.811	-1.899	7.397	-5.729	-0.544	5.403	37.836	17.770	-12.069	-3.845	-0.151	20.204	-17.584	0.522	58.152	0.166	-0.019	-6.593	36.781	20.964	-11.772				-4.551	0.591	0.621	3.027	2.853	-1.541	-6.218	0.000	0.000	-15.674	0.000	0.000	-0.171	0.015	-0.019	-0.068	-0.004	-0.006	-0.018	0.000	-0.001	0.000	0.000	0.000	-0.134	0.033	-0.015	-0.042	-0.011	0.000	-0.018	0.006	-0.005	0.000	0.000	0.000	-0.000	-0.058	-0.035	0.001	-0.009	0.002	-0.001	0.001	-0.012	-0.005	-0.036	-0.122	0.003	-0.004	-0.013	-0.003	0.001	-0.011	-0.054	0.001	0.011	0.362	-0.013	0.031	586.498	14.134	540.281	197.503	36.153	43.034	218.892	50.595
6.065	9.806	4.515	-5.289	-1.851	7.197	-6.266	-0.647	5.868	38.189	17.955	-11.716	-2.845	0.302	21.580	-17.841	0.735	57.494	-0.032	0.003	-5.330	36.388	20.846	-12.521				-4.502	0.727	0.765	2.927	2.911	-1.212	-6.184	0.000	0.000	-15.796	0.000	0.000	-0.169	0.013	-0.019	-0.068	-0.004	-0.006	-0.018	0.000	-0.001	0.000	0.000	0.000	-0.131	0.035	-0.013	-0.043	-0.012	0.002	-0.018	0.005	-0.004	0.000	0.000	0.000	-0.000	-0.060	-0.031	0.001	-0.009	0.002	-0.001	0.001	-0.012	-0.003	-0.030	-0.121	0.003	0.000	-0.016	-0.003	0.001	-0.012	-0.050	0.001	0.011	0.338	-0.024	0.030	580.342	14.561	537.050	158.347	35.908	42.615	224.152	53.645
5.843	9.685	3.822	-4.754	-1.826	6.984	-6.738	-0.747	6.302	38.563	18.117	-11.356	-1.873	0.735	22.856	-18.198	0.905	56.585	-0.077	0.006	-4.168	36.003	20.744	-13.284				-4.451	0.851	0.902	2.843	2.956	-0.901	-6.135	0.000	0.000	-15.859	0.000	0.000	-0.167	0.012	-0.020	-0.067	-0.005	-0.006	-0.018	0.000	-0.001	0.000	0.000	0.000	-0.128	0.037	-0.011	-0.044	-0.014	0.004	-0.018	0.004	-0.003	0.000	0.000	0.000	-0.000	-0.061	-0.027	0.001	-0.010	0.002	-0.001	0.001	-0.012	-0.001	-0.024	-0.118	0.002	0.004	-0.019	-0.002	0.001	-0.012	-0.045	0.001	0.011	0.307	-0.039	0.028	571.862	14.952	534.606	122.491	35.642	42.108	225.605	56.294
5.598	9.589	3.102	-4.229	-1.817	6.749	-7.139	-0.843	6.701	38.955	18.256	-10.989	-0.991	1.140	24.031	-18.611	0.991	55.444	-0.013	0.001	-3.118	35.623	20.660	-14.047				-4.402	0.962	1.034	2.772	2.991	-0.621	-6.077	0.000	0.000	-15.887	0.000	0.000	-0.165	0.010	-0.021	-0.066	-0.005	-0.006	-0.018	0.000	-0.001	0.000	0.000	0.000	-0.126	0.038	-0.008	-0.046	-0.015	0.005	-0.019	0.002	-0.002	0.000	0.000	0.000	-0.001	-0.063	-0.023	0.001	-0.010	0.001	-0.001	0.001	-0.012	0.001	-0.017	-0.113	0.002	0.009	-0.023	-0.002	0.001	-0.012	-0.039	0.001	0.010	0.271	-0.058	0.026	561.858	15.294	533.491	91.196	35.510	41.822	223.777	58.098
5.355	9.510	2.354	-3.730	-1.819	6.487	-7.475	-0.932	7.070	39.362	18.370	-10.612	-0.246	1.510	25.103	-19.030	0.970	54.088	0.114	-0.004	-2.188	35.242	20.600	-14.798				-4.355	1.055	1.164	2.711	3.015	-0.382	-6.019	0.000	0.000	-15.904	0.000	0.000	-0.162	0.008	-0.022	-0.065	-0.005	-0.007	-0.017	0.000	-0.001	0.000	0.000	0.000	-0.125	0.038	-0.005	-0.048	-0.018	0.007	-0.020	0.001	-0.002	0.000	0.000	0.000	-0.001	-0.065	-0.019	0.001	-0.010	0.001	-0.001	0.001	-0.012	0.003	-0.010	-0.106	0.001	0.013	-0.028	-0.001	0.001	-0.013	-0.032	0.001	0.010	0.230	-0.084	0.023	548.812	15.535	531.422	64.983	35.663	41.964	219.763	58.611
5.130	9.446	1.579	-3.262	-1.832	6.199	-7.758	-1.016	7.416	39.776	18.460	-10.218	0.343	1.835	26.067	-19.416	0.846	52.525	0.266	-0.006	-1.384	34.856	20.564	-15.527				-4.311	1.132	1.293	2.657	3.031	-0.189	-5.968	0.000	0.000	-15.924	0.000	0.000	-0.160	0.006	-0.023	-0.065	-0.005	-0.007	-0.017	0.000	-0.001	0.000	0.000	0.000	-0.126	0.036	-0.002	-0.050	-0.021	0.009	-0.022	-0.001	-0.001	0.000	0.000	0.000	-0.001	-0.067	-0.014	0.001	-0.011	0.000	-0.001	0.001	-0.012	0.004	-0.004	-0.096	0.001	0.017	-0.035	-0.001	0.001	-0.013	-0.026	0.000	0.009	0.187	-0.117	0.020	529.860	15.601	524.320	43.866	36.147	42.641	213.962	57.479
4.940	9.393	0.782	-2.831	-1.853	5.888	-8.007	-1.096	7.747	40.190	18.529	-9.800	0.775	2.110	26.922	-19.745	0.632	50.760	0.421	-0.005	-0.709	34.461	20.552	-16.231				-4.267	1.191	1.420	2.609	3.043	-0.044	-5.933	0.000	0.000	-15.956	0.000	0.000	-0.157	0.004	-0.024	-0.064	-0.005	-0.007	-0.017	0.000	-0.001	0.000	0.000	0.000	-0.129	0.035	0.001	-0.053	-0.024	0.011	-0.023	-0.002	-0.001	0.000	0.000	0.000	-0.001	-0.069	-0.011	0.001	-0.011	-0.000	-0.001	0.001	-0.012	0.005	0.001	-0.085	0.000	0.021	-0.042	-0.000	0.001	-0.013	-0.019	-0.000	0.009	0.143	-0.158	0.017	504.124	15.399	510.106	27.493	36.911	43.859	205.842	54.656
