Version	3.0
Starting Frame	51
Avg Step Width (cm)	  12.87
R_Velocity	119.466	120.579	118.634
R_Stride_Len	142.071	139.536	142.151
R_Cadence	100.699	103.597	100.699
L_Velocity	121.839	119.425
L_Stride_Len	141.287	139.280
L_Cadence	103.597	102.128
R_Support_Time	63.636	62.590	62.238
L_Support_Time	64.748	63.830
R_Non_Support	36.364	37.410	37.762
L_Non_Support	35.252	36.170
R_Step_Len	72.985	71.235	74.105
L_Step_Len	69.086	68.302	68.045
R_Dbl_Support	13.287	13.669	13.287
L_Dbl_Support	13.669	13.475
RHS	13.000	156.000	295.000	438.000
LHS	85.000	224.000	365.000
RTO	104.000	243.000	384.000
LTO	32.000	175.000	314.000	458.000
RHS FP	295.000
LHS FP	85.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Null	R_Foot_Null	L_Foot_Orientation	L_Foot_Null	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-12.057	-1.117	29.362	-30.872	0.114	-3.739	22.472	-18.034	5.896	29.898	22.385	-2.773	-17.470	-0.054	-9.732	2.389	-0.864	2.793	15.208	-25.387	16.239	50.863	24.107	4.762	0.000	0.000	0.000	-0.160	-2.886	-4.181	-0.947	8.081	3.385	-18.111	0.000	0.000	-4.377	0.000	0.000	-0.179	0.053	0.010	-0.078	-0.023	0.020	-0.016	-0.029	0.013	0.000	0.000	0.000	-0.185	-0.001	-0.013	-0.074	-0.008	0.000	-0.019	-0.002	0.009	0.000	0.000	0.000	-0.006	0.053	0.129	-0.006	0.098	-0.128	0.006	0.003	-0.001	-0.001	-0.022	0.031	-0.000	-0.000	-0.015	0.004	0.002	-0.008	0.079	-0.184	0.000	0.010	0.018	0.000	11.032	77.618	3.775	4.325	120.120	6.208	20.506	24.694
-11.856	-0.974	29.086	-30.364	0.023	-4.240	22.402	-16.711	5.151	29.573	22.364	-2.825	-17.691	-0.268	-10.067	2.649	-1.074	3.425	15.201	-25.401	16.203	50.873	24.160	4.755	0.000	0.000	0.000	-0.158	-2.983	-4.150	-0.987	8.032	3.500	-17.186	0.000	0.000	-4.400	0.000	0.000	-0.182	0.057	0.012	-0.078	-0.019	0.019	-0.016	-0.028	0.012	0.000	0.000	0.000	-0.188	0.000	-0.013	-0.076	-0.009	0.000	-0.019	-0.002	0.009	0.000	0.000	0.000	-0.006	0.057	0.105	-0.006	0.093	-0.118	0.006	0.003	-0.001	-0.001	-0.024	0.028	-0.000	-0.000	-0.015	0.004	0.002	-0.008	0.056	-0.088	0.000	0.007	0.019	-0.000	10.917	73.022	3.802	4.435	129.148	6.367	19.132	27.531
-11.638	-0.824	28.856	-29.966	-0.031	-4.414	22.362	-15.870	4.366	29.258	22.352	-2.902	-17.923	-0.513	-10.393	2.902	-1.304	4.099	15.215	-25.341	16.140	50.848	24.187	4.714	0.000	0.000	0.000	-0.155	-3.102	-4.108	-1.053	7.975	3.595	-16.399	0.000	0.000	-4.385	0.000	0.000	-0.185	0.061	0.013	-0.078	-0.015	0.017	-0.016	-0.026	0.012	0.000	0.000	0.000	-0.191	0.001	-0.014	-0.077	-0.008	0.000	-0.019	-0.002	0.010	0.000	0.000	0.000	-0.006	0.061	0.078	-0.005	0.086	-0.105	0.006	0.003	-0.002	-0.001	-0.026	0.022	-0.000	-0.000	-0.015	0.004	0.002	-0.008	0.037	-0.010	-0.001	0.004	0.019	-0.001	10.547	65.842	3.758	4.481	136.563	6.453	17.411	29.972
-11.444	-0.661	28.671	-29.633	-0.044	-4.286	22.327	-15.566	3.548	28.956	22.357	-3.009	-18.164	-0.791	-10.709	3.147	-1.551	4.813	15.246	-25.205	16.049	50.787	24.185	4.641	0.000	0.000	0.000	-0.154	-3.245	-4.053	-1.149	7.913	3.669	-15.763	0.000	0.000	-4.333	0.000	0.000	-0.188	0.064	0.014	-0.079	-0.011	0.014	-0.016	-0.024	0.012	0.000	0.000	0.000	-0.192	0.003	-0.014	-0.078	-0.008	0.000	-0.020	-0.002	0.010	0.000	0.000	0.000	-0.006	0.064	0.050	-0.005	0.078	-0.091	0.006	0.003	-0.003	-0.001	-0.027	0.015	-0.000	-0.000	-0.013	0.004	0.002	-0.008	0.022	0.046	-0.003	0.002	0.018	-0.001	9.967	57.119	3.668	4.510	141.771	6.475	15.588	31.818
-11.311	-0.477	28.522	-29.315	-0.020	-3.893	22.277	-15.771	2.698	28.671	22.379	-3.147	-18.418	-1.105	-11.017	3.379	-1.812	5.565	15.290	-24.986	15.921	50.694	24.155	4.537	0.000	0.000	0.000	-0.153	-3.412	-3.981	-1.275	7.844	3.714	-15.271	0.000	0.000	-4.247	0.000	0.000	-0.191	0.066	0.015	-0.079	-0.008	0.012	-0.016	-0.021	0.011	0.000	0.000	0.000	-0.194	0.005	-0.015	-0.078	-0.007	0.000	-0.020	-0.002	0.010	0.000	0.000	0.000	-0.006	0.065	0.023	-0.005	0.070	-0.076	0.006	0.003	-0.003	-0.000	-0.028	0.006	-0.000	-0.001	-0.010	0.004	0.002	-0.008	0.010	0.080	-0.006	0.000	0.015	-0.002	9.259	47.933	3.555	4.566	144.379	6.465	13.875	32.929
-11.268	-0.264	28.401	-28.958	0.031	-3.273	22.203	-16.400	1.824	28.403	22.418	-3.315	-18.686	-1.452	-11.319	3.588	-2.085	6.355	15.345	-24.670	15.742	50.572	24.101	4.396	0.000	0.000	0.000	-0.155	-3.604	-3.898	-1.433	7.766	3.724	-14.898	0.000	0.000	-4.136	0.000	0.000	-0.194	0.066	0.016	-0.080	-0.004	0.011	-0.017	-0.019	0.011	0.000	0.000	0.000	-0.195	0.007	-0.015	-0.079	-0.006	0.000	-0.020	-0.002	0.009	0.000	0.000	0.000	-0.005	0.065	-0.000	-0.004	0.061	-0.061	0.006	0.003	-0.004	-0.000	-0.030	-0.004	0.000	-0.001	-0.007	0.004	0.002	-0.009	-0.000	0.093	-0.009	0.000	0.011	-0.002	8.488	39.071	3.432	4.674	143.645	6.443	12.419	33.199
-11.340	-0.017	28.300	-28.525	0.098	-2.461	22.109	-17.345	0.950	28.151	22.464	-3.505	-18.970	-1.833	-11.616	3.758	-2.367	7.185	15.406	-24.242	15.494	50.428	24.030	4.208	0.000	0.000	0.000	-0.158	-3.818	-3.811	-1.624	7.676	3.693	-14.617	0.000	0.000	-4.011	0.000	0.000	-0.197	0.065	0.016	-0.081	-0.002	0.009	-0.017	-0.017	0.011	0.000	0.000	0.000	-0.196	0.009	-0.014	-0.080	-0.004	-0.000	-0.020	-0.001	0.009	0.000	0.000	0.000	-0.005	0.063	-0.019	-0.004	0.052	-0.048	0.006	0.003	-0.005	0.000	-0.031	-0.016	0.000	-0.001	-0.002	0.004	0.002	-0.009	-0.009	0.092	-0.013	0.002	0.004	-0.003	7.697	31.013	3.311	4.835	139.255	6.410	11.305	32.583
-11.526	0.268	28.210	-28.009	0.173	-1.491	22.005	-18.509	0.120	27.915	22.509	-3.703	-19.268	-2.246	-11.906	3.875	-2.658	8.064	15.476	-23.687	15.160	50.267	23.949	3.962	0.000	0.000	0.000	-0.166	-4.049	-3.731	-1.848	7.571	3.621	-14.403	0.000	0.000	-3.884	0.000	0.000	-0.200	0.061	0.015	-0.081	-0.000	0.007	-0.018	-0.015	0.011	0.000	0.000	0.000	-0.197	0.012	-0.014	-0.082	-0.002	-0.000	-0.021	-0.001	0.009	0.000	0.000	0.000	-0.004	0.059	-0.032	-0.003	0.044	-0.036	0.006	0.003	-0.006	0.000	-0.031	-0.029	0.000	-0.001	0.003	0.004	0.002	-0.009	-0.017	0.082	-0.016	0.008	-0.005	-0.005	6.934	24.022	3.204	5.024	131.409	6.364	10.567	31.196
-11.795	0.588	28.118	-27.441	0.249	-0.400	21.903	-19.806	-0.611	27.691	22.541	-3.900	-19.579	-2.693	-12.179	3.929	-2.954	9.005	15.557	-23.003	14.723	50.091	23.862	3.649	0.000	0.000	0.000	-0.181	-4.290	-3.668	-2.104	7.449	3.511	-14.240	0.000	0.000	-3.766	0.000	0.000	-0.202	0.056	0.014	-0.082	0.000	0.006	-0.018	-0.013	0.011	0.000	0.000	0.000	-0.199	0.014	-0.013	-0.083	0.001	-0.001	-0.021	0.000	0.009	0.000	0.000	0.000	-0.003	0.053	-0.038	-0.003	0.036	-0.027	0.006	0.002	-0.007	0.001	-0.031	-0.043	0.000	-0.001	0.008	0.004	0.002	-0.010	-0.022	0.068	-0.019	0.017	-0.017	-0.007	6.230	18.206	3.116	5.208	120.637	6.314	10.258	29.289
-12.099	0.943	28.016	-26.875	0.323	0.781	21.812	-21.147	-1.193	27.473	22.554	-4.083	-19.893	-3.179	-12.422	3.908	-3.254	10.027	15.659	-22.217	14.169	49.895	23.773	3.266	0.000	0.000	0.000	-0.206	-4.536	-3.627	-2.391	7.306	3.375	-14.118	0.000	0.000	-3.666	0.000	0.000	-0.204	0.050	0.013	-0.083	-0.001	0.005	-0.019	-0.011	0.010	0.000	0.000	0.000	-0.200	0.018	-0.012	-0.085	0.003	-0.001	-0.022	0.001	0.009	0.000	0.000	0.000	-0.002	0.046	-0.037	-0.002	0.028	-0.020	0.006	0.002	-0.008	0.001	-0.031	-0.057	0.000	-0.001	0.014	0.004	0.002	-0.010	-0.024	0.054	-0.020	0.032	-0.031	-0.009	5.601	13.573	3.045	5.355	107.703	6.269	10.417	27.133
