R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Null	R_Foot_Null	L_Foot_Orientation	L_Foot_Null	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS
3.131	8.352	-7.084	-9.517	-2.513	-0.836	3.971	0.572	8.184	43.864	14.192	-0.794	1.268	3.441	28.716	-20.511	-1.233	21.759	1.523	-0.02	-0.735	32.36	32.873	-23.768				-7.237	3.089	3.085	0.488	4.467	-2.08	-5.398	0	0	-14.462	0	0	-0.069	0.003	-0.011	-0.027	0	-0.003	-0.007	0	0	0	0	0	-0.074	0.005	-0.011	-0.031	-0.031	0.004	-0.008	-0.017	0.003	0	0	0	0	-0.029	-0.004	0	-0.003	-0.003	0	0	-0.004	-0.009	-0.044	0.108	-0.002	0.01	-0.071	0.002	0.001	0	-0.006	-0.001	0.003	0.042	-0.476	0	23.298	0.976	29.727	1.902	3.093	6.213	3.771	1.641
3.193	8.24	-7.746	-9.326	-2.475	-0.951	3.896	0.586	8.535	44.083	14.115	0.174	1.062	3.491	28.536	-20.334	-1.555	18.474	2.019	-0.037	-1.046	31.963	32.997	-24.47				-7.213	3.064	3.161	0.441	4.556	-2.3	-5.479	0	0	-13.929	0	0	-0.092	0.004	-0.014	-0.037	-0.001	-0.003	-0.01	0	-0.001	0	0	0	-0.097	0.006	-0.015	-0.042	-0.041	0.006	-0.011	-0.022	0.004	0	0	0	0	-0.037	-0.006	0	-0.004	-0.003	0	0	-0.005	-0.01	-0.056	0.141	-0.003	0.013	-0.09	0.003	0.002	0	-0.008	-0.001	0.004	0.05	-0.569	0	44.642	1.891	56.789	3.73	5.923	11.127	6.702	2.892
3.226	8.135	-8.373	-9.05	-2.45	-1	3.759	0.589	8.898	44.294	14.046	1.139	0.83	3.551	28.38	-20.131	-1.901	15.383	2.565	-0.058	-1.296	31.578	33.115	-25.176				-7.185	3.035	3.222	0.4	4.649	-2.52	-5.557	0	0	-13.358	0	0	-0.113	0.004	-0.017	-0.045	-0.001	-0.004	-0.012	0	-0.001	0	0	0	-0.118	0.005	-0.018	-0.053	-0.048	0.007	-0.014	-0.027	0.004	0	0	0	0	-0.043	-0.007	0	-0.005	-0.003	0	0.001	-0.006	-0.012	-0.065	0.172	-0.003	0.017	-0.106	0.003	0.002	0	-0.01	0	0.005	0.055	-0.631	0	68.173	2.939	85.905	5.8	9.034	15.747	9.425	3.996
3.232	8.036	-8.965	-8.692	-2.437	-0.98	3.562	0.582	9.271	44.496	13.99	2.093	0.596	3.621	28.247	-19.915	-2.248	12.524	3.144	-0.081	-1.474	31.203	33.223	-25.882				-7.152	3.001	3.266	0.366	4.747	-2.736	-5.624	0	0	-12.755	0	0	-0.132	0.005	-0.02	-0.052	-0.001	-0.004	-0.014	0	-0.001	0	0	0	-0.135	0.004	-0.021	-0.062	-0.055	0.007	-0.017	-0.031	0.005	0	0	0	0	-0.049	-0.01	0	-0.006	-0.004	0	0.001	-0.007	-0.013	-0.073	0.2	-0.004	0.02	-0.121	0.004	0.002	0.001	-0.012	0	0.006	0.057	-0.658	0	91.868	4.063	114.119	7.906	12.167	19.563	11.561	4.846
3.213	7.945	-9.522	-8.27	-2.433	-0.887	3.322	0.566	9.654	44.687	13.951	3.023	0.387	3.698	28.134	-19.698	-2.578	9.926	3.737	-0.103	-1.575	30.837	33.314	-26.58				-7.116	2.961	3.293	0.34	4.847	-2.943	-5.677	0	0	-12.129	0	0	-0.147	0.006	-0.022	-0.058	-0.001	-0.005	-0.016	0	-0.001	0	0	0	-0.148	0.002	-0.023	-0.069	-0.059	0.008	-0.019	-0.035	0.005	0	0	0	0	-0.053	-0.013	0	-0.006	-0.003	0	0.001	-0.008	-0.014	-0.077	0.225	-0.004	0.023	-0.132	0.004	0.002	0.001	-0.015	0.001	0.007	0.055	-0.65	0	114.651	5.255	139.414	9.882	15.136	22.337	13.021	5.471
3.169	7.862	-10.047	-7.809	-2.439	-0.72	3.063	0.543	10.044	44.868	13.932	3.914	0.224	3.781	28.038	-19.495	-2.88	7.612	4.326	-0.121	-1.604	30.478	33.382	-27.26				-7.076	2.914	3.303	0.324	4.947	-3.137	-5.711	0	0	-11.487	0	0	-0.16	0.007	-0.023	-0.064	-0.001	-0.005	-0.017	0	-0.001	0	0	0	-0.158	0	-0.023	-0.074	-0.063	0.009	-0.021	-0.037	0.005	0	0	0	0	-0.056	-0.017	0	-0.006	-0.003	0	0.001	-0.009	-0.015	-0.079	0.244	-0.004	0.027	-0.141	0.004	0.003	0.001	-0.019	0.001	0.008	0.051	-0.609	0	135.807	6.524	160.364	11.635	17.802	24.08	13.901	5.947
3.102	7.792	-10.543	-7.332	-2.457	-0.476	2.804	0.517	10.436	45.039	13.94	4.738	0.115	3.869	27.953	-19.31	-3.151	5.603	4.896	-0.135	-1.576	30.119	33.423	-27.908				-7.037	2.859	3.301	0.32	5.042	-3.314	-5.724	0	0	-10.839	0	0	-0.17	0.009	-0.024	-0.068	0	-0.005	-0.018	0	-0.001	0	0	0	-0.166	-0.001	-0.023	-0.078	-0.064	0.01	-0.022	-0.039	0.005	0	0	0	0	-0.058	-0.022	0	-0.006	-0.002	0	0.001	-0.01	-0.015	-0.077	0.258	-0.005	0.03	-0.146	0.005	0.003	0.001	-0.025	0.001	0.008	0.046	-0.54	0	155.031	7.881	176.491	13.14	20.036	24.922	14.293	6.355
3.018	7.74	-11.012	-6.857	-2.489	-0.151	2.552	0.488	10.826	45.202	13.975	5.467	0.059	3.962	27.877	-19.146	-3.393	3.918	5.435	-0.144	-1.517	29.754	33.43	-28.511				-6.998	2.795	3.292	0.329	5.129	-3.471	-5.719	0	0	-10.198	0	0	-0.178	0.011	-0.024	-0.071	0	-0.005	-0.019	0	-0.001	0	0	0	-0.17	-0.002	-0.021	-0.08	-0.065	0.011	-0.023	-0.04	0.005	0	0	0	0	-0.058	-0.03	0	-0.006	-0.001	0	0.001	-0.01	-0.015	-0.072	0.266	-0.005	0.033	-0.148	0.005	0.003	0.001	-0.031	0.001	0.009	0.041	-0.451	0	172.403	9.322	187.836	14.397	21.711	25.077	14.259	6.767
2.92	7.707	-11.458	-6.393	-2.537	0.256	2.306	0.457	11.209	45.358	14.041	6.073	0.05	4.061	27.81	-19.009	-3.605	2.567	5.935	-0.152	-1.466	29.377	33.4	-29.057				-6.96	2.724	3.28	0.352	5.206	-3.606	-5.697	0	0	-9.581	0	0	-0.184	0.013	-0.024	-0.073	0.001	-0.005	-0.019	0	-0.001	0	0	0	-0.173	-0.002	-0.019	-0.081	-0.064	0.012	-0.023	-0.04	0.006	0	0	0	0	-0.058	-0.039	0	-0.006	0	0	0.001	-0.011	-0.015	-0.065	0.267	-0.005	0.037	-0.147	0.005	0.003	0.001	-0.039	0	0.009	0.036	-0.351	0	188.078	10.818	194.691	15.442	22.794	24.742	13.849	7.224
2.814	7.694	-11.879	-5.94	-2.6	0.751	2.058	0.422	11.579	45.51	14.137	6.539	0.087	4.163	27.746	-18.923	-3.784	1.548	6.394	-0.164	-1.467	28.987	33.333	-29.543				-6.923	2.645	3.267	0.388	5.27	-3.716	-5.663	0	0	-9.008	0	0	-0.189	0.016	-0.024	-0.076	0.003	-0.004	-0.02	0.001	-0.001	0	0	0	-0.176	-0.001	-0.016	-0.081	-0.062	0.013	-0.023	-0.039	0.006	0	0	0	0	-0.056	-0.05	0	-0.005	0.002	0	0.001	-0.011	-0.015	-0.055	0.26	-0.005	0.039	-0.143	0.005	0.003	0.001	-0.046	-0.003	0.009	0.034	-0.25	0.001	202.137	12.302	197.587	16.356	23.284	24.115	13.105	7.739
