Version	3.0
Starting Frame	69
Avg Step Width (cm)	  13.43
R_Velocity	123.957	125.428	124.862
R_Stride_Len	140.783	144.814	144.013
R_Cadence	105.109	104.348	105.109
L_Velocity	124.346	126.464
L_Stride_Len	143.781	141.139
L_Cadence	104.348	105.882
R_Support_Time	64.964	65.942	64.964
L_Support_Time	63.768	63.235
R_Non_Support	35.036	34.058	35.036
L_Non_Support	36.232	36.765
R_Step_Len	70.695	71.728	74.601
L_Step_Len	70.088	73.086	69.411
R_Dbl_Support	16.058	15.217	13.869
L_Dbl_Support	13.768	14.706
RHS	32.000	169.000	307.000	444.000
LHS	102.000	240.000	376.000
RTO	121.000	260.000	396.000
LTO	54.000	190.000	326.000	466.000
RHS FP	
LHS FP	102.000	240.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Null	R_Foot_Null	L_Foot_Orientation	L_Foot_Null	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-13.413	-4.646	31.288	-32.577	0.084	46.606	24.836	-19.320	3.639	30.858	22.001	-6.763	-12.112	0.612	0.284	-10.654	-0.061	-0.488	21.852	-13.377	9.373	45.022	24.145	4.043	0.000	0.000	0.000	-0.408	-4.719	-3.445	-2.168	5.144	3.434	-18.730	0.000	0.000	-5.021	0.000	0.000	-0.140	0.030	0.013	-0.059	-0.020	0.019	-0.024	-0.005	0.009	0.000	0.000	0.000	-0.168	-0.003	-0.014	-0.067	-0.004	-0.004	-0.018	-0.001	0.004	0.000	0.000	0.000	0.009	0.042	-0.044	-0.001	0.030	-0.023	0.004	0.002	-0.010	0.000	-0.042	0.018	0.000	-0.009	-0.003	0.002	0.001	-0.007	0.036	-0.124	-0.001	0.023	-0.001	0.005	14.300	84.790	3.356	5.379	4.950	5.357	11.265	8.334
-12.782	-4.462	31.602	-33.236	0.721	44.305	24.784	-19.951	4.053	30.840	22.040	-6.922	-12.103	0.528	-0.398	-9.055	0.064	-0.542	20.432	-15.287	10.168	45.706	24.297	4.571	0.000	0.000	0.000	-0.391	-4.661	-3.575	-2.239	5.193	3.486	-19.067	0.000	0.000	-5.011	0.000	0.000	-0.144	0.031	0.012	-0.063	-0.021	0.019	-0.025	-0.006	0.010	0.000	0.000	0.000	-0.169	-0.002	-0.015	-0.068	-0.003	-0.004	-0.018	-0.001	0.005	0.000	0.000	0.000	0.008	0.040	-0.041	-0.001	0.032	-0.027	0.005	0.002	-0.011	0.000	-0.043	0.015	0.000	-0.010	-0.002	0.002	0.001	-0.007	0.029	-0.155	-0.002	0.018	-0.000	0.006	13.862	93.389	3.510	5.356	4.868	5.541	13.440	8.779
-12.111	-4.259	31.850	-33.919	1.317	41.875	24.706	-20.568	4.368	30.802	22.080	-7.072	-12.191	0.453	-1.050	-7.516	0.178	-0.565	19.115	-16.981	10.833	46.336	24.440	5.103	0.000	0.000	0.000	-0.376	-4.596	-3.688	-2.300	5.247	3.503	-19.397	0.000	0.000	-4.998	0.000	0.000	-0.147	0.033	0.011	-0.068	-0.022	0.019	-0.026	-0.007	0.011	0.000	0.000	0.000	-0.169	-0.001	-0.015	-0.068	-0.002	-0.004	-0.018	-0.001	0.005	0.000	0.000	0.000	0.008	0.038	-0.037	-0.001	0.035	-0.031	0.005	0.003	-0.011	0.000	-0.043	0.012	0.000	-0.010	-0.001	0.002	0.001	-0.008	0.021	-0.190	-0.003	0.014	-0.000	0.007	13.482	101.445	3.626	5.178	4.789	5.695	16.216	9.016
-11.433	-4.047	32.041	-34.581	1.842	39.334	24.565	-21.137	4.571	30.739	22.118	-7.211	-12.348	0.392	-1.668	-6.148	0.278	-0.575	17.982	-18.342	11.379	46.903	24.574	5.635	0.000	0.000	0.000	-0.359	-4.528	-3.784	-2.344	5.311	3.494	-19.721	0.000	0.000	-4.984	0.000	0.000	-0.151	0.034	0.010	-0.072	-0.023	0.019	-0.027	-0.008	0.012	0.000	0.000	0.000	-0.168	-0.001	-0.015	-0.067	-0.001	-0.004	-0.018	-0.000	0.006	0.000	0.000	0.000	0.007	0.035	-0.031	-0.001	0.037	-0.035	0.006	0.003	-0.011	0.000	-0.044	0.009	0.000	-0.011	-0.000	0.002	0.001	-0.008	0.013	-0.227	-0.004	0.011	0.000	0.008	13.211	108.548	3.707	4.905	4.826	5.822	19.644	9.047
-10.802	-3.838	32.179	-35.171	2.260	36.697	24.346	-21.652	4.661	30.649	22.156	-7.339	-12.539	0.354	-2.250	-4.986	0.363	-0.582	17.050	-19.370	11.844	47.403	24.696	6.159	0.000	0.000	0.000	-0.340	-4.459	-3.868	-2.366	5.395	3.478	-20.040	0.000	0.000	-4.971	0.000	0.000	-0.154	0.035	0.008	-0.076	-0.024	0.019	-0.027	-0.009	0.013	0.000	0.000	0.000	-0.167	-0.000	-0.015	-0.067	-0.000	-0.004	-0.017	-0.000	0.006	0.000	0.000	0.000	0.006	0.031	-0.024	-0.001	0.039	-0.040	0.006	0.003	-0.011	0.000	-0.044	0.007	0.000	-0.011	0.000	0.003	0.001	-0.008	0.006	-0.267	-0.004	0.008	0.000	0.009	13.058	114.643	3.754	4.600	5.112	5.922	23.723	8.916
-10.275	-3.645	32.258	-35.651	2.551	33.969	24.055	-22.143	4.667	30.539	22.192	-7.460	-12.735	0.340	-2.805	-4.001	0.435	-0.587	16.289	-20.128	12.262	47.841	24.807	6.667	0.000	0.000	0.000	-0.320	-4.395	-3.939	-2.361	5.497	3.472	-20.357	0.000	0.000	-4.961	0.000	0.000	-0.158	0.036	0.007	-0.080	-0.025	0.019	-0.028	-0.010	0.013	0.000	0.000	0.000	-0.165	-0.000	-0.015	-0.066	-0.000	-0.004	-0.017	-0.000	0.006	0.000	0.000	0.000	0.005	0.027	-0.014	-0.001	0.041	-0.045	0.007	0.003	-0.011	0.000	-0.044	0.005	0.000	-0.011	0.001	0.003	0.001	-0.008	0.001	-0.310	-0.005	0.006	0.000	0.009	13.014	119.875	3.777	4.310	5.806	5.993	28.361	8.675
-9.883	-3.475	32.265	-36.002	2.716	31.152	23.716	-22.666	4.635	30.412	22.229	-7.580	-12.918	0.351	-3.347	-3.168	0.495	-0.593	15.673	-20.681	12.660	48.228	24.909	7.152	0.000	0.000	0.000	-0.298	-4.342	-3.998	-2.326	5.610	3.488	-20.673	0.000	0.000	-4.955	0.000	0.000	-0.161	0.037	0.007	-0.084	-0.026	0.019	-0.028	-0.011	0.014	0.000	0.000	0.000	-0.164	-0.001	-0.016	-0.066	0.000	-0.004	-0.017	0.000	0.006	0.000	0.000	0.000	0.004	0.022	-0.003	-0.002	0.043	-0.050	0.007	0.003	-0.011	0.000	-0.043	0.004	0.000	-0.011	0.001	0.003	0.001	-0.008	-0.000	-0.358	-0.005	0.005	0.000	0.009	13.011	124.390	3.794	4.068	7.072	6.036	33.321	8.371
-9.626	-3.326	32.189	-36.227	2.779	28.241	23.357	-23.280	4.615	30.274	22.264	-7.698	-13.093	0.382	-3.888	-2.483	0.545	-0.601	15.206	-21.081	13.059	48.576	25.002	7.607	0.000	0.000	0.000	-0.276	-4.301	-4.046	-2.266	5.726	3.525	-20.986	0.000	0.000	-4.953	0.000	0.000	-0.165	0.038	0.006	-0.087	-0.027	0.018	-0.028	-0.013	0.014	0.000	0.000	0.000	-0.163	-0.001	-0.016	-0.066	-0.000	-0.004	-0.017	0.000	0.006	0.000	0.000	0.000	0.003	0.018	0.011	-0.002	0.046	-0.057	0.007	0.003	-0.011	0.000	-0.043	0.005	0.000	-0.011	0.001	0.003	0.001	-0.008	0.004	-0.412	-0.004	0.005	0.000	0.009	12.979	128.020	3.855	3.893	9.068	6.057	38.239	8.066
-9.488	-3.182	32.022	-36.338	2.764	25.236	23.005	-24.002	4.636	30.129	22.298	-7.814	-13.270	0.421	-4.437	-1.940	0.586	-0.612	14.889	-21.385	13.475	48.897	25.090	8.030	0.000	0.000	0.000	-0.256	-4.273	-4.085	-2.193	5.837	3.578	-21.285	0.000	0.000	-4.960	0.000	0.000	-0.169	0.038	0.006	-0.089	-0.028	0.018	-0.028	-0.015	0.015	0.000	0.000	0.000	-0.162	-0.002	-0.016	-0.066	-0.001	-0.004	-0.017	0.000	0.007	0.000	0.000	0.000	0.002	0.014	0.026	-0.002	0.049	-0.064	0.007	0.003	-0.011	0.000	-0.042	0.006	0.000	-0.011	0.001	0.003	0.001	-0.008	0.014	-0.470	-0.004	0.007	0.000	0.009	12.875	130.838	4.020	3.799	11.956	6.069	42.744	7.832
-9.462	-3.028	31.763	-36.344	2.680	22.149	22.688	-24.765	4.691	29.981	22.327	-7.927	-13.460	0.458	-4.999	-1.515	0.621	-0.624	14.706	-21.645	13.915	49.200	25.175	8.422	0.000	0.000	0.000	-0.239	-4.255	-4.113	-2.115	5.936	3.641	-21.544	0.000	0.000	-4.980	0.000	0.000	-0.172	0.037	0.006	-0.091	-0.029	0.018	-0.028	-0.017	0.015	0.000	0.000	0.000	-0.162	-0.003	-0.015	-0.066	-0.001	-0.004	-0.016	0.000	0.007	0.000	0.000	0.000	0.002	0.010	0.043	-0.003	0.053	-0.073	0.008	0.003	-0.010	0.000	-0.040	0.009	0.000	-0.010	0.001	0.003	0.001	-0.008	0.033	-0.533	-0.002	0.010	0.000	0.008	12.700	133.389	4.338	3.788	15.890	6.086	46.519	7.738
