Version	3.0
Starting Frame	42
Avg Step Width (cm)	  12.27
R_Velocity	139.113	136.564
R_Stride_Len	140.383	138.896
R_Cadence	119.008	118.033
L_Velocity	137.648	135.568
L_Stride_Len	139.055	139.492
L_Cadence	118.033	117.073
R_Support_Time	57.025	57.377
L_Support_Time	62.295	61.789
R_Non_Support	42.975	42.623
L_Non_Support	37.705	38.211
R_Step_Len	69.932	69.773
L_Step_Len	70.451	69.123	69.719
R_Dbl_Support	11.570	12.295
L_Dbl_Support	7.377	7.317
RHS	57.000	178.000	300.000
LHS	117.000	239.000	362.000
RTO	3.000	126.000	248.000	371.000
LTO	71.000	193.000	315.000
RHS FP	
LHS FP	117.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-13.793	-4.447	-5.561	-14.698	-1.350	32.776	7.667	-17.193	-6.355	57.375	20.782	-10.060	-20.255	-0.696	24.259	-2.847	-1.941	10.837	15.869	-7.410	-1.395	14.244	19.516	-22.883	0.000	0.000	0.000	-1.753	-4.896	4.370	0.444	6.935	0.238	-20.166	50.009	0.000	-7.207	-2.977	0.000	-0.216	0.055	-0.016	-0.113	0.002	-0.021	-0.039	0.002	0.001	0.000	0.000	0.000	-0.210	-0.015	0.018	-0.080	-0.020	0.013	-0.025	-0.006	0.005	0.000	0.000	0.000	-0.024	-0.132	-0.316	0.006	-0.068	0.052	0.000	0.000	-0.023	0.001	0.057	0.053	-0.001	0.023	-0.028	0.003	0.002	-0.012	0.966	-0.299	-0.086	0.042	0.041	0.012	35.308	15.206	4.921	14.000	20.806	6.573	7.214	8.559
-14.328	-4.905	-4.189	-14.413	-1.549	35.663	6.683	-16.891	-9.136	56.816	20.580	-10.640	-19.504	-0.522	23.808	-3.041	-1.855	11.610	15.640	-7.509	-0.596	14.443	19.532	-22.298	0.000	0.000	0.000	-1.710	-4.914	4.474	0.451	6.921	0.543	-20.697	53.219	0.000	-7.140	-2.565	0.000	-0.213	0.054	-0.017	-0.109	-0.000	-0.022	-0.039	0.002	-0.000	0.000	0.000	0.000	-0.207	-0.017	0.014	-0.078	-0.021	0.011	-0.024	-0.005	0.005	0.000	0.000	0.000	-0.027	-0.139	-0.315	0.006	-0.071	0.055	-0.000	-0.000	-0.024	0.001	0.045	0.057	-0.001	0.020	-0.030	0.003	0.001	-0.013	1.031	-0.317	-0.081	0.047	0.040	0.015	42.719	17.591	5.125	13.640	25.051	6.824	7.826	8.449
-14.973	-5.432	-2.734	-13.870	-1.843	38.566	5.613	-16.485	-11.698	56.169	20.345	-11.211	-18.819	-0.295	23.275	-3.358	-1.733	12.243	15.555	-7.539	0.251	14.691	19.543	-21.669	0.000	0.000	0.000	-1.650	-4.910	4.572	0.519	6.895	0.841	-21.087	56.057	0.000	-7.103	-2.275	0.000	-0.207	0.050	-0.018	-0.102	-0.003	-0.022	-0.038	0.002	-0.002	0.000	0.000	0.000	-0.201	-0.018	0.008	-0.076	-0.021	0.008	-0.023	-0.004	0.004	0.000	0.000	0.000	-0.029	-0.143	-0.308	0.007	-0.074	0.059	-0.001	-0.000	-0.024	0.001	0.031	0.059	-0.001	0.016	-0.032	0.002	0.001	-0.013	1.062	-0.330	-0.071	0.055	0.037	0.017	51.569	20.112	5.282	13.031	29.444	7.021	8.350	8.236
-15.703	-6.017	-1.215	-13.136	-2.230	41.429	4.537	-15.980	-13.886	55.443	20.084	-11.769	-18.271	-0.020	22.667	-3.709	-1.601	12.728	15.598	-7.502	1.106	14.992	19.542	-21.000	0.000	0.000	0.000	-1.574	-4.886	4.665	0.643	6.861	1.131	-21.349	58.407	0.000	-7.092	-2.072	0.000	-0.201	0.045	-0.018	-0.095	-0.004	-0.022	-0.037	0.003	-0.003	0.000	0.000	0.000	-0.195	-0.019	0.002	-0.073	-0.020	0.006	-0.022	-0.003	0.004	0.000	0.000	0.000	-0.031	-0.145	-0.296	0.007	-0.075	0.062	-0.001	-0.001	-0.024	0.000	0.016	0.060	-0.001	0.012	-0.032	0.002	0.001	-0.012	1.058	-0.337	-0.059	0.063	0.031	0.018	61.500	22.701	5.386	12.205	33.886	7.200	8.739	7.942
-16.464	-6.635	0.360	-12.312	-2.694	44.194	3.542	-15.414	-15.571	54.647	19.804	-12.311	-17.906	0.291	22.004	-4.020	-1.488	13.075	15.742	-7.389	1.935	15.350	19.520	-20.296	0.000	0.000	0.000	-1.484	-4.840	4.750	0.807	6.829	1.406	-21.503	60.203	0.000	-7.102	-1.927	0.000	-0.193	0.039	-0.017	-0.086	-0.006	-0.021	-0.036	0.005	-0.004	0.000	0.000	0.000	-0.189	-0.020	-0.005	-0.070	-0.020	0.003	-0.021	-0.002	0.003	0.000	0.000	0.000	-0.032	-0.145	-0.280	0.007	-0.075	0.065	-0.002	-0.001	-0.024	-0.000	-0.000	0.061	-0.000	0.008	-0.033	0.002	0.001	-0.012	1.019	-0.335	-0.044	0.070	0.024	0.018	71.779	25.210	5.417	11.189	38.270	7.397	8.949	7.597
-17.200	-7.252	1.986	-11.505	-3.202	46.803	2.719	-14.844	-16.675	53.789	19.517	-12.831	-17.738	0.622	21.310	-4.241	-1.416	13.296	15.956	-7.193	2.712	15.764	19.468	-19.559	0.000	0.000	0.000	-1.385	-4.772	4.825	0.988	6.812	1.658	-21.568	61.442	0.000	-7.128	-1.817	0.000	-0.185	0.032	-0.016	-0.077	-0.007	-0.021	-0.034	0.006	-0.004	0.000	0.000	0.000	-0.182	-0.020	-0.011	-0.068	-0.019	0.001	-0.020	-0.001	0.003	0.000	0.000	0.000	-0.033	-0.142	-0.260	0.007	-0.074	0.067	-0.002	-0.001	-0.024	-0.001	-0.016	0.060	-0.000	0.003	-0.032	0.002	0.001	-0.012	0.948	-0.324	-0.028	0.077	0.017	0.018	81.421	27.503	5.362	10.042	42.498	7.619	8.971	7.231
-17.864	-7.834	3.653	-10.811	-3.724	49.204	2.148	-14.342	-17.171	52.875	19.233	-13.323	-17.752	0.950	20.601	-4.352	-1.395	13.408	16.210	-6.915	3.422	16.233	19.383	-18.796	0.000	0.000	0.000	-1.280	-4.685	4.884	1.165	6.817	1.885	-21.553	62.165	0.000	-7.162	-1.722	0.000	-0.177	0.026	-0.014	-0.067	-0.008	-0.020	-0.032	0.008	-0.005	0.000	0.000	0.000	-0.176	-0.020	-0.016	-0.066	-0.018	-0.001	-0.019	-0.000	0.002	0.000	0.000	0.000	-0.033	-0.137	-0.237	0.007	-0.072	0.069	-0.002	-0.001	-0.023	-0.001	-0.030	0.059	0.000	-0.001	-0.031	0.001	0.001	-0.012	0.854	-0.303	-0.012	0.082	0.009	0.017	89.430	29.437	5.215	8.871	46.490	7.860	8.794	6.863
-18.430	-8.344	5.343	-10.305	-4.232	51.348	1.888	-13.970	-17.093	51.912	18.960	-13.781	-17.900	1.257	19.884	-4.361	-1.421	13.427	16.482	-6.576	4.061	16.754	19.263	-18.016	0.000	0.000	0.000	-1.177	-4.582	4.922	1.316	6.843	2.092	-21.456	62.434	0.000	-7.202	-1.630	0.000	-0.169	0.019	-0.012	-0.058	-0.008	-0.018	-0.030	0.010	-0.005	0.000	0.000	0.000	-0.170	-0.019	-0.021	-0.064	-0.018	-0.003	-0.019	0.000	0.002	0.000	0.000	0.000	-0.032	-0.130	-0.212	0.007	-0.069	0.069	-0.002	-0.001	-0.022	-0.002	-0.043	0.057	0.000	-0.004	-0.030	0.001	0.001	-0.011	0.744	-0.273	0.002	0.084	0.002	0.016	95.354	30.863	4.994	7.772	50.357	8.097	8.450	6.516
-18.892	-8.749	7.032	-10.030	-4.705	53.198	1.976	-13.756	-16.519	50.906	18.705	-14.205	-18.119	1.524	19.158	-4.306	-1.482	13.361	16.765	-6.208	4.632	17.320	19.106	-17.226	0.000	0.000	0.000	-1.082	-4.468	4.936	1.420	6.885	2.290	-21.268	62.308	0.000	-7.243	-1.535	0.000	-0.162	0.013	-0.009	-0.050	-0.009	-0.017	-0.027	0.011	-0.005	0.000	0.000	0.000	-0.166	-0.018	-0.024	-0.063	-0.017	-0.004	-0.018	0.001	0.001	0.000	0.000	0.000	-0.031	-0.121	-0.186	0.007	-0.065	0.068	-0.002	-0.001	-0.021	-0.002	-0.054	0.054	0.000	-0.007	-0.029	0.001	0.001	-0.011	0.628	-0.235	0.014	0.084	-0.004	0.015	99.296	31.669	4.759	6.801	54.165	8.269	8.029	6.222
-19.245	-9.033	8.697	-9.998	-5.124	54.727	2.415	-13.689	-15.553	49.859	18.472	-14.593	-18.349	1.738	18.415	-4.232	-1.561	13.214	17.059	-5.847	5.145	17.927	18.914	-16.432	0.000	0.000	0.000	-1.001	-4.347	4.925	1.467	6.932	2.484	-20.973	61.829	0.000	-7.283	-1.434	0.000	-0.154	0.008	-0.007	-0.042	-0.009	-0.015	-0.025	0.012	-0.004	0.000	0.000	0.000	-0.162	-0.017	-0.026	-0.062	-0.016	-0.005	-0.018	0.001	0.001	0.000	0.000	0.000	-0.029	-0.110	-0.161	0.006	-0.060	0.066	-0.002	-0.001	-0.020	-0.003	-0.062	0.051	0.001	-0.010	-0.028	0.001	0.000	-0.011	0.514	-0.193	0.023	0.082	-0.009	0.013	101.352	31.823	4.566	5.987	57.656	8.311	7.626	5.992
