Version	3.0
Starting Frame	58
Avg Step Width (cm)	  13.08
R_Velocity	128.775	128.264
R_Stride_Len	134.263	133.747
R_Cadence	115.200	115.200
L_Velocity	128.278	126.271
L_Stride_Len	134.392	130.546
L_Cadence	114.286	115.200
R_Support_Time	63.200	63.200
L_Support_Time	57.937	57.600
R_Non_Support	36.800	36.800
L_Non_Support	42.063	42.400
R_Step_Len	66.288	65.643
L_Step_Len	67.976	68.104	64.904
R_Dbl_Support	7.200	8.000
L_Dbl_Support	13.492	12.800
RHS	30.000	155.000	280.000
LHS	92.000	218.000	343.000
RTO	109.000	234.000	359.000
LTO	39.000	165.000	290.000
RHS FP	155.000
LHS FP	
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-15.633	-4.668	27.096	-12.569	-1.749	41.800	4.331	-15.628	2.086	40.712	17.214	-16.501	-7.195	0.402	3.998	-10.082	0.159	4.701	17.728	-8.070	11.360	30.285	14.755	-2.142	0.000	0.000	0.000	-1.715	-1.689	1.052	-2.011	8.005	8.344	-15.877	20.396	0.000	-8.100	0.376	0.000	-0.143	0.026	0.001	-0.067	-0.027	0.010	-0.027	-0.005	0.007	0.000	0.000	0.000	-0.165	0.040	0.000	-0.067	-0.003	-0.002	-0.018	0.000	0.003	0.000	0.000	0.000	0.001	0.024	-0.028	-0.001	0.012	-0.037	0.004	0.003	-0.013	0.000	-0.011	-0.072	0.000	-0.005	0.000	0.002	0.001	-0.010	0.029	-0.180	0.011	-0.099	0.000	0.007	13.219	30.530	4.245	4.257	56.812	22.644	13.543	5.417
-15.154	-4.525	27.640	-12.731	-1.572	39.429	4.152	-15.664	2.339	35.919	17.167	-16.894	-7.033	0.397	3.304	-10.244	0.158	4.361	17.738	-8.054	11.744	31.150	14.709	-1.583	0.000	0.000	0.000	-1.659	-1.617	0.817	-2.011	8.137	8.445	-15.710	17.425	0.000	-8.177	0.498	0.000	-0.150	0.026	0.004	-0.072	-0.029	0.011	-0.029	-0.006	0.008	0.000	0.000	0.000	-0.165	0.036	-0.001	-0.067	-0.003	-0.002	-0.018	0.000	0.003	0.000	0.000	0.000	0.001	0.030	-0.016	-0.001	0.015	-0.045	0.004	0.003	-0.013	0.000	-0.013	-0.063	0.000	-0.005	-0.001	0.002	0.001	-0.010	0.014	-0.231	0.008	-0.093	-0.001	0.007	14.506	32.671	4.479	4.453	56.678	22.277	14.979	5.594
-14.702	-4.369	28.114	-12.852	-1.484	36.915	4.023	-15.665	2.443	32.355	17.128	-17.326	-7.123	0.439	2.570	-10.309	0.138	4.008	17.733	-8.065	12.161	32.016	14.676	-1.060	0.000	0.000	0.000	-1.575	-1.574	0.593	-1.983	8.266	8.396	-15.588	14.539	0.000	-8.272	0.621	0.000	-0.155	0.025	0.007	-0.076	-0.031	0.012	-0.030	-0.007	0.009	0.000	0.000	0.000	-0.164	0.031	-0.003	-0.067	-0.004	-0.002	-0.018	0.000	0.003	0.000	0.000	0.000	0.001	0.035	0.000	-0.001	0.018	-0.054	0.005	0.003	-0.013	0.000	-0.016	-0.051	0.000	-0.005	-0.002	0.002	0.001	-0.010	-0.000	-0.292	0.005	-0.080	-0.001	0.007	15.732	35.160	4.684	4.610	55.054	21.181	16.415	5.746
-14.313	-4.193	28.518	-12.892	-1.482	34.284	3.921	-15.608	2.402	29.840	17.100	-17.795	-7.465	0.530	1.794	-10.282	0.103	3.641	17.724	-8.102	12.608	32.880	14.653	-0.576	0.000	0.000	0.000	-1.466	-1.557	0.378	-1.931	8.391	8.198	-15.533	11.750	0.000	-8.381	0.749	0.000	-0.161	0.023	0.010	-0.080	-0.033	0.013	-0.030	-0.009	0.009	0.000	0.000	0.000	-0.163	0.025	-0.005	-0.067	-0.005	-0.002	-0.018	0.000	0.003	0.000	0.000	0.000	0.000	0.040	0.020	-0.002	0.021	-0.064	0.005	0.003	-0.013	0.000	-0.019	-0.037	0.000	-0.005	-0.003	0.002	0.001	-0.010	-0.012	-0.363	0.002	-0.061	-0.002	0.007	16.841	38.331	4.829	4.730	52.405	19.639	17.798	5.890
-14.019	-4.000	28.857	-12.815	-1.550	31.563	3.821	-15.465	2.225	28.128	17.085	-18.295	-8.039	0.668	0.979	-10.175	0.058	3.262	17.719	-8.158	13.076	33.739	14.641	-0.131	0.000	0.000	0.000	-1.335	-1.563	0.169	-1.859	8.509	7.862	-15.563	9.065	0.000	-8.503	0.889	0.000	-0.166	0.021	0.014	-0.084	-0.036	0.014	-0.031	-0.011	0.010	0.000	0.000	0.000	-0.161	0.017	-0.007	-0.066	-0.005	-0.002	-0.018	0.000	0.003	0.000	0.000	0.000	0.000	0.045	0.043	-0.002	0.025	-0.075	0.005	0.004	-0.013	0.000	-0.022	-0.021	0.000	-0.004	-0.004	0.002	0.001	-0.010	-0.019	-0.443	-0.000	-0.037	-0.003	0.007	17.791	42.418	4.888	4.808	49.461	17.845	19.097	6.043
-13.852	-3.795	29.130	-12.602	-1.660	28.776	3.705	-15.214	1.935	27.000	17.084	-18.819	-8.805	0.853	0.133	-10.008	0.007	2.877	17.724	-8.222	13.555	34.588	14.641	0.277	0.000	0.000	0.000	-1.185	-1.589	-0.035	-1.769	8.621	7.414	-15.696	6.480	0.000	-8.638	1.044	0.000	-0.172	0.018	0.016	-0.087	-0.038	0.015	-0.031	-0.013	0.010	0.000	0.000	0.000	-0.160	0.008	-0.009	-0.066	-0.006	-0.002	-0.018	0.000	0.003	0.000	0.000	0.000	-0.000	0.050	0.069	-0.003	0.029	-0.088	0.006	0.004	-0.012	-0.000	-0.025	-0.005	0.000	-0.004	-0.005	0.002	0.001	-0.010	-0.019	-0.530	-0.002	-0.009	-0.004	0.007	18.632	47.542	4.890	4.847	46.779	15.975	20.315	6.227
-13.837	-3.588	29.340	-12.254	-1.770	25.940	3.568	-14.855	1.559	26.286	17.099	-19.356	-9.707	1.075	-0.729	-9.804	-0.043	2.495	17.745	-8.286	14.034	35.423	14.650	0.654	0.000	0.000	0.000	-1.025	-1.628	-0.234	-1.665	8.729	6.891	-15.938	3.987	0.000	-8.783	1.222	0.000	-0.176	0.015	0.019	-0.089	-0.041	0.015	-0.032	-0.016	0.011	0.000	0.000	0.000	-0.159	0.000	-0.011	-0.066	-0.006	-0.001	-0.018	0.000	0.003	0.000	0.000	0.000	-0.001	0.054	0.097	-0.003	0.033	-0.101	0.006	0.004	-0.011	-0.000	-0.027	0.010	0.000	-0.003	-0.006	0.002	0.001	-0.010	-0.009	-0.621	-0.003	0.018	-0.004	0.007	19.369	53.692	4.886	4.852	44.771	14.202	21.460	6.471
-13.990	-3.395	29.482	-11.795	-1.833	23.065	3.414	-14.414	1.131	25.857	17.132	-19.899	-10.666	1.321	-1.590	-9.595	-0.085	2.129	17.791	-8.339	14.503	36.236	14.665	1.007	0.000	0.000	0.000	-0.861	-1.672	-0.428	-1.551	8.833	6.342	-16.287	1.572	0.000	-8.934	1.427	0.000	-0.180	0.013	0.020	-0.091	-0.044	0.016	-0.031	-0.018	0.011	0.000	0.000	0.000	-0.158	-0.008	-0.013	-0.066	-0.007	-0.001	-0.018	0.000	0.003	0.000	0.000	0.000	-0.001	0.059	0.127	-0.004	0.037	-0.115	0.006	0.004	-0.010	-0.000	-0.029	0.024	0.000	-0.002	-0.007	0.002	0.001	-0.010	0.011	-0.712	-0.004	0.042	-0.004	0.007	19.934	60.684	4.905	4.834	43.690	12.670	22.513	6.785
-14.319	-3.225	29.558	-11.257	-1.814	20.162	3.250	-13.940	0.685	25.615	17.183	-20.435	-11.593	1.569	-2.427	-9.416	-0.114	1.797	17.869	-8.373	14.949	37.019	14.683	1.348	0.000	0.000	0.000	-0.703	-1.713	-0.614	-1.433	8.938	5.824	-16.727	-0.779	0.000	-9.087	1.664	0.000	-0.183	0.010	0.021	-0.092	-0.046	0.016	-0.031	-0.021	0.011	0.000	0.000	0.000	-0.158	-0.015	-0.014	-0.066	-0.007	-0.000	-0.018	0.000	0.004	0.000	0.000	0.000	-0.002	0.062	0.157	-0.004	0.042	-0.129	0.007	0.004	-0.009	-0.000	-0.030	0.035	-0.000	-0.001	-0.007	0.002	0.001	-0.010	0.039	-0.798	-0.003	0.061	-0.004	0.006	20.225	68.185	4.948	4.803	43.639	11.449	23.453	7.165
-14.822	-3.083	29.573	-10.681	-1.697	17.257	3.093	-13.482	0.259	25.486	17.251	-20.952	-12.404	1.795	-3.224	-9.299	-0.127	1.513	17.978	-8.388	15.363	37.763	14.701	1.685	0.000	0.000	0.000	-0.560	-1.741	-0.794	-1.315	9.045	5.387	-17.230	-3.076	0.000	-9.234	1.940	0.000	-0.186	0.008	0.022	-0.093	-0.049	0.017	-0.030	-0.024	0.011	0.000	0.000	0.000	-0.158	-0.020	-0.015	-0.067	-0.007	0.000	-0.018	0.000	0.004	0.000	0.000	0.000	-0.003	0.066	0.188	-0.005	0.047	-0.144	0.007	0.004	-0.007	-0.000	-0.030	0.044	-0.000	-0.001	-0.007	0.002	0.001	-0.010	0.076	-0.872	-0.003	0.072	-0.003	0.006	20.186	75.799	4.998	4.768	44.646	10.546	24.336	7.595
