Version	3.0
Starting Frame	31
Avg Step Width (cm)	  12.39
R_Velocity	137.770	135.388
R_Stride_Len	139.384	137.136
R_Cadence	119.008	118.033
L_Velocity	136.358	132.523
L_Stride_Len	138.625	136.163
L_Cadence	118.033	116.129
R_Support_Time	57.025	57.377
L_Support_Time	62.295	62.903
R_Non_Support	42.975	42.623
L_Non_Support	37.705	37.097
R_Step_Len	69.921	68.432
L_Step_Len	69.463	68.704	67.731
R_Dbl_Support	13.223	12.295
L_Dbl_Support	7.377	7.258
RHS	52.000	173.000	295.000
LHS	112.000	234.000	358.000
RTO	121.000	243.000	367.000
LTO	68.000	188.000	312.000
RHS FP	
LHS FP	112.000	235.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-18.771	-6.334	1.473	-11.621	-3.019	44.514	6.709	-12.460	-17.010	51.086	20.100	-13.151	-18.366	1.292	19.863	-3.566	-0.842	9.787	14.345	-8.327	1.880	15.821	20.378	-19.843	0.000	0.000	0.000	-2.063	-4.595	4.143	0.613	7.484	0.793	-18.562	63.390	0.000	-7.961	-2.192	0.000	-0.187	0.034	-0.020	-0.081	-0.003	-0.021	-0.035	0.007	-0.003	0.000	0.000	0.000	-0.182	-0.023	-0.002	-0.070	-0.016	0.002	-0.021	-0.001	0.003	0.000	0.000	0.000	-0.031	-0.148	-0.258	0.006	-0.072	0.073	-0.002	-0.001	-0.024	-0.000	-0.007	0.052	0.000	0.003	-0.021	0.002	0.001	-0.012	0.897	-0.348	-0.027	0.056	0.013	0.017	23.161	33.348	7.453	6.805	44.858	6.963	9.151	7.784
-18.966	-6.878	3.157	-11.159	-3.352	46.861	5.692	-12.651	-17.640	50.153	19.734	-13.611	-18.058	1.592	19.306	-3.681	-0.849	10.022	14.261	-8.233	2.588	16.073	20.349	-19.105	0.000	0.000	0.000	-1.964	-4.494	4.187	0.748	7.571	0.921	-18.920	64.060	0.000	-7.943	-2.026	0.000	-0.181	0.033	-0.019	-0.075	-0.003	-0.022	-0.034	0.009	-0.004	0.000	0.000	0.000	-0.179	-0.022	-0.007	-0.069	-0.016	0.001	-0.021	-0.001	0.003	0.000	0.000	0.000	-0.033	-0.149	-0.256	0.006	-0.073	0.077	-0.002	-0.001	-0.024	-0.000	-0.016	0.052	0.000	0.001	-0.022	0.002	0.001	-0.012	0.885	-0.340	-0.013	0.061	0.009	0.016	25.803	38.128	7.541	6.601	49.723	7.037	9.417	8.069
-19.076	-7.351	4.869	-10.780	-3.670	49.004	4.838	-12.939	-17.846	49.167	19.373	-14.045	-17.831	1.866	18.708	-3.822	-0.859	10.148	14.262	-8.107	3.277	16.364	20.298	-18.333	0.000	0.000	0.000	-1.862	-4.377	4.218	0.859	7.658	1.028	-19.259	64.266	0.000	-7.940	-1.901	0.000	-0.175	0.032	-0.017	-0.069	-0.003	-0.021	-0.033	0.010	-0.004	0.000	0.000	0.000	-0.176	-0.021	-0.011	-0.068	-0.016	-0.000	-0.020	-0.000	0.003	0.000	0.000	0.000	-0.033	-0.146	-0.250	0.006	-0.074	0.080	-0.002	-0.001	-0.024	-0.001	-0.025	0.051	0.000	-0.001	-0.022	0.002	0.001	-0.012	0.844	-0.318	0.002	0.063	0.004	0.016	28.319	42.110	7.577	6.343	53.879	7.021	9.405	8.266
-19.093	-7.731	6.588	-10.529	-3.958	50.907	4.206	-13.321	-17.645	48.134	19.027	-14.452	-17.681	2.101	18.066	-3.976	-0.875	10.170	14.339	-7.963	3.935	16.699	20.222	-17.536	0.000	0.000	0.000	-1.762	-4.249	4.234	0.933	7.740	1.115	-19.561	64.062	0.000	-7.950	-1.803	0.000	-0.167	0.029	-0.016	-0.062	-0.003	-0.021	-0.031	0.011	-0.005	0.000	0.000	0.000	-0.172	-0.020	-0.015	-0.067	-0.015	-0.001	-0.020	0.000	0.002	0.000	0.000	0.000	-0.034	-0.141	-0.238	0.007	-0.073	0.080	-0.003	-0.002	-0.023	-0.001	-0.034	0.049	0.000	-0.003	-0.021	0.002	0.001	-0.012	0.779	-0.286	0.014	0.064	0.000	0.015	30.733	44.952	7.600	6.070	57.034	6.920	9.179	8.367
-19.017	-8.001	8.293	-10.435	-4.205	52.541	3.838	-13.784	-17.067	47.063	18.703	-14.830	-17.600	2.289	17.379	-4.137	-0.896	10.094	14.482	-7.817	4.555	17.078	20.115	-16.724	0.000	0.000	0.000	-1.669	-4.114	4.229	0.961	7.813	1.186	-19.805	63.489	0.000	-7.968	-1.720	0.000	-0.159	0.026	-0.014	-0.055	-0.003	-0.019	-0.029	0.012	-0.005	0.000	0.000	0.000	-0.168	-0.018	-0.018	-0.066	-0.014	-0.002	-0.019	0.000	0.002	0.000	0.000	0.000	-0.033	-0.134	-0.222	0.007	-0.071	0.079	-0.003	-0.002	-0.023	-0.001	-0.042	0.045	0.000	-0.005	-0.021	0.001	0.001	-0.012	0.697	-0.244	0.025	0.063	-0.003	0.014	33.077	46.384	7.659	5.813	58.942	6.745	8.834	8.385
-18.856	-8.152	9.965	-10.508	-4.403	53.887	3.754	-14.298	-16.153	45.961	18.409	-15.181	-17.573	2.421	16.645	-4.300	-0.917	9.929	14.680	-7.684	5.135	17.505	19.974	-15.904	0.000	0.000	0.000	-1.585	-3.975	4.203	0.939	7.871	1.245	-19.968	62.576	0.000	-7.994	-1.641	0.000	-0.151	0.022	-0.012	-0.048	-0.004	-0.018	-0.027	0.013	-0.005	0.000	0.000	0.000	-0.164	-0.016	-0.020	-0.065	-0.014	-0.003	-0.018	0.000	0.002	0.000	0.000	0.000	-0.032	-0.125	-0.203	0.007	-0.068	0.077	-0.003	-0.002	-0.021	-0.001	-0.049	0.041	0.000	-0.007	-0.020	0.001	0.001	-0.012	0.604	-0.197	0.033	0.060	-0.007	0.013	35.314	46.383	7.788	5.584	59.751	6.528	8.447	8.321
-18.620	-8.184	11.585	-10.736	-4.549	54.935	3.947	-14.822	-14.954	44.836	18.147	-15.505	-17.586	2.497	15.865	-4.461	-0.936	9.685	14.920	-7.577	5.674	17.979	19.800	-15.085	0.000	0.000	0.000	-1.513	-3.835	4.152	0.864	7.912	1.298	-20.032	61.339	0.000	-8.024	-1.560	0.000	-0.143	0.018	-0.010	-0.042	-0.005	-0.016	-0.024	0.013	-0.005	0.000	0.000	0.000	-0.160	-0.013	-0.022	-0.064	-0.013	-0.004	-0.018	0.001	0.002	0.000	0.000	0.000	-0.031	-0.114	-0.182	0.006	-0.063	0.072	-0.003	-0.002	-0.020	-0.001	-0.054	0.036	0.001	-0.008	-0.018	0.001	0.001	-0.011	0.509	-0.147	0.038	0.055	-0.009	0.011	37.257	45.045	8.000	5.385	59.911	6.336	8.095	8.160
-18.324	-8.103	13.141	-11.092	-4.640	55.683	4.387	-15.313	-13.530	43.695	17.921	-15.805	-17.626	2.520	15.040	-4.614	-0.948	9.375	15.189	-7.506	6.178	18.499	19.591	-14.273	0.000	0.000	0.000	-1.453	-3.698	4.077	0.742	7.933	1.351	-19.987	59.790	0.000	-8.058	-1.474	0.000	-0.136	0.015	-0.008	-0.036	-0.006	-0.014	-0.022	0.012	-0.005	0.000	0.000	0.000	-0.157	-0.010	-0.023	-0.063	-0.012	-0.004	-0.018	0.001	0.002	0.000	0.000	0.000	-0.029	-0.102	-0.160	0.006	-0.058	0.066	-0.002	-0.002	-0.019	-0.001	-0.058	0.032	0.001	-0.010	-0.017	0.001	0.001	-0.011	0.418	-0.099	0.041	0.049	-0.010	0.010	38.585	42.711	8.301	5.216	59.822	6.247	7.835	7.907
-17.984	-7.926	14.620	-11.537	-4.678	56.139	5.018	-15.734	-11.952	42.546	17.731	-16.084	-17.680	2.496	14.173	-4.755	-0.951	9.012	15.472	-7.475	6.649	19.061	19.352	-13.471	0.000	0.000	0.000	-1.405	-3.567	3.978	0.581	7.931	1.411	-19.831	57.948	0.000	-8.093	-1.378	0.000	-0.129	0.011	-0.006	-0.032	-0.007	-0.012	-0.020	0.011	-0.004	0.000	0.000	0.000	-0.155	-0.008	-0.023	-0.062	-0.011	-0.005	-0.017	0.001	0.001	0.000	0.000	0.000	-0.026	-0.090	-0.137	0.006	-0.053	0.059	-0.002	-0.001	-0.017	-0.001	-0.061	0.027	0.001	-0.010	-0.015	0.001	0.001	-0.011	0.334	-0.057	0.042	0.043	-0.011	0.008	39.038	39.890	8.699	5.077	59.834	6.312	7.691	7.592
-17.609	-7.673	16.015	-12.026	-4.666	56.315	5.766	-16.056	-10.290	41.396	17.576	-16.349	-17.739	2.437	13.267	-4.881	-0.943	8.606	15.759	-7.484	7.094	19.662	19.084	-12.684	0.000	0.000	0.000	-1.369	-3.443	3.858	0.393	7.909	1.480	-19.575	55.836	0.000	-8.129	-1.272	0.000	-0.124	0.009	-0.005	-0.029	-0.009	-0.009	-0.018	0.010	-0.003	0.000	0.000	0.000	-0.153	-0.006	-0.022	-0.062	-0.010	-0.005	-0.017	0.001	0.001	0.000	0.000	0.000	-0.024	-0.076	-0.116	0.005	-0.047	0.051	-0.002	-0.001	-0.016	-0.001	-0.061	0.023	0.001	-0.011	-0.013	0.001	0.001	-0.011	0.262	-0.021	0.041	0.037	-0.011	0.007	38.466	36.944	9.170	4.967	60.069	6.571	7.641	7.265
