PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\pk_25feb2013\Trimmed_pk2_4.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	277	31	mm	120	1	277																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-338.173	265.91663	1045.84521	-190.79375	268.90103	961.01532	-375.49524	131.38904	905.31818	-380.66415	214.57867	610.42108	-377.61221	252.46228	609.76984	-391.0946	293.75021	611.57275	-267.97104	63.37499	663.72357	-268.28467	470.32538	659.23254	-121.574	129.75661	618.38269	-140.35997	405.69443	609.94202	-227.88805	108.69505	1019.90521	-110.17702	70.71754	867.52222	-107.72395	103.92163	697.62427	-64.5137	32.79476	768.18372	-5.98846	86.22397	798.47797	104.55389	159.26031	793.59583	58.64656	219.48851	805.39496	-258.22394	436.65451	1013.99225	-181.62753	536.77887	833.18976	-270.3287	539.01349	848.23895	-186.61314	498.0351	682.76801	-188.85712	585.97321	731.16724	-31.58149	580.25696	783.12347	41.73093	546.99902	769.14557	24.77927	617.92822	747.73132	646.45319	-368.88663	721.19446	63.55766	-366.15799	722.18677	69.57553	875.68152	723.31427	653.10358	872.37427	719.76373	-121.574	129.75661	618.38269	-140.35997	405.69443	609.94202	-121.57385	129.75696	618.38275	-140.35994	405.69464	609.94196	81.60023	189.3744	799.49536	-86.11883	68.35819	732.90399
2	0.008	-338.08917	266.05289	1045.80334	-190.68285	269.51382	961.07806	-374.896	131.45084	905.33734	-380.51816	214.60075	610.54248	-377.50189	252.49158	609.83417	-391.035	293.74921	611.57391	-267.60745	63.52945	663.91479	-268.40256	470.44241	659.10419	-121.30116	130.04807	618.48199	-140.41502	405.92377	609.82971	-227.40363	109.22147	1020.16052	-109.45594	71.65485	867.83411	-106.99631	104.61298	697.8139	-63.6012	33.78685	768.66162	-5.18687	87.54677	798.55182	105.4367	160.38657	793.17499	59.63136	220.85388	804.34973	-258.61066	437.04721	1013.83746	-181.90382	537.16296	833.18768	-270.73975	539.2807	848.07428	-186.74278	498.49979	682.70874	-188.87132	586.40057	731.18542	-31.61953	580.40198	783.14618	41.66369	547.0343	769.12042	24.76859	618.02252	747.76727	646.45386	-368.88489	721.19781	63.5556	-366.15765	722.18842	69.5823	875.67877	723.31	653.09668	872.37445	719.76862	-121.30116	130.04807	618.48199	-140.41502	405.92377	609.82971	-121.30096	130.04845	618.48212	-140.41493	405.92392	609.82977	82.53403	190.62022	798.76233	-85.29875	69.19991	733.23773
3	0.017	-337.99756	266.22318	1045.76501	-190.5621	270.11633	961.1366	-374.34305	131.58797	905.32159	-380.35834	214.63647	610.66675	-377.36914	252.53932	609.90161	-390.97086	293.75241	611.58081	-267.24713	63.68507	664.11908	-268.50867	470.56537	658.95831	-121.02778	130.33177	618.59399	-140.45912	406.15082	609.70892	-227.01688	109.70733	1020.39789	-108.91622	72.32566	868.09692	-106.35777	105.00464	697.92041	-62.91603	34.46356	769.16663	-4.78642	88.58478	798.78168	105.99362	161.25832	793.09564	60.22557	221.90427	803.59406	-258.96252	437.45157	1013.69598	-182.16864	537.55707	833.1745	-271.12912	539.58075	847.92682	-186.88318	498.97577	682.64008	-188.89088	586.84656	731.20746	-31.661	580.54486	783.15881	41.59171	547.06976	769.09521	24.75685	618.12091	747.80432	646.45508	-368.88397	721.19995	63.55473	-366.15726	722.18829	69.59215	875.67572	723.30597	653.09204	872.37305	719.77386	-121.02778	130.33177	618.59399	-140.45912	406.15082	609.70892	-121.02757	130.33212	618.59436	-140.45901	406.15079	609.70911	83.1096	191.58128	798.34485	-84.63689	69.7341	733.54352
4	0.025	-337.90195	266.43347	1045.72974	-190.43382	270.69968	961.19305	-373.84711	131.79541	905.27423	-380.18878	214.68968	610.79437	-377.21625	252.60327	609.97076	-390.90228	293.7616	611.5921	-266.89328	63.84316	664.33649	-268.60263	470.69858	658.79633	-120.75584	130.60791	618.72119	-140.49179	406.37881	609.58252	-226.74437	110.14738	1020.625	-108.56431	72.72404	868.33087	-105.80284	105.10409	697.97229	-62.44127	34.83678	769.72198	-4.78128	89.35076	799.20245	106.24142	161.90022	793.37787	60.44917	222.65639	803.19934	-259.27158	437.8598	1013.56647	-182.41899	537.96375	833.14722	-271.49463	539.90723	847.79395	-187.02913	499.46228	682.56323	-188.91998	587.30658	731.23029	-31.70511	580.68677	783.16235	41.5159	547.10492	769.07166	24.74384	618.22247	747.84296	646.45685	-368.88422	721.2005	63.55492	-366.15723	722.1864	69.60258	875.67212	723.30188	653.08929	872.37006	719.7796	-120.75584	130.60791	618.72119	-140.49179	406.37881	609.58252	-120.75567	130.60822	618.72162	-140.49165	406.37872	609.58282	83.34529	192.27831	798.28864	-84.12206	69.97044	733.84711
5	0.033	-337.80704	266.69012	1045.69678	-190.30205	271.25644	961.25116	-373.41882	132.06407	905.19861	-380.01492	214.76443	610.92529	-377.05005	252.6805	610.04022	-390.8291	293.7793	611.60626	-266.55157	64.00504	664.56683	-268.68576	470.84662	658.62299	-120.48959	130.87685	618.86639	-140.51421	406.61172	609.45654	-226.6002	110.53873	1020.8559	-108.4036	72.85314	868.56287	-105.31888	104.93254	698.00397	-62.15664	34.92974	770.34735	-5.13444	89.86423	799.82788	106.22143	162.34467	793.99524	60.35148	223.13815	803.20239	-259.5304	438.26535	1013.44751	-182.65117	538.38452	833.1048	-271.82938	540.25415	847.67261	-187.17487	499.95975	682.47955	-188.95885	587.77686	731.24921	-31.75097	580.828	783.15918	41.43668	547.13812	769.05017	24.7282	618.32843	747.88379	646.45837	-368.88574	721.19958	63.55499	-366.15857	722.1839	69.61103	875.66791	723.29736	653.08759	872.36572	719.78583	-120.48959	130.87685	618.86639	-140.51421	406.61172	609.45654	-120.48949	130.87706	618.86682	-140.5141	406.61148	609.45685	83.28645	192.74141	798.59882	-83.73776	69.93114	734.17566
6	0.042	-337.71826	266.99719	1045.66516	-190.17305	271.77975	961.31458	-373.0675	132.38435	905.09753	-379.84198	214.86383	611.05811	-376.87946	252.76964	610.10938	-390.75165	293.80917	611.62292	-266.22876	64.17176	664.80914	-268.75888	471.01324	658.44543	-120.23435	131.13844	619.03131	-140.52769	406.85236	609.33783	-226.5959	110.88195	1021.10687	-108.4325	72.72578	868.82782	-104.89163	104.52523	698.05591	-62.03875	34.77643	771.05621	-5.76881	90.14849	800.64569	105.99408	162.63052	794.88611	60.00266	223.38727	803.59344	-259.73499	438.66547	1013.33783	-182.86067	538.81805	833.04742	-272.12323	540.61664	847.56006	-187.31688	500.46817	682.39008	-189.00464	588.25464	731.25946	-31.79742	580.96741	783.15161	41.35359	547.16766	769.02997	24.70834	618.44122	747.9281	646.45862	-368.88858	721.19745	63.55375	-366.16196	722.18195	69.61592	875.66357	723.29266	653.08618	872.36041	719.7923	-120.23435	131.13844	619.03131	-140.52769	406.85236	609.33783	-120.23436	131.13855	619.03168	-140.52763	406.85205	609.3382	82.99837	193.0089	799.23981	-83.46519	69.65083	734.55603
7	0.05	-337.64078	267.35477	1045.63306	-190.05385	272.26337	961.38416	-372.80042	132.7496	904.974	-379.6741	214.98849	611.18988	-376.71286	252.87195	610.17834	-390.67038	293.85596	611.64349	-265.9306	64.34376	665.06122	-268.8197	471.20062	658.27045	-119.99495	131.39127	619.21387	-140.53166	407.10141	609.23077	-226.73897	111.1824	1021.3924	-108.64306	72.36537	869.16583	-104.51221	103.92972	698.17352	-62.05744	34.42007	771.85223	-6.57191	90.22816	801.62006	105.62826	162.80019	795.97375	59.48231	223.44957	804.31738	-259.88443	439.06149	1013.23645	-183.04153	539.25922	832.97491	-272.36642	540.99115	847.45422	-187.45567	500.98654	682.29492	-189.05255	588.7373	731.25671	-31.8428	581.10266	783.14087	41.26548	547.19263	769.01025	24.68262	618.56287	747.97778	646.45734	-368.89236	721.19464	63.55105	-366.16733	722.18079	69.61691	875.65924	723.28815	653.08447	872.35468	719.79846	-119.99495	131.39127	619.21387	-140.53166	407.10141	609.23077	-119.99508	131.39124	619.21417	-140.53165	407.10107	609.23108	82.55528	193.12488	800.14557	-83.28483	69.1749	735.01288
8	0.058	-337.57928	267.75925	1045.59875	-189.95213	272.70251	961.45587	-372.62405	133.15688	904.83331	-379.51358	215.13541	611.31714	-376.55685	252.99048	610.24786	-390.58536	293.92441	611.66986	-265.66208	64.52122	665.31805	-268.86285	471.40939	658.104	-119.7758	131.63293	619.4071	-140.52364	407.35754	609.13617	-227.03017	111.45031	1021.72113	-109.01974	71.80737	869.6156	-104.1819	103.204	698.4046	-62.17261	33.91005	772.72601	-7.41254	90.1302	802.70178	105.18831	162.89555	797.18573	58.8666	223.37869	805.28741	-259.97922	439.45673	1013.14233	-183.18665	539.70032	832.88666	-272.55219	541.37506	847.35345	-187.5948	501.51184	682.19299	-189.09758	589.2207	731.23785	-31.88489	581.23083	783.12659	41.17069	547.21301	768.99023	24.64928	618.69415	748.03516	646.45496	-368.89645	721.19165	63.54771	-366.17395	722.17987	69.61467	875.6554	723.28448	653.08191	872.34918	719.80353	-119.7758	131.63293	619.4071	-140.52364	407.35754	609.13617	-119.77608	131.63284	619.40729	-140.52374	407.35727	609.13635	82.02746	193.13712	801.23657	-83.17725	68.55703	735.56531
