PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\pk_25feb2013\Trimmed_pk5_5.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	337	31	mm	120	1	337																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-319.50696	264.87549	1047.34656	-172.8033	269.202	964.28204	-355.85437	129.89745	905.27478	-369.90643	213.24492	616.6958	-365.79099	251.54745	615.05469	-379.26578	292.01404	618.01813	-254.83688	61.96867	666.02448	-258.63791	467.57657	664.27405	-109.55346	129.89796	619.41089	-130.76196	404.36899	613.04926	-228.86531	115.24319	1034.04626	-94.97288	70.82865	902.54883	-62.31327	103.23876	734.69019	-33.38032	31.87999	812.97943	14.11828	88.86218	853.76056	119.3708	169.79822	866.95874	66.82151	226.44089	876.87329	-247.3839	433.29211	1015.13403	-173.29358	533.74402	830.03107	-261.20792	537.78925	849.67657	-194.64372	494.38202	679.42328	-183.60205	582.52814	729.25751	-32.13325	550.21112	786.54309	33.30182	504.94214	775.54785	29.95115	579.60999	755.04846	646.47797	-368.8858	721.19476	63.34815	-366.10834	722.15479	67.87249	875.87012	723.61145	653.12939	872.35382	719.72656	-109.55343	129.89867	619.41217	-130.76228	404.36984	613.05023	-109.55346	129.89796	619.41089	-130.76196	404.36899	613.04926	93.09616	198.11955	871.91602	-47.84679	67.55938	773.83478
2	0.008	-319.40366	265.13641	1047.33276	-172.76364	269.89502	964.28265	-355.71219	130.30006	905.30042	-369.76004	213.3736	616.82654	-365.53677	251.76233	615.09259	-379.14392	292.15936	618.04919	-254.52206	62.19029	666.21521	-258.75241	467.90204	664.0979	-109.2944	130.23123	619.5907	-130.79199	404.78366	612.97418	-228.68922	115.49786	1034.02112	-95.3587	70.09927	902.03693	-62.71491	103.01509	734.08051	-33.58376	31.71884	812.50647	13.25122	89.07807	853.45465	118.97866	170.0069	866.82141	66.53663	226.78989	876.04474	-247.62154	433.73969	1015.04498	-173.3741	534.22534	830.16321	-261.30157	538.28284	849.62042	-194.67854	494.8905	679.31354	-183.48337	582.93939	729.24902	-32.1213	550.33417	786.633	33.38424	505.03046	775.58588	30.03024	579.64282	755.03857	646.47595	-368.88708	721.19409	63.34218	-366.11295	722.1557	67.88821	875.87891	723.6062	653.13275	872.35315	719.72809	-109.29433	130.23128	619.59143	-130.79236	404.78381	612.97461	-109.2944	130.23123	619.5907	-130.79199	404.78366	612.97418	92.75764	198.39839	871.43304	-48.14934	67.36697	773.29346
3	0.017	-319.30508	265.42691	1047.32813	-172.72897	270.55835	964.27026	-355.64035	130.75735	905.29755	-369.59653	213.53143	616.95123	-365.3205	251.99049	615.15424	-379.00055	292.32578	618.09943	-254.23134	62.40936	666.4151	-258.81195	468.24411	663.91357	-109.06231	130.53104	619.72589	-130.79741	405.18747	612.84918	-228.63379	115.76077	1034.0072	-95.84076	69.32104	901.58594	-63.06523	102.84389	733.61371	-33.87548	31.52858	812.11719	12.07097	89.21294	853.414	118.33543	170.16045	867.16693	65.9588	227.03691	875.82129	-247.80002	434.18744	1014.94788	-173.45946	534.73157	830.31622	-261.36639	538.79633	849.58636	-194.48672	495.45355	679.17224	-183.35133	583.38727	729.26062	-32.09039	550.48792	786.73828	33.50234	505.14362	775.64764	30.14125	579.68494	755.01257	646.47388	-368.88849	721.19336	63.3348	-366.11841	722.15631	67.93478	875.89313	723.58569	653.13525	872.35205	719.73346	-109.06244	130.53043	619.72626	-130.79794	405.18692	612.84918	-109.06231	130.53104	619.72589	-130.79741	405.18747	612.84918	92.14712	198.59868	871.49408	-48.47036	67.18624	772.86542
4	0.025	-319.22055	265.75388	1047.33289	-172.70247	271.18927	964.24768	-355.63223	131.25804	905.26355	-369.42007	213.71779	617.06482	-365.14545	252.22359	615.24341	-378.83292	292.51077	618.16602	-253.97188	62.63175	666.62225	-258.81525	468.59256	663.72247	-108.86443	130.80048	619.81042	-130.77985	405.56778	612.67102	-228.70114	116.04906	1034.0188	-96.3863	68.58591	901.25232	-63.3422	102.81046	733.34973	-34.23898	31.37515	811.84351	10.73857	89.30187	853.60492	117.51844	170.30141	867.909	65.16467	227.2368	876.15222	-247.92004	434.63339	1014.83923	-173.55048	535.26123	830.48523	-261.40448	539.32623	849.57367	-194.09206	496.06915	679.01318	-183.21144	583.87634	729.297	-32.04029	550.68958	786.85986	33.65761	505.29141	775.74872	30.28946	579.74023	754.96283	646.47229	-368.88953	721.19287	63.32772	-366.1232	722.15656	68.00947	875.91229	723.5517	653.13861	872.3501	719.74042	-108.86489	130.79926	619.81091	-130.78056	405.56659	612.6712	-108.86443	130.80048	619.81042	-130.77985	405.56778	612.67102	91.34155	198.7691	872.03058	-48.79059	67.09281	772.59662
5	0.033	-319.15625	266.12421	1047.34778	-172.68375	271.78766	964.22229	-355.67978	131.79703	905.1994	-369.23792	213.92947	617.16553	-365.0126	252.45226	615.36121	-378.6557	292.70932	618.25098	-253.74986	62.86255	666.83228	-258.76392	468.93954	663.52716	-108.70653	131.04373	619.84027	-130.74193	405.91605	612.44055	-228.88278	116.37748	1034.0658	-96.96171	67.9781	901.07935	-63.55513	102.97731	733.32635	-34.66047	31.31488	811.69806	9.4329	89.36928	853.97034	116.58548	170.46779	868.95612	64.21491	227.43922	876.92761	-247.98775	435.07645	1014.71497	-173.64671	535.81561	830.66541	-261.41626	539.87109	849.57843	-193.57661	496.73047	678.86407	-183.07069	584.41095	729.36255	-31.97402	550.95929	787.00018	33.84284	505.48724	775.90637	30.47833	579.81342	754.88159	646.47144	-368.89014	721.19257	63.32253	-366.12619	722.15668	68.09617	875.93304	723.51221	653.14471	872.34692	719.74664	-108.70741	131.04205	619.84119	-130.7429	405.9144	612.44122	-108.70653	131.04373	619.84027	-130.74193	405.91605	612.44055	90.4002	198.95351	872.94183	-49.1078	67.1461	772.51221
6	0.042	-319.11499	266.54303	1047.37329	-172.66681	272.35641	964.20709	-355.77371	132.37419	905.11285	-369.05988	214.16016	617.25525	-364.92108	252.66872	615.50476	-378.49249	292.91443	618.35986	-253.56972	63.10398	667.04065	-258.66168	469.28049	663.33185	-108.59132	131.26375	619.81775	-130.68565	406.22845	612.16534	-229.15921	116.75703	1034.15356	-97.53252	67.56654	901.08679	-63.7362	103.3778	733.55188	-35.12656	31.38937	811.67505	8.31318	89.43292	854.44641	115.57014	170.69765	870.22131	63.1489	227.68521	878.00867	-248.01428	435.51627	1014.57098	-173.74878	536.39526	830.8548	-261.4046	540.43091	849.59564	-193.05151	497.42746	678.75732	-182.93785	584.99512	729.46063	-31.89902	551.31805	787.16248	34.03847	505.7453	776.13812	30.7087	579.90942	754.76263	646.47064	-368.89066	721.19232	63.32032	-366.12695	722.15698	68.17284	875.95081	723.47772	653.15454	872.34259	719.75024	-108.59261	131.26176	619.81952	-130.6868	406.22653	612.16687	-108.59132	131.26375	619.81775	-130.68565	406.22845	612.16534	89.35952	199.19142	874.11499	-49.43138	67.38358	772.61346
7	0.05	-319.09598	267.01315	1047.4093	-172.64452	272.90268	964.21735	-355.90378	132.98808	905.01849	-368.89597	214.40091	617.33807	-364.86682	252.86938	615.66547	-378.3634	293.12024	618.4975	-253.43486	63.35531	667.24451	-258.51535	469.6145	663.14185	-108.51807	131.46207	619.75677	-130.61197	406.50641	611.86292	-229.50275	117.19557	1034.28394	-98.06465	67.40025	901.26563	-63.92633	104.01446	734.0022	-35.62188	31.62235	811.75513	7.48521	89.51069	854.97748	114.48486	171.03239	871.62653	61.98548	228.00745	879.25873	-248.01376	435.95346	1014.40344	-173.86026	536.9975	831.05432	-261.37708	541.00519	849.62103	-192.60387	498.15274	678.71259	-182.82468	585.633	729.5929	-31.82786	551.78528	787.35083	34.20878	506.077	776.45917	30.97795	580.03369	754.60443	646.46942	-368.89148	721.19196	63.32177	-366.12527	722.15741	68.22319	875.96216	723.45587	653.16809	872.33746	719.75055	-108.51961	131.46002	619.75928	-130.6132	406.50443	611.86511	-108.51807	131.46207	619.75677	-130.61197	406.50641	611.86292	88.23518	199.51991	875.44263	-49.77411	67.81841	772.87866
8	0.058	-319.09546	267.53525	1047.45471	-172.61618	273.43784	964.26471	-356.05853	133.63206	904.93512	-368.7532	214.64328	617.41815	-364.84259	253.0553	615.83057	-378.27872	293.32532	618.66376	-253.34775	63.61407	667.44238	-258.3374	469.94348	662.96344	-108.48331	131.64104	619.68134	-130.52338	406.7562	611.55939	-229.88268	117.69777	1034.45557	-98.52822	67.50653	901.58173	-64.1622	104.86166	734.62506	-36.1273	32.02041	811.91095	6.98021	89.62756	855.52393	113.32793	171.51637	873.10626	60.72763	228.43326	880.56506	-248.0007	436.39017	1014.20966	-173.98849	537.61743	831.26428	-261.3457	541.59174	849.65131	-192.27118	498.90573	678.72882	-182.74585	586.32941	729.75781	-31.77735	552.3761	787.57043	34.30132	506.48904	776.8811	31.27865	580.19244	754.41327	646.46777	-368.89261	721.19141	63.32696	-366.12103	722.1579	68.24392	875.96637	723.44861	653.18457	872.33191	719.74762	-108.48489	131.63913	619.68433	-130.52454	406.75436	611.56207	-108.48331	131.64104	619.68134	-130.52338	406.7562	611.55939	87.02779	199.97481	876.83563	-50.14475	68.44103	773.26801
