PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\pk_25feb2013\Trimmed_pk3_5.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	1111	31	mm	120	1	1111																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-316.91745	270.65707	1045.56091	-168.53474	273.0954	963.54596	-350.92932	134.3476	910.96588	-371.4437	213.8342	617.51093	-368.76468	251.81783	616.80267	-381.60498	292.50043	619.52435	-254.69858	63.84347	667.54053	-257.17563	469.40015	661.6897	-110.5731	130.75542	616.10968	-131.02547	405.19962	607.5061	-209.56035	113.60882	1028.77039	-101.65006	56.28981	871.37909	-105.43732	79.09284	699.56903	-64.84654	8.92814	774.85431	-7.06949	65.01485	802.88733	102.74326	142.14735	791.56708	52.00274	197.72081	803.4212	-243.2854	438.97824	1018.04108	-171.01053	541.80322	833.73792	-258.9982	538.43268	848.32123	-176.25751	496.82605	683.78888	-177.66531	586.3349	730.76422	-20.53591	576.67346	783.10114	50.49623	541.00879	770.74652	35.17546	612.85272	747.73169	646.1723	-368.82864	721.11932	64.72881	-365.74622	723.4126	69.60749	875.69666	723.30939	653.159	872.37054	719.70734	-110.57295	130.75529	616.10944	-131.02556	405.19977	607.50568	-110.5731	130.75542	616.10968	-131.02547	405.19962	607.5061	77.373	169.93408	797.49414	-85.14193	44.01049	737.21167
2	0.008	-316.67966	270.94962	1045.57214	-168.29208	273.57471	963.54712	-350.56052	134.64949	910.96655	-371.32993	213.88812	617.56763	-368.66699	251.9133	616.841	-381.56131	292.59824	619.53552	-254.47916	63.98588	667.74768	-257.21982	469.5849	661.505	-110.40214	130.94148	616.23798	-131.03345	405.41385	607.37085	-209.30902	113.95686	1028.83594	-101.64968	56.09531	871.46307	-105.11822	78.3829	699.5874	-64.69237	8.60475	775.36377	-7.30989	65.05414	803.24475	102.79181	142.04707	791.56732	51.99653	197.58414	802.81763	-243.24815	439.35248	1017.98102	-171.1136	542.19958	833.66492	-259.14798	538.74023	848.2536	-176.3376	497.21906	683.68304	-177.698	586.72571	730.7301	-20.53874	576.80792	783.10382	50.48998	541.0636	770.73627	35.2265	612.93903	747.73206	646.16193	-368.82492	721.11566	64.72137	-365.74182	723.41223	69.6023	875.69623	723.30701	653.15509	872.375	719.70844	-110.40198	130.94154	616.23761	-131.03355	405.41409	607.3703	-110.40214	130.94148	616.23798	-131.03345	405.41385	607.37085	77.39417	169.81561	797.1925	-84.9053	43.49383	737.47559
3	0.017	-316.4494	271.26486	1045.58179	-168.02895	274.02847	963.55286	-350.25461	135.00912	910.93689	-371.2215	213.96518	617.625	-368.56476	252.03926	616.87433	-381.5054	292.72427	619.55573	-254.27904	64.14075	667.95465	-257.2529	469.79138	661.32367	-110.24146	131.12975	616.37811	-131.03082	405.64102	607.24823	-209.14845	114.29191	1028.90283	-101.75317	55.74146	871.63336	-104.81338	77.48804	699.65234	-64.64217	8.11136	775.98102	-7.78078	64.93137	803.84747	102.65588	141.84926	792.00281	51.76545	197.30756	802.65363	-243.14339	439.73154	1017.93866	-171.15845	542.5993	833.59167	-259.23065	539.07568	848.2179	-176.40208	497.6084	683.58948	-177.7049	587.11188	730.68622	-20.53971	576.94208	783.09967	50.48854	541.11163	770.72626	35.28624	613.01727	747.73816	646.15344	-368.82355	721.11157	64.7129	-365.73792	723.41241	69.59918	875.69525	723.30493	653.15106	872.37872	719.71021	-110.24128	131.12996	616.37775	-131.03088	405.64136	607.24774	-110.24146	131.12975	616.37811	-131.03082	405.64102	607.24823	77.21067	169.57841	797.32825	-84.72778	42.7997	737.81665
4	0.025	-316.2305	271.60495	1045.59338	-167.75821	274.45908	963.55737	-350.01724	135.42044	910.88776	-371.12228	214.06856	617.68524	-368.45996	252.19302	616.90259	-381.43765	292.87396	619.58844	-254.1033	64.31287	668.15369	-257.27301	470.01642	661.15265	-110.09533	131.32445	616.5238	-131.01712	405.87784	607.14221	-209.08524	114.62817	1028.98962	-101.9421	55.25352	871.92212	-104.51458	76.44621	699.7912	-64.66418	7.47157	776.70721	-8.40128	64.66238	804.66656	102.39616	141.58647	792.78577	51.37324	196.93584	802.89301	-242.97789	440.11694	1017.90942	-171.13824	542.99866	833.51556	-259.23898	539.43951	848.20691	-176.44725	497.98895	683.50299	-177.68381	587.48962	730.62872	-20.54132	577.0708	783.08813	50.48927	541.15149	770.71643	35.35366	613.08374	747.75031	646.14722	-368.82425	721.10681	64.70435	-365.73508	723.41302	69.59938	875.69342	723.30322	653.14807	872.3811	719.71252	-110.09512	131.32477	616.52356	-131.01714	405.87817	607.14178	-110.09533	131.32445	616.5238	-131.01712	405.87784	607.14221	76.8847	169.26115	797.83936	-84.58938	41.95889	738.24921
5	0.033	-316.02341	271.97556	1045.60986	-167.49179	274.86789	963.55365	-349.85156	135.87724	910.83368	-371.03534	214.20036	617.75049	-368.35651	252.36935	616.92767	-381.35971	293.04169	619.63635	-253.95918	64.50669	668.33917	-257.27475	470.2569	660.99841	-109.96996	131.52707	616.66846	-130.99011	406.1188	607.05469	-209.11986	114.97984	1029.11072	-102.19207	54.66219	872.36121	-104.22304	75.30185	700.03595	-64.72148	6.71328	777.53381	-9.06009	64.2591	805.64838	102.07722	141.28505	793.79926	50.88718	196.5045	803.46625	-242.75864	440.51044	1017.88739	-171.04814	543.39087	833.43335	-259.17032	539.83179	848.21167	-176.47635	498.35587	683.41846	-177.63525	587.85699	730.55609	-20.54405	577.18866	783.06952	50.48977	541.18201	770.70599	35.42769	613.13666	747.76825	646.14459	-368.82675	721.1015	64.6969	-365.73358	723.41376	69.60411	875.69086	723.30261	653.14728	872.38171	719.71454	-109.9697	131.52747	616.66833	-130.99005	406.11908	607.05444	-109.96996	131.52707	616.66846	-130.99011	406.1188	607.05469	76.4822	168.89478	798.63275	-84.47226	41.00756	738.78485
6	0.042	-315.82516	272.38327	1045.6322	-167.24071	275.25446	963.53589	-349.75995	136.37392	910.79089	-370.96252	214.36075	617.82172	-368.25922	252.56131	616.95313	-381.27435	293.22275	619.7005	-253.8524	64.72547	668.50818	-257.24915	470.51022	660.86462	-109.87081	131.7364	616.80396	-130.9455	406.35745	606.98285	-209.24359	115.35806	1029.27417	-102.47543	54.00023	872.97498	-103.95338	74.10175	700.41675	-64.77702	5.86724	778.44366	-9.63644	63.72919	806.7262	101.75832	140.95695	794.92181	50.37246	196.03142	804.29004	-242.49199	440.91385	1017.867	-170.88638	543.76868	833.34167	-259.026	540.25116	848.22272	-176.49583	498.70538	683.33112	-177.56168	588.21265	730.46698	-20.54656	577.2915	783.04474	50.48796	541.20215	770.69427	35.50754	613.17706	747.79004	646.14709	-368.83038	721.09631	64.69173	-365.73322	723.41449	69.61384	875.68817	723.30396	653.14874	872.38116	719.71552	-109.87053	131.73682	616.80389	-130.94539	406.35764	606.98279	-109.87081	131.7364	616.80396	-130.9455	406.35745	606.98285	76.06539	168.49419	799.60596	-84.3652	39.9845	739.43018
7	0.05	-315.6308	272.83264	1045.65906	-167.01512	275.61783	963.50128	-349.74213	136.90439	910.77417	-370.90439	214.5472	617.89813	-368.17148	252.76213	616.98291	-381.18521	293.4144	619.78021	-253.78464	64.96992	668.65967	-257.18567	470.77362	660.75067	-109.80051	131.94873	616.9209	-130.87785	406.58716	606.91882	-209.43808	115.76922	1029.48145	-102.76418	53.29967	873.7702	-103.72547	72.89075	700.95532	-64.79887	4.96508	779.41559	-10.02492	63.07775	807.83441	101.48788	140.59927	796.04388	49.88858	195.51407	805.2851	-242.18428	441.32944	1017.84375	-170.65642	544.12708	833.23779	-258.81046	540.69397	848.23059	-176.51045	499.03558	683.23718	-177.46767	588.55536	730.35919	-20.54715	577.37823	783.01532	50.48192	541.21149	770.68164	35.5936	613.20886	747.81171	646.15448	-368.83411	721.09247	64.68967	-365.73331	723.41583	69.62785	875.68671	723.30811	653.15179	872.38062	719.71503	-109.8002	131.94907	616.92114	-130.87769	406.58716	606.91907	-109.80051	131.94873	616.9209	-130.87785	406.58716	606.91882	75.68823	168.05667	800.66449	-84.26218	38.92792	740.18542
8	0.058	-315.43533	273.32492	1045.68884	-166.8233	275.95859	963.45038	-349.79147	137.46124	910.79413	-370.85968	214.75432	617.97754	-368.09464	252.96745	617.01935	-381.09619	293.61575	619.87329	-253.75418	65.23659	668.79401	-257.07535	471.0434	660.65277	-109.75861	132.15732	617.01196	-130.78207	406.80118	606.85333	-209.67715	116.21574	1029.72949	-103.03253	52.591	874.7309	-103.55065	71.70687	701.66016	-64.76588	4.03772	780.42975	-10.15511	62.30891	808.91974	101.30193	140.19878	797.07593	49.48544	194.93474	806.38928	-241.84317	441.7594	1017.81415	-170.36813	544.46436	833.12115	-258.53104	541.15479	848.2276	-176.52248	499.34665	683.13367	-177.36028	588.88306	730.2298	-20.54523	577.45123	782.98212	50.46982	541.21082	770.66925	35.68765	613.23767	747.82843	646.16431	-368.83685	721.09021	64.69073	-365.73297	723.41846	69.64436	875.68732	723.315	653.15521	872.38135	719.71375	-109.75834	132.15752	617.01239	-130.78195	406.80106	606.85376	-109.75861	132.15732	617.01196	-130.78207	406.80118	606.85333	75.39368	167.56676	801.7326	-84.15826	37.8723	741.04498
