PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\pk_25feb2013\Trimmed_pk1_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	667	31	mm	120	1	667																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
9	0.067	-312.57574	266.97641	1047.45813	-163.29984	268.67453	964.57495	-351.79984	132.26102	911.82709	-372.23453	213.89122	618.02515	-369.55737	252.25043	617.22418	-381.79355	293.33936	619.75885	-255.07191	63.40298	667.25244	-257.9953	470.86887	663.34375	-110.98	130.71767	616.25623	-131.73528	407.06696	608.94684	-212.44901	111.4129	1031.27539	-100.29176	57.20839	878.12012	-100.18874	83.39792	704.77655	-56.79712	16.61833	780.4201	-3.54285	76.14881	807.79828	104.50411	154.70378	798.50433	54.81134	212.4604	803.72052	-236.68532	434.96991	1022.53326	-162.2419	537.31708	838.83197	-251.30351	538.41638	855.91644	-174.85909	496.28723	687.38562	-167.70224	584.21851	737.40222	-10.74878	557.78833	784.73303	56.91294	517.64203	767.61646	48.59377	592.39661	750.73138	646.4834	-368.77557	721.36017	64.23263	-365.73303	723.33881	69.65605	875.68585	723.35944	653.20642	872.32556	719.77069	-110.98	130.71767	616.25623	-131.73528	407.06696	608.94684	-110.97984	130.7178	616.25555	-131.73509	407.06686	608.94617	79.65772	183.58209	801.11243	-78.49293	50.00813	742.59833
10	0.075	-312.5004	267.56082	1047.45447	-163.30229	268.83545	964.56982	-352.14563	132.88133	911.90955	-372.19223	213.98972	618.03729	-369.52853	252.382	617.27698	-381.74445	293.49417	619.83203	-255.14517	63.60019	667.35944	-257.71597	471.04129	663.26978	-111.01605	130.76683	616.27399	-131.534	407.10553	608.84955	-212.8885	111.90795	1031.53149	-100.60985	57.34577	878.72919	-100.42393	83.3047	705.48663	-56.99514	16.4013	780.95917	-3.25014	75.64919	808.1897	104.4468	154.24283	798.75812	54.72289	211.97672	804.44684	-236.26149	435.35391	1022.47821	-161.83026	537.50818	838.63379	-250.82477	538.79413	855.84399	-174.8308	496.46393	687.22577	-167.52458	584.44623	737.2038	-10.71622	557.87036	784.64771	56.9932	517.69055	767.59534	48.69262	592.42487	750.74194	646.4834	-368.77557	721.36017	64.23878	-365.72867	723.34546	69.66634	875.69153	723.37	653.22107	872.32513	719.76587	-111.01605	130.76683	616.27399	-131.534	407.10553	608.84955	-111.01561	130.76695	616.27338	-131.5336	407.10526	608.84894	79.58485	183.10977	801.60248	-78.70953	49.853	743.2229
11	0.083	-312.43683	268.1774	1047.46497	-163.31192	269.0289	964.55731	-352.50729	133.52213	912.00568	-372.16525	214.09233	618.04584	-369.49905	252.49741	617.32355	-381.70471	293.63245	619.90948	-255.26573	63.7588	667.46161	-257.41476	471.19971	663.19836	-111.08368	130.75386	616.30103	-131.31696	407.10986	608.76489	-213.30434	112.43069	1031.76306	-100.92872	57.51902	879.27917	-100.7174	83.26543	706.17792	-57.26627	16.18187	781.43372	-2.91	75.06982	808.49402	104.40308	153.6396	798.88806	54.68354	211.36913	805.13647	-235.85956	435.7713	1022.40131	-161.41202	537.67291	838.40955	-250.33835	539.17932	855.74548	-174.78723	496.61636	687.04773	-167.35017	584.65198	736.97278	-10.67696	557.95264	784.55878	57.10801	517.75073	767.57404	48.79047	592.44757	750.75024	646.4834	-368.77557	721.36017	64.24153	-365.72263	723.35193	69.6753	875.69684	723.38129	653.23553	872.32471	719.76123	-111.08368	130.75386	616.30103	-131.31696	407.10986	608.76489	-111.08296	130.75398	616.30042	-131.31638	407.10938	608.76434	79.5433	182.50436	802.01227	-78.99184	49.72365	743.80585
12	0.092	-312.38123	268.82031	1047.49133	-163.32036	269.26566	964.5376	-352.86365	134.17218	912.12195	-372.14993	214.19736	618.05078	-369.47192	252.59357	617.36279	-381.67584	293.7543	619.98987	-255.43123	63.87787	667.56036	-257.10297	471.34149	663.12689	-111.18238	130.68222	616.33929	-131.0929	407.08102	608.69183	-213.67339	112.97425	1031.96484	-101.25735	57.71146	879.73853	-101.09621	83.24705	706.79388	-57.66105	15.93865	781.8172	-2.62863	74.39993	808.70892	104.33761	152.87148	798.90289	54.66394	210.62363	805.77258	-235.48405	436.22403	1022.30334	-160.99518	537.81384	838.15704	-249.85944	539.57324	855.61584	-174.73141	496.74878	686.85034	-167.18277	584.83691	736.70868	-10.63507	558.03375	784.46661	57.23413	517.81067	767.55157	48.88012	592.46576	750.75549	646.4834	-368.77557	721.36017	64.24124	-365.71603	723.3576	69.68228	875.70087	723.39191	653.24719	872.32428	719.75751	-111.18238	130.68222	616.33929	-131.0929	407.08102	608.69183	-111.18147	130.68233	616.33868	-131.09221	407.08041	608.69128	79.50078	181.74754	802.33771	-79.37862	49.59285	744.30554
13	0.1	-312.32791	269.48068	1047.53308	-163.32172	269.55081	964.51019	-353.19498	134.81987	912.26135	-372.14249	214.30083	618.052	-369.45038	252.66928	617.39355	-381.65811	293.85992	620.07098	-255.63351	63.95854	667.65552	-256.79599	471.46716	663.05292	-111.30804	130.56111	616.38782	-130.87366	407.02658	608.62787	-213.9785	113.53313	1032.1355	-101.60897	57.90403	880.07916	-101.58395	83.22168	707.28186	-58.22836	15.6512	782.08075	-2.50707	73.63083	808.83124	104.21822	151.91574	798.81763	54.64026	209.73082	806.34149	-235.1384	436.70981	1022.18579	-160.59053	537.93799	837.87524	-249.40341	539.97437	855.45062	-174.6693	496.86588	686.63354	-167.02612	585.00354	736.4118	-10.59513	558.11151	784.37158	57.34237	517.85699	767.52747	48.95425	592.48029	750.75677	646.4834	-368.77554	721.36023	64.23985	-365.71036	723.36188	69.68799	875.70306	723.40088	653.25427	872.32404	719.75488	-111.30804	130.56111	616.38782	-130.87366	407.02658	608.62787	-111.30701	130.56117	616.38721	-130.87294	407.02585	608.62738	79.42924	180.82327	802.57953	-79.90615	49.43644	744.68134
14	0.108	-312.2691	270.14804	1047.58826	-163.31108	269.88318	964.47528	-353.48581	135.45467	912.42285	-372.14005	214.3976	618.04987	-369.43668	252.72548	617.41559	-381.65182	293.94901	620.14972	-255.85878	64.00426	667.7464	-256.51193	471.57977	662.97394	-111.4528	130.40508	616.44342	-130.67308	406.95914	608.56897	-214.21074	114.10149	1032.27637	-101.99973	58.07513	880.27905	-102.19894	83.17347	707.6004	-59.00903	15.30402	782.19562	-2.62731	72.75797	808.85596	104.01931	150.75105	798.6524	54.5996	208.6823	806.83496	-234.82613	437.22287	1022.04913	-160.21149	538.05499	837.56384	-248.98473	540.37701	855.2475	-174.60529	496.97144	686.39813	-166.88252	585.1535	736.08356	-10.56148	558.18347	784.2735	57.40783	517.87915	767.50165	49.00685	592.49213	750.75293	646.48334	-368.77554	721.36023	64.23942	-365.7067	723.36426	69.69373	875.70331	723.40747	653.25647	872.32385	719.75311	-111.4528	130.40508	616.44342	-130.67308	406.95914	608.56897	-111.45178	130.40504	616.44293	-130.67244	406.95844	608.5686	79.30946	179.71667	802.74365	-80.60398	49.23874	744.89801
15	0.117	-312.19611	270.81229	1047.65295	-163.28413	270.2572	964.43463	-353.72729	136.06778	912.60339	-372.14102	214.48184	618.04517	-369.43188	252.76463	617.42981	-381.65805	294.02026	620.22211	-256.09024	64.0209	667.83301	-256.26828	471.68301	662.88727	-111.6066	130.23175	616.50256	-130.50449	406.89267	608.51007	-214.36829	114.67166	1032.38989	-102.44672	58.20183	880.32379	-102.9558	83.10049	707.72406	-60.03233	14.88916	782.13733	-3.04352	71.78009	808.77722	103.72461	149.35883	798.42993	54.53971	207.46542	807.25159	-234.55072	437.75638	1021.89276	-159.87225	538.17542	837.22253	-248.61559	540.77325	855.00684	-174.5394	497.06732	686.14453	-166.75145	585.28717	735.72571	-10.53761	558.24768	784.17163	57.41619	517.87195	767.47449	49.03493	592.50232	750.74353	646.48328	-368.77551	721.36029	64.24111	-365.7056	723.36481	69.70047	875.70184	723.41174	653.25494	872.32367	719.75201	-111.6066	130.23175	616.50256	-130.50449	406.89267	608.51007	-111.60574	130.23161	616.50214	-130.50398	406.89206	608.50983	79.13216	178.41212	802.84076	-81.49406	48.99483	744.93073
16	0.125	-312.1019	271.4664	1047.72363	-163.23767	270.66574	964.3905	-353.91745	136.65196	912.79907	-372.14465	214.54793	618.03949	-369.43631	252.78972	617.43719	-381.67786	294.07175	620.28308	-256.31155	64.0158	667.91595	-256.07846	471.78033	662.78912	-111.75932	130.05841	616.56097	-130.37807	406.83911	608.44458	-214.4532	115.23473	1032.47998	-102.96632	58.26239	880.20691	-103.86739	83.0123	707.64429	-61.31247	14.40626	781.88885	-3.77987	70.69751	808.58911	103.32716	147.72485	798.17365	54.46408	206.06549	807.59637	-234.31415	438.30435	1021.71649	-159.58537	538.31024	836.8515	-248.30405	541.15546	854.73175	-174.46791	497.15381	685.8728	-166.63078	585.40546	735.34021	-10.52585	558.30286	784.06586	57.3642	517.83582	767.44696	49.03936	592.51166	750.72876	646.48315	-368.77548	721.36035	64.24501	-365.70688	723.36371	69.70835	875.69922	723.41479	653.2511	872.32367	719.75134	-111.75932	130.05841	616.56097	-130.37807	406.83911	608.44458	-111.75872	130.0582	616.56061	-130.37778	406.83865	608.44434	78.89562	176.89517	802.88501	-82.58994	48.70928	744.76654
17	0.133	-311.98206	272.10699	1047.79724	-163.16904	271.10242	964.34534	-354.05875	137.20209	913.00494	-372.15073	214.59172	618.03448	-369.44992	252.80338	617.43866	-381.7114	294.10178	620.32825	-256.50998	63.99611	667.99701	-255.9502	471.87393	662.67517	-111.90285	129.89868	616.61566	-130.29973	406.80618	608.36572	-214.47047	115.78216	1032.5509	-103.57411	58.23929	879.9281	-104.94734	82.92549	707.36859	-62.84596	13.86025	781.4408	-4.83272	69.51249	808.2854	102.82626	145.84094	797.90582	54.3772	204.4742	807.87982	-234.11554	438.86227	1021.52118	-159.36008	538.46924	836.453	-248.05354	541.5174	854.42603	-174.38705	497.23102	685.58203	-166.51909	585.50995	734.92883	-10.52713	558.3493	783.95618	57.25856	517.77673	767.42047	49.02348	592.52045	750.70892	646.48297	-368.77542	721.36047	64.25002	-365.70963	723.36151	69.71693	875.69598	723.4184	653.24622	872.32391	719.75079	-111.90285	129.89868	616.61566	-130.29973	406.80618	608.36572	-111.90253	129.89842	616.61548	-130.29962	406.80591	608.36572	78.60173	175.15756	802.89282	-83.89665	48.39287	744.40472
18	0.142	-311.83469	272.73233	1047.87146	-163.07635	271.56192	964.30096	-354.15546	137.71664	913.21442	-372.1593	214.61098	618.03198	-369.47241	252.808	617.435	-381.75793	294.10995	620.35498	-256.67798	63.9678	668.07922	-255.88612	471.96442	662.54181	-112.03197	129.76128	616.66663	-130.27122	406.79669	608.26941	-214.42873	116.30729	1032.60779	-104.28538	58.1223	879.49194	-106.20993	82.85981	706.91852	-64.61551	13.25955	780.79242	-6.17526	68.23019	807.86133	102.22251	143.70517	797.64655	54.28325	202.69514	808.1189	-233.95204	439.42609	1021.30908	-159.20105	538.65979	836.03137	-247.86465	541.85352	854.0929	-174.29692	497.2991	685.27185	-166.41681	585.60364	734.49365	-10.54031	558.38873	783.84235	57.11418	517.70563	767.39703	48.99104	592.52869	750.68481	646.48279	-368.77533	721.3606	64.25404	-365.71249	723.35913	69.72549	875.69275	723.42371	653.24127	872.32434	719.75031	-112.03197	129.76128	616.66663	-130.27122	406.79669	608.26941	-112.03191	129.761	616.66656	-130.27126	406.79654	608.26947	78.25288	173.20015	802.88269	-85.41272	48.05968	743.85547
