PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\aw_31oct2013\Trimmed_aw3_1.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	2535	31	mm	120	1	2535																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31												
																																																																																																										
1	0	-252.5945	254.54193	1086.45129	-100.61684	276.3558	989.32361	-308.13464	151.25897	931.58411	-277.80151	216.97166	601.07666	-270.60141	253.37675	606.54205	-273.25131	290.31027	600.71161	-187.9187	65.19171	670.36462	-181.24246	449.11993	659.97406	-65.48421	102.94691	643.78424	-68.98104	410.26117	646.30054	-153.16948	115.17439	1050.93628	-71.27277	21.43767	941.67242	-9.97434	33.06461	744.58667	-14.43153	-46.02436	817.90143	128.47469	-40.29315	817.08014	224.71843	-61.49918	776.21631	223.83374	14.88779	791.62787	-210.54915	400.26395	1061.97302	-116.74722	499.55759	924.26703	-217.62505	493.33295	949.46527	-95.01535	489.2778	773.61902	-63.23882	559.69604	844.82629	52.18067	478.31381	776.62677	107.99221	384.93066	859.71478	124.80486	393.07318	780.8667	663.98993	-339.46222	735.81287	78.98184	-346.72626	734.05255	65.863	896.40784	731.69641	647.37634	904.0188	737.54285	-65.48421	102.94691	643.78424	-68.98104	410.26117	646.30054	-65.48421	102.94691	643.78424	-68.98104	410.26117	646.30054	116.39853	389.00192	820.29077	-79.12708	524.48694	809.22266
2	0.008	-252.60497	254.41348	1086.42175	-100.68124	276.14444	989.26019	-308.22293	151.11537	931.53564	-277.87503	216.92831	601.00446	-270.65649	253.33011	606.4682	-273.3421	290.27087	600.6297	-188.03804	65.10966	670.25714	-181.29823	449.07581	659.94159	-65.59209	102.85065	643.70941	-69.04014	410.20193	646.28375	-153.23711	114.98513	1050.82336	-71.31421	21.26412	941.56873	-9.95422	32.89616	744.43958	-14.52273	-46.26101	817.79437	128.38762	-40.48087	817.00751	224.68814	-61.578	776.16565	223.74501	14.82199	791.6795	-210.52382	400.14771	1061.84985	-116.21654	499.16675	924.21265	-217.20442	493.4761	949.7793	-94.64397	489.2276	773.89032	-63.2726	559.97784	844.91571	52.49539	478.90872	776.94885	108.08831	385.70691	860.13043	124.65062	393.65234	781.41833	664.00293	-339.4603	735.80127	78.98331	-346.72321	734.05792	65.8705	896.4176	731.70288	647.37927	904.0235	737.54395	-65.59209	102.85065	643.70941	-69.04014	410.20193	646.28375	-65.59209	102.85065	643.70941	-69.04014	410.20193	646.28375	116.36946	389.67963	820.77441	-78.95828	524.60272	809.40302
3	0.017	-252.59709	254.29247	1086.39917	-100.73723	275.96814	989.2063	-308.28635	150.95799	931.51178	-277.94504	216.86864	600.95502	-270.71179	253.27385	606.41333	-273.42654	290.22549	600.55359	-188.10408	65.02168	670.16119	-181.38432	449.02481	659.89679	-65.66063	102.7728	643.61633	-69.1244	410.15878	646.23157	-153.26811	114.81625	1050.73157	-71.3344	21.10676	941.4826	-9.98571	32.71896	744.32281	-14.6037	-46.48375	817.70184	128.29619	-40.63118	816.94049	224.66954	-61.64651	776.12463	223.66295	14.77428	791.73517	-210.49988	400.04813	1061.73657	-115.67686	498.74112	924.13159	-216.73846	493.60455	950.04694	-93.92985	489.04587	774.27643	-63.29113	560.23804	845.15234	53.10892	479.3746	778.16901	107.86366	386.40668	861.73218	124.61985	394.04483	783.22021	664.0246	-339.45581	735.78363	78.99178	-346.71747	734.0675	65.88866	896.43225	731.71429	647.38568	904.03058	737.54102	-65.66063	102.7728	643.61633	-69.1244	410.15878	646.23157	-65.66063	102.7728	643.61633	-69.1244	410.15878	646.23157	116.24175	390.22574	822.4762	-78.61049	524.64197	809.71436
4	0.025	-252.57793	254.16713	1086.38342	-100.78375	275.82712	989.16357	-308.32455	150.78802	931.50769	-278.01007	216.79539	600.92688	-270.76855	253.20866	606.37738	-273.50116	290.17517	600.48444	-188.12547	64.92684	670.07843	-181.50162	448.96481	659.83997	-65.69704	102.70997	643.50983	-69.23513	410.12735	646.14764	-153.26431	114.66763	1050.66064	-71.33517	20.96724	941.41425	-10.06581	32.53711	744.23944	-14.66912	-46.68836	817.6261	128.20251	-40.7444	816.87994	224.66322	-61.70381	776.09216	223.58888	14.74548	791.79449	-210.49144	399.94827	1061.64807	-115.16912	498.32587	924.11469	-216.27504	493.68613	950.25769	-92.89207	488.83154	774.77899	-63.25593	560.46069	845.6236	54.01604	479.77792	780.17773	107.52382	387.03122	864.31378	124.88937	394.36026	786.05011	664.05188	-339.44965	735.7627	79.00737	-346.71036	734.07904	65.91483	896.44922	731.72888	647.39441	904.03912	737.53436	-65.69704	102.70997	643.50983	-69.23513	410.12735	646.14764	-65.69704	102.70997	643.50983	-69.23513	410.12735	646.14764	116.2066	390.69574	825.18195	-78.07401	524.64612	810.20129
5	0.033	-252.55309	254.02438	1086.37427	-100.81955	275.71786	989.13397	-308.33682	150.60429	931.51801	-278.06839	216.71237	600.91766	-270.82751	253.13597	606.3598	-273.56329	290.12054	600.42316	-188.11055	64.82572	670.00989	-181.64761	448.89423	659.7735	-65.70782	102.65941	643.39484	-69.37048	410.10297	646.03748	-153.22829	114.53666	1050.6095	-71.31603	20.84644	941.36255	-10.185	32.35901	744.18842	-14.71531	-46.87148	817.56647	128.10948	-40.82415	816.82544	224.66856	-61.75007	776.06665	223.52414	14.73507	791.85602	-210.50975	399.83209	1061.59595	-114.72627	497.96338	924.25897	-215.86099	493.69174	950.40546	-91.57213	488.66003	775.41022	-63.12514	560.65015	846.37549	55.19074	480.17444	782.8194	107.23309	387.60025	867.63477	125.56158	394.68509	789.64166	664.07922	-339.44354	735.74255	79.0276	-346.70377	734.08972	65.94405	896.46497	731.74432	647.4032	904.04742	737.52533	-65.70782	102.65941	643.39484	-69.37048	410.10297	646.03748	-65.70782	102.65941	643.39484	-69.37048	410.10297	646.03748	116.39734	391.14267	828.63818	-77.34863	524.65509	810.89288
6	0.042	-252.52632	253.8531	1086.37195	-100.84464	275.63422	989.11926	-308.32312	150.40468	931.53802	-278.11816	216.6237	600.92468	-270.88849	253.05792	606.35968	-273.61154	290.06232	600.37048	-188.06694	64.71999	669.95605	-181.81604	448.81235	659.70142	-65.6985	102.61865	643.27588	-69.52517	410.08112	645.90845	-153.16316	114.41822	1050.57568	-71.27488	20.74418	941.32483	-10.32953	32.19526	744.16473	-14.74075	-47.03149	817.51996	128.02068	-40.87709	816.77594	224.68341	-61.78672	776.0462	223.46925	14.74011	791.91711	-210.55977	399.68933	1061.58777	-114.36964	497.68857	924.6402	-215.53151	493.60294	950.48816	-90.03004	488.57278	776.19025	-62.86197	560.82697	847.40875	56.58313	480.58997	785.91425	107.08216	388.13504	871.45166	126.64187	395.05966	793.72015	664.09985	-339.43979	735.72742	79.04793	-346.69949	734.09711	65.97003	896.47571	731.75769	647.40942	904.05353	737.5163	-65.6985	102.61865	643.27588	-69.52517	410.08112	645.90845	-65.6985	102.61865	643.27588	-69.52517	410.08112	645.90845	116.86201	391.59735	832.58588	-76.44601	524.69989	811.7995
7	0.05	-252.49986	253.64713	1086.37744	-100.86051	275.5686	989.12042	-308.28467	150.18805	931.56482	-278.15729	216.53339	600.94507	-270.94955	252.97723	606.37573	-273.64566	290.00174	600.3277	-188.00166	64.61176	669.9173	-181.99741	448.71985	659.6297	-65.67346	102.58502	643.15875	-69.69083	410.05789	645.77032	-153.07259	114.30573	1050.55579	-71.2093	20.65922	941.2973	-10.48073	32.05573	744.15973	-14.74594	-47.16872	817.4823	127.94108	-40.91253	816.73065	224.7045	-61.81609	776.02924	223.42377	14.75462	791.97394	-210.63885	399.51685	1061.62659	-114.10474	497.52655	925.28998	-215.30093	493.41577	950.50745	-88.33513	488.58139	777.1355	-62.44368	561.01605	848.69012	58.12567	481.02054	789.28259	107.10709	388.65451	875.54877	128.07222	395.48758	798.04138	664.10791	-339.44028	735.7207	79.06355	-346.69885	734.09967	65.98662	896.47852	731.7666	647.41101	904.05597	737.5097	-65.67346	102.58502	643.15875	-69.69083	410.05789	645.77032	-65.67346	102.58502	643.15875	-69.69083	410.05789	645.77032	117.58966	392.07104	836.79504	-75.3894	524.79871	812.91278
8	0.058	-252.47473	253.40662	1086.39233	-100.86842	275.51273	989.13794	-308.22357	149.95535	931.59668	-278.18384	216.44498	600.97675	-271.00684	252.89688	606.40656	-273.66647	289.94077	600.29657	-187.92102	64.50288	669.89362	-182.18074	448.61899	659.56519	-65.63609	102.55547	643.05017	-69.85754	410.03091	645.63483	-152.96077	114.19267	1050.5459	-71.11777	20.58939	941.27563	-10.61329	31.94743	744.16162	-14.73359	-47.28491	817.44849	127.87662	-40.94067	816.68927	224.72813	-61.84086	776.01447	223.38661	14.77103	792.0224	-210.73784	399.31708	1061.71179	-113.91927	497.49127	926.19019	-215.16089	493.13989	950.46918	-86.5535	488.67941	778.24585	-61.8681	561.23621	850.16852	59.75038	481.45111	792.76917	107.31587	389.17517	879.75391	129.76982	395.95792	802.4173	664.10059	-339.44589	735.72418	79.07182	-346.70251	734.09784	65.99016	896.47205	731.77008	647.40717	904.0545	737.50739	-65.63609	102.55547	643.05017	-69.85754	410.03091	645.63483	-65.63609	102.55547	643.05017	-69.85754	410.03091	645.63483	118.54285	392.56653	841.08563	-74.2108	524.95782	814.20721
