PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\am_25jun2013\Trimmed_am2_4.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	595	31	mm	120	1	595																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
9	0.067	-150.827	312.21704	1135.23389	-24.16537	326.78067	1029.76086	-205.63539	206.34172	1061.94958	-326.28436	238.03941	668.12115	-328.215	284.10574	669.77484	-327.41452	334.35202	667.69177	-187.78596	115.4342	696.99811	-214.00124	468.29941	683.16473	-124.74501	155.3298	632.00891	-125.94765	419.246	622.20996	-47.72498	173.6003	1097.82446	84.97739	176.02129	938.25635	78.59879	235.44392	800.60645	149.73508	157.78404	851.37781	222.27896	224.21533	866.06647	338.83566	311.33398	796.93176	311.26959	347.37357	863.14825	-86.05765	497.10068	1080.97742	1.97912	560.466	888.68884	-90.39893	578.93042	926.38361	4.65275	506.55426	740.97906	13.89671	596.6651	751.77789	143.48622	610.15167	762.72284	264.88733	550.66827	818.01184	263.45352	591.88409	741.50684	671.91333	-355.20972	721.49927	84.85802	-357.78116	721.83942	77.93092	885.79694	720.07397	664.21118	887.01703	718.77191	-121.13358	159.11807	617.6803	-127.4975	419.23236	604.59814	-121.13358	159.11807	617.6803	-127.4975	419.23236	604.59814	325.05261	329.35379	830.04004	114.16693	196.61398	825.99213
10	0.075	-150.34802	312.54153	1135.24731	-23.81429	326.98526	1029.72095	-205.30276	206.66847	1062.00073	-326.14078	238.15851	668.22137	-328.08829	284.23846	669.87476	-327.25992	334.4751	667.76288	-187.67503	115.53804	697.05804	-213.73422	468.38654	683.13025	-124.60686	155.41617	632.00311	-125.94398	419.38486	622.19586	-47.44256	173.88174	1097.91968	85.11738	176.01384	938.19653	78.81406	235.64879	800.40363	149.67259	157.60339	851.02649	222.2717	223.92715	865.9754	338.97159	311.11661	797.19855	311.39066	346.99554	863.48407	-85.7727	497.25989	1081.05554	2.08081	560.58984	888.69287	-90.26302	579.06201	926.44458	4.73747	506.52652	740.99341	13.90994	596.66986	751.76044	143.49596	610.14117	762.73169	264.87048	550.68011	818.0849	263.45782	591.85968	741.51874	671.91833	-355.20908	721.50128	84.86279	-357.78296	721.83514	77.92391	885.79883	720.07507	664.20917	887.01685	718.76837	-121.05925	159.16524	617.67834	-127.30971	419.25381	604.51752	-121.05925	159.16524	617.67834	-127.30971	419.25381	604.51752	325.18112	329.05606	830.34131	114.24332	196.6261	825.71503
11	0.083	-149.87953	312.84387	1135.25623	-23.46762	327.19681	1029.67407	-204.96504	206.97823	1062.03772	-325.99387	238.27841	668.30975	-327.96829	284.37158	669.96674	-327.11038	334.60101	667.8291	-187.56741	115.64424	697.11432	-213.47716	468.47565	683.0965	-124.46935	155.50043	631.9978	-125.94285	419.509	622.18762	-47.1586	174.15373	1097.99963	85.24377	176.08989	938.10767	78.96703	235.89603	800.14423	149.54796	157.4718	850.6557	222.22171	223.67059	865.87262	339.10382	310.88562	797.47107	311.48938	346.62473	863.80823	-85.50689	497.41849	1081.1311	2.18007	560.7113	888.69556	-90.13853	579.19794	926.5022	4.82699	506.49838	741.00604	13.91858	596.67438	751.74121	143.50217	610.13037	762.7428	264.85403	550.69202	818.14716	263.45465	591.83704	741.53192	671.92169	-355.20673	721.5036	84.86948	-357.78134	721.82794	77.91273	885.80341	720.07617	664.20538	887.0166	718.76569	-120.98534	159.21741	617.6767	-127.12711	419.28033	604.4411	-120.98534	159.21741	617.6767	-127.12711	419.28033	604.4411	325.2966	328.75519	830.63965	114.25749	196.68391	825.39996
12	0.092	-149.41882	313.1232	1135.25793	-23.12336	327.41443	1029.61597	-204.62375	207.2682	1062.05981	-325.84534	238.39816	668.38672	-327.85333	284.5029	670.05005	-326.9678	334.72809	667.8905	-187.46147	115.75241	697.16608	-213.23907	468.56958	683.06305	-124.33562	155.58124	631.99323	-125.93555	419.59912	622.185	-46.87214	174.41583	1098.06555	85.3621	176.24805	937.99579	79.03637	236.14304	799.84961	149.37344	157.37978	850.26624	222.13971	223.44005	865.74939	339.23071	310.64728	797.72351	311.57007	346.26169	864.10339	-85.26041	497.57513	1081.203	2.27565	560.82892	888.69653	-90.02601	579.3371	926.55719	4.92242	506.46869	741.01617	13.92173	596.67896	751.71985	143.50401	610.12	762.75519	264.83939	550.70013	818.19165	263.44336	591.81573	741.54669	671.92279	-355.203	721.5058	84.87747	-357.77673	721.81873	77.89884	885.80951	720.07721	664.20007	887.01611	718.76447	-120.91094	159.27637	617.67505	-126.9567	419.31747	604.3689	-120.91094	159.27637	617.67505	-126.9567	419.31747	604.3689	325.40039	328.4545	830.91345	114.20491	196.7614	825.05792
13	0.1	-148.96461	313.38071	1135.25134	-22.78225	327.63522	1029.54529	-204.28218	207.53767	1062.06763	-325.69754	238.51624	668.45331	-327.74133	284.63046	670.12439	-326.83374	334.85437	667.94727	-187.35602	115.86147	697.21301	-213.02769	468.66983	683.02832	-124.20645	155.65862	631.98938	-125.91234	419.63593	622.18713	-46.58343	174.66862	1098.12256	85.4762	176.47618	937.87	79.01883	236.35297	799.54364	149.16576	157.31435	849.86169	222.03868	223.22792	865.60095	339.34967	310.4079	797.93433	311.64032	345.90695	864.35779	-85.03361	497.72913	1081.271	2.3656	560.94141	888.69598	-89.92657	579.47729	926.60999	5.01958	506.43771	741.02454	13.91874	596.68359	751.69598	143.50087	610.11127	762.76764	264.82614	550.69977	818.21252	263.42358	591.79547	741.56317	671.92169	-355.19839	721.508	84.88557	-357.7699	721.80902	77.88393	885.81616	720.07843	664.19366	887.01495	718.76501	-120.83585	159.34239	617.67303	-126.80491	419.36862	604.29962	-120.83585	159.34239	617.67303	-126.80491	419.36862	604.29962	325.495	328.15741	831.14606	114.09229	196.83366	824.70264
14	0.108	-148.51796	313.61908	1135.23669	-22.44798	327.85516	1029.4635	-203.94565	207.7881	1062.0625	-325.55295	238.63087	668.51105	-327.63071	284.7529	670.19	-326.70944	334.97763	667.99951	-187.24968	115.9702	697.25543	-212.84877	468.77664	682.99017	-124.08105	155.73372	631.98657	-125.86253	419.60214	622.19189	-46.29372	174.91328	1098.17773	85.58902	176.75304	937.7403	78.93166	236.50421	799.24768	148.94484	157.26205	849.44824	221.93205	223.02647	865.42676	339.45786	310.17288	798.08826	311.70926	345.56149	864.56494	-84.82622	497.87982	1081.33472	2.44769	561.04834	888.69415	-89.84163	579.61578	926.66071	5.11083	506.40701	741.03265	13.90967	596.68817	751.66925	143.49258	610.10474	762.77899	264.81271	550.68677	818.20715	263.39569	591.77557	741.58167	671.91913	-355.19336	721.51025	84.89226	-357.76187	721.80054	77.86962	885.82269	720.08008	664.1864	887.01312	718.7674	-120.75988	159.41501	617.67035	-126.67685	419.43509	604.23108	-120.75988	159.41501	617.67035	-126.67685	419.43509	604.23108	325.58356	327.86719	831.3266	113.93825	196.88313	824.34796
15	0.117	-148.08128	313.84192	1135.2157	-22.12621	328.07016	1029.37378	-203.62068	208.02278	1062.04626	-325.41409	238.7404	668.56189	-327.52042	284.86908	670.24744	-326.59573	335.09561	668.0473	-187.14014	116.07798	697.2934	-212.70599	468.88959	682.94684	-123.95768	155.80879	631.98456	-125.77551	419.48566	622.19592	-46.00551	175.15112	1098.23901	85.70342	177.05083	937.61639	78.80273	236.59137	798.97766	148.73174	157.21124	849.03394	221.83261	222.82884	865.22961	339.5531	309.94662	798.17731	311.78558	345.22696	864.72308	-84.63663	498.02637	1081.39429	2.51986	561.15063	888.69135	-89.77238	579.74982	926.7088	5.1879	506.37863	741.04175	13.89535	596.69269	751.63928	143.47984	610.10046	762.78839	264.79773	550.65955	818.17847	263.36099	591.75549	741.60266	671.91608	-355.18848	721.51263	84.89618	-357.75354	721.79443	77.85723	885.82825	720.08228	664.17853	887.0108	718.77118	-120.68214	159.49425	617.6662	-126.57609	419.51749	604.16095	-120.68214	159.49425	617.6662	-126.57609	419.51749	604.16095	325.66934	327.58679	831.4502	113.76723	196.90131	824.0058
16	0.125	-147.65675	314.05341	1135.19006	-21.82294	328.27731	1029.28027	-203.31297	208.24577	1062.02026	-325.28363	238.84354	668.60773	-327.41022	284.97781	670.2973	-326.49265	335.20584	668.09021	-187.02385	116.18552	697.32623	-212.60159	469.00876	682.89746	-123.83482	155.88657	631.98267	-125.64326	419.28476	622.1944	-45.72237	175.38319	1098.31384	85.82259	177.33856	937.50665	78.65742	236.61827	798.74371	148.54578	157.15277	848.62805	221.75142	222.63005	865.01398	339.63425	309.7341	798.2002	311.87561	344.90518	864.83386	-84.46243	498.1683	1081.44897	2.5807	561.25006	888.68738	-89.71931	579.87732	926.75348	5.24409	506.35461	741.05219	13.8771	596.69733	751.60632	143.46408	610.09747	762.79523	264.78015	550.62097	818.1358	263.32129	591.7348	741.62689	671.91345	-355.18417	721.51471	84.89676	-357.74561	721.79095	77.84763	885.83197	720.08459	664.17065	887.00824	718.77582	-120.60069	159.58176	617.65906	-126.50495	419.6171	604.08746	-120.60069	159.58176	617.65906	-126.50495	419.6171	604.08746	325.75494	327.31964	831.51703	113.60159	196.88553	823.68585
17	0.133	-147.24596	314.25784	1135.16138	-21.5431	328.4758	1029.1875	-203.02559	208.46089	1061.98584	-325.16437	238.93956	668.65063	-327.30103	285.07788	670.34052	-326.39941	335.30621	668.12732	-186.89682	116.29473	697.3526	-212.53621	469.13458	682.84247	-123.71297	155.96883	631.98035	-125.46276	419.01251	622.18158	-45.44838	175.61047	1098.40796	85.94967	177.58638	937.41687	78.51181	236.59084	798.55194	148.4026	157.07983	848.23956	221.69687	222.42757	864.78503	339.70056	309.54181	798.16107	311.98221	344.59814	864.901	-84.30145	498.30615	1081.49829	2.62976	561.34869	888.68158	-89.68196	579.99768	926.79364	5.27506	506.33694	741.06384	13.85668	596.70239	751.57086	143.44669	610.09497	762.79907	264.75888	550.57678	818.09174	263.27847	591.71375	741.65491	671.91205	-355.18079	721.51599	84.89457	-357.73883	721.78918	77.841	885.83331	720.08655	664.16382	887.00568	718.7807	-120.51316	159.68057	617.64685	-126.46454	419.73575	604.0097	-120.51316	159.68057	617.64685	-126.46454	419.73575	604.0097	325.84137	327.06998	831.53107	113.45721	196.83534	823.39575
18	0.142	-146.85132	314.45929	1135.13086	-21.28912	328.66745	1029.10059	-202.75882	208.67114	1061.94458	-325.05862	239.02826	668.69281	-327.19495	285.16803	670.37854	-326.31519	335.39539	668.15826	-186.75592	116.40771	697.3717	-212.50789	469.26688	682.78296	-123.59603	156.05544	631.97839	-125.23576	418.69193	622.15179	-45.1872	175.8344	1098.52563	86.08706	177.77028	937.35016	78.37391	236.51508	798.40662	148.31244	156.9877	847.87592	221.67415	222.22096	864.54803	339.75143	309.3772	798.06793	312.1041	344.30789	864.9295	-84.15219	498.44153	1081.54138	2.66762	561.44775	888.6734	-89.65875	580.11133	926.82843	5.2785	506.32733	741.07672	13.83589	596.70776	751.53375	143.42862	610.09229	762.80005	264.73309	550.53247	818.05701	263.23474	591.69244	741.68732	671.91241	-355.17838	721.51587	84.89082	-357.73383	721.78778	77.83672	885.83209	720.08746	664.15906	887.00305	718.78528	-120.41782	159.79332	617.62787	-126.45396	419.87387	603.92719	-120.41782	159.79332	617.62787	-126.45396	419.87387	603.92719	325.92776	326.84256	831.49872	113.34318	196.75139	823.1413
