Version	3.0
Starting Frame	59
Avg Step Width (cm)	  13.90
R_Velocity	118.802	116.453
R_Stride_Len	145.397	144.834
R_Cadence	97.959	96.000
L_Velocity	118.599	118.527	112.545
L_Stride_Len	145.703	145.976	142.891
L_Cadence	98.630	97.297	93.506
R_Support_Time	61.905	61.333
L_Support_Time	63.699	64.189	62.987
R_Non_Support	38.095	38.667
L_Non_Support	36.301	35.811	37.013
R_Step_Len	74.446	74.139	72.997
L_Step_Len	71.257	71.837	69.894
R_Dbl_Support	12.925	13.333
L_Dbl_Support	13.014	12.838	12.338
RHS	103.000	250.000	400.000
LHS	29.000	175.000	323.000	477.000
RTO	48.000	194.000	342.000
LTO	122.000	270.000	420.000
RHS FP	103.000	250.000
LHS FP	
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-9.456	-1.402	4.638	-15.590	3.822	9.286	13.814	-5.433	15.542	44.134	20.865	3.679	4.186	-1.569	29.540	-33.768	4.249	19.915	16.245	-16.317	3.480	30.604	10.592	-17.013	0.000	0.000	0.000	2.485	-1.550	5.656	1.083	12.061	0.344	-11.323	2.821	0.000	-15.063	3.783	0.000	-0.165	-0.002	-0.003	-0.067	-0.012	-0.001	-0.018	0.000	0.002	0.000	0.000	0.000	-0.172	0.023	0.011	-0.090	-0.023	0.011	-0.032	-0.009	0.011	0.000	0.000	0.000	0.000	-0.009	0.014	0.000	-0.002	-0.020	0.001	0.001	-0.010	0.002	0.027	-0.013	-0.002	0.026	-0.041	0.006	0.004	-0.015	0.016	-0.015	0.004	0.001	-0.241	-0.003	23.222	5.319	12.106	6.336	10.957	10.335	6.545	5.220
-9.183	-1.374	4.116	-15.796	3.925	9.025	13.860	-5.630	15.820	44.485	21.004	4.023	4.063	-1.547	29.584	-34.137	3.902	17.213	16.025	-16.263	3.211	30.576	10.567	-17.080	0.000	0.000	0.000	2.483	-1.530	5.832	1.036	12.214	0.242	-11.316	3.017	0.000	-15.466	1.430	0.000	-0.166	-0.001	-0.002	-0.068	-0.012	-0.001	-0.018	0.000	0.002	0.000	0.000	0.000	-0.175	0.023	0.010	-0.091	-0.023	0.011	-0.032	-0.010	0.011	0.000	0.000	0.000	0.000	-0.008	0.013	0.000	-0.002	-0.021	0.001	0.001	-0.010	0.001	0.023	-0.008	-0.002	0.025	-0.041	0.006	0.004	-0.015	0.015	-0.014	0.004	0.000	-0.242	-0.001	29.298	5.341	12.498	7.134	11.347	10.827	6.742	5.409
-8.847	-1.351	3.618	-15.995	4.039	8.803	13.896	-5.824	16.083	44.800	21.137	4.373	3.808	-1.540	29.586	-34.356	3.517	14.500	15.787	-16.163	2.996	30.529	10.533	-17.133	0.000	0.000	0.000	2.480	-1.504	5.988	0.977	12.368	0.098	-11.294	3.244	0.000	-15.845	-0.961	0.000	-0.167	0.001	-0.002	-0.068	-0.011	-0.001	-0.018	0.000	0.002	0.000	0.000	0.000	-0.176	0.023	0.009	-0.092	-0.022	0.010	-0.032	-0.011	0.011	0.000	0.000	0.000	0.000	-0.008	0.012	0.000	-0.001	-0.021	0.001	0.001	-0.011	0.001	0.020	-0.001	-0.002	0.024	-0.041	0.006	0.004	-0.014	0.014	-0.013	0.003	0.000	-0.241	0.001	35.777	5.256	12.612	7.936	11.695	11.246	6.874	5.545
-8.472	-1.325	3.130	-16.172	4.160	8.615	13.911	-6.036	16.333	45.076	21.261	4.722	3.444	-1.550	29.541	-34.423	3.117	11.784	15.548	-16.051	2.862	30.460	10.491	-17.176	0.000	0.000	0.000	2.474	-1.479	6.123	0.905	12.517	-0.073	-11.263	3.502	0.000	-16.181	-3.391	0.000	-0.167	0.004	-0.002	-0.068	-0.011	-0.001	-0.018	0.000	0.003	0.000	0.000	0.000	-0.176	0.023	0.007	-0.091	-0.021	0.010	-0.031	-0.012	0.011	0.000	0.000	0.000	0.001	-0.007	0.011	0.000	-0.001	-0.022	0.002	0.001	-0.011	0.000	0.016	0.006	-0.002	0.024	-0.041	0.006	0.003	-0.014	0.012	-0.012	0.003	0.001	-0.239	0.003	42.307	5.081	12.615	8.712	12.014	11.576	6.969	5.656
-8.083	-1.293	2.640	-16.319	4.279	8.455	13.901	-6.286	16.573	45.313	21.378	5.061	2.997	-1.573	29.444	-34.343	2.723	9.079	15.326	-15.956	2.829	30.369	10.443	-17.215	0.000	0.000	0.000	2.458	-1.460	6.236	0.818	12.653	-0.253	-11.229	3.793	0.000	-16.460	-5.854	0.000	-0.167	0.006	-0.001	-0.067	-0.011	-0.001	-0.018	0.000	0.003	0.000	0.000	0.000	-0.175	0.024	0.006	-0.090	-0.021	0.009	-0.030	-0.013	0.010	0.000	0.000	0.000	0.001	-0.006	0.009	0.000	0.000	-0.022	0.002	0.001	-0.011	0.000	0.012	0.014	-0.002	0.023	-0.042	0.006	0.003	-0.013	0.010	-0.010	0.003	0.003	-0.237	0.004	48.481	4.857	12.622	9.435	12.305	11.777	7.042	5.754
-7.706	-1.251	2.138	-16.432	4.392	8.323	13.863	-6.575	16.804	45.515	21.486	5.384	2.493	-1.604	29.293	-34.124	2.351	6.403	15.137	-15.897	2.908	30.256	10.391	-17.254	0.000	0.000	0.000	2.429	-1.451	6.326	0.720	12.770	-0.427	-11.196	4.119	0.000	-16.663	-8.341	0.000	-0.166	0.008	-0.001	-0.067	-0.010	-0.001	-0.018	0.000	0.003	0.000	0.000	0.000	-0.174	0.024	0.006	-0.088	-0.020	0.009	-0.029	-0.014	0.010	0.000	0.000	0.000	0.001	-0.005	0.008	0.000	0.001	-0.022	0.002	0.001	-0.010	-0.001	0.009	0.023	-0.003	0.022	-0.042	0.006	0.003	-0.012	0.008	-0.008	0.003	0.006	-0.233	0.005	53.927	4.625	12.702	10.086	12.559	11.842	7.099	5.829
-7.356	-1.200	1.620	-16.508	4.491	8.227	13.801	-6.876	17.025	45.682	21.586	5.685	1.954	-1.638	29.093	-33.776	2.007	3.784	14.990	-15.865	3.094	30.122	10.336	-17.294	0.000	0.000	0.000	2.387	-1.455	6.392	0.614	12.863	-0.589	-11.168	4.481	0.000	-16.773	-10.832	0.000	-0.166	0.009	-0.001	-0.067	-0.010	-0.001	-0.018	0.000	0.003	0.000	0.000	0.000	-0.172	0.025	0.005	-0.086	-0.020	0.009	-0.027	-0.016	0.010	0.000	0.000	0.000	0.001	-0.003	0.006	-0.000	0.002	-0.022	0.002	0.001	-0.010	-0.001	0.006	0.031	-0.003	0.021	-0.043	0.006	0.003	-0.011	0.006	-0.005	0.003	0.010	-0.227	0.006	58.406	4.430	12.920	10.624	12.748	11.784	7.142	5.866
-7.048	-1.145	1.088	-16.548	4.569	8.178	13.725	-7.146	17.229	45.814	21.676	5.963	1.398	-1.665	28.854	-33.318	1.691	1.251	14.892	-15.848	3.375	29.965	10.282	-17.333	0.000	0.000	0.000	2.330	-1.469	6.436	0.505	12.932	-0.736	-11.145	4.881	0.000	-16.776	-13.304	0.000	-0.166	0.010	-0.000	-0.067	-0.010	-0.001	-0.018	0.000	0.004	0.000	0.000	0.000	-0.170	0.026	0.005	-0.083	-0.019	0.009	-0.025	-0.017	0.010	0.000	0.000	0.000	0.001	-0.001	0.004	-0.000	0.003	-0.022	0.002	0.001	-0.010	-0.001	0.004	0.039	-0.003	0.020	-0.044	0.006	0.003	-0.009	0.004	-0.002	0.003	0.014	-0.218	0.006	61.879	4.323	13.294	10.983	12.866	11.639	7.175	5.866
-6.792	-1.093	0.546	-16.553	4.622	8.184	13.643	-7.350	17.413	45.914	21.753	6.217	0.849	-1.678	28.587	-32.772	1.399	-1.164	14.853	-15.834	3.737	29.788	10.229	-17.370	0.000	0.000	0.000	2.262	-1.493	6.458	0.400	12.975	-0.870	-11.127	5.321	0.000	-16.658	-15.729	0.000	-0.166	0.011	-0.000	-0.067	-0.010	-0.001	-0.018	0.000	0.004	0.000	0.000	0.000	-0.167	0.028	0.006	-0.080	-0.019	0.008	-0.023	-0.019	0.010	0.000	0.000	0.000	0.001	0.000	0.002	-0.000	0.004	-0.022	0.002	0.001	-0.010	-0.002	0.002	0.046	-0.003	0.020	-0.044	0.006	0.003	-0.008	0.002	0.001	0.003	0.018	-0.206	0.006	64.473	4.345	13.814	11.125	12.905	11.458	7.199	5.849
-6.596	-1.045	-0.002	-16.521	4.645	8.253	13.562	-7.485	17.577	45.982	21.815	6.444	0.334	-1.673	28.306	-32.173	1.126	-3.427	14.878	-15.821	4.166	29.589	10.180	-17.403	0.000	0.000	0.000	2.182	-1.525	6.458	0.302	12.995	-0.992	-11.112	5.803	0.000	-16.414	-18.075	0.000	-0.166	0.011	-0.000	-0.067	-0.009	-0.000	-0.018	0.000	0.004	0.000	0.000	0.000	-0.165	0.029	0.006	-0.077	-0.019	0.008	-0.022	-0.020	0.009	0.000	0.000	0.000	0.001	0.002	-0.000	-0.000	0.005	-0.022	0.002	0.001	-0.010	-0.002	0.001	0.051	-0.003	0.020	-0.044	0.005	0.003	-0.007	-0.000	0.005	0.003	0.022	-0.189	0.005	66.208	4.522	14.483	11.042	12.874	11.264	7.210	5.834
