PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\em_22aug2013\Trimmed_em5_2.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	887	31	mm	120	1	887																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-299.6424	349.81168	1088.09802	-155.91769	339.30112	941.49384	-379.22733	226.69322	982.48804	-410.91031	258.50641	574.48535	-412.65851	303.52594	576.29114	-414.25351	350.42816	571.30756	-321.17371	121.73867	648.94855	-336.61102	499.29831	617.49506	-210.50401	158.61823	628.27612	-216.4454	459.83658	602.20166	-213.07962	202.6931	1067.53748	-74.63647	154.77899	1000.99915	46.76092	146.94412	834.00128	84.71184	107.59322	948.45386	135.26712	218.6264	949.68573	247.11737	284.78464	886.61853	182.18497	333.4108	912.9115	-213.59517	507.68405	1029.10291	-71.87225	584.73016	879.80554	-162.34148	613.8429	876.73889	-27.32734	573.26831	732.04108	-32.91328	658.61566	784.92908	100.29862	639.98749	808.31598	220.58241	562.87695	808.91327	233.08464	622.3623	750.77368	661.67798	-345.87457	732.50458	75.65974	-361.11365	731.00684	47.47422	882.44525	726.974	631.29596	896.85663	728.93378	-210.50401	158.61823	628.27612	-216.4454	459.83658	602.20166	-210.50401	158.61823	628.27612	-216.4454	459.83658	602.20166	214.65117	309.09772	899.76501	65.73638	127.26867	891.2276
2	0.008	-299.58517	350.34344	1088.14465	-155.80983	340.16095	941.56335	-379.04733	227.05832	982.49542	-410.91849	258.6232	574.59937	-412.68137	303.64703	576.38409	-414.28513	350.55136	571.32819	-321.0997	122.00365	649.20782	-336.78305	499.52042	617.29004	-210.4601	158.92632	628.45148	-216.59816	460.11447	602.00433	-212.97296	203.03815	1067.60815	-74.705	155.01259	1002.14166	47.20765	147.97897	835.96857	85.14352	108.07237	950.17346	135.09904	219.29211	952.37866	246.77493	286.47012	890.1626	181.45651	334.5798	916.65137	-213.83112	508.34128	1029.09485	-72.10969	585.28186	879.79486	-162.60834	614.41046	876.68158	-27.3659	573.52161	732.02795	-32.94244	659.00018	784.789	100.23231	640.30212	808.26154	220.45297	562.95508	808.97491	233.01843	622.34985	750.75067	661.65479	-345.84991	732.48877	75.64947	-361.13632	731.01202	47.39299	882.42181	726.98419	631.19696	896.87469	728.92462	-210.4601	158.92632	628.45148	-216.59816	460.11447	602.00433	-210.4601	158.92632	628.45148	-216.59816	460.11447	602.00433	214.11572	310.52496	903.40698	66.17559	128.02567	893.07104
3	0.017	-299.61066	350.92035	1088.19312	-155.74376	340.91653	941.70221	-379.05386	227.47736	982.40692	-410.94116	258.75821	574.71466	-412.70883	303.78473	576.48218	-414.30441	350.69394	571.35162	-321.04437	122.28838	649.48395	-336.91757	499.75421	617.10852	-210.42845	159.23853	628.65045	-216.71823	460.38708	601.83636	-213.19267	203.50716	1067.84875	-75.00147	155.26004	1003.65228	47.51247	149.69044	838.65405	85.75258	108.39875	952.1377	135.00784	219.79314	956.05304	246.30101	288.54224	894.9563	180.57626	335.8812	922.16522	-214.03622	508.93784	1029.11157	-72.32159	585.77094	879.78967	-162.8463	614.93866	876.65143	-27.39533	573.78918	731.99725	-32.97016	659.37744	784.66559	100.15453	640.62213	808.21271	220.31448	563.05402	809.03546	232.94472	622.37225	750.74408	661.633	-345.80713	732.47101	75.63799	-361.12662	731.01935	47.32173	882.42255	726.99542	631.12732	896.90814	728.91052	-210.42845	159.23853	628.65045	-216.71823	460.38708	601.83636	-210.42845	159.23853	628.65045	-216.71823	460.38708	601.83636	213.43863	312.21173	908.56079	66.63252	129.0446	895.39587
4	0.025	-299.72284	351.54288	1088.24414	-155.72777	341.57309	941.90704	-379.22745	227.94879	982.24371	-410.97421	258.9151	574.82843	-412.73581	303.94025	576.58228	-414.30685	350.85754	571.37604	-321.00726	122.58875	649.77374	-337.02115	500.00677	616.95435	-210.40799	159.55392	628.8786	-216.81013	460.66476	601.70935	-213.69566	204.13115	1068.25879	-75.46421	155.53757	1005.41486	47.63671	152.00172	841.83344	86.45244	108.67503	954.20636	134.99336	220.19975	960.37646	245.75093	290.87735	900.56226	179.64136	337.27911	928.91046	-214.21709	509.47699	1029.15845	-72.49471	586.18787	879.79913	-163.03398	615.42401	876.6568	-27.43421	574.0694	731.96271	-32.99411	659.73541	784.55676	100.07726	640.93933	808.15784	220.17621	563.18134	809.0838	232.86815	622.4389	750.74475	661.61353	-345.74887	732.45404	75.62524	-361.08621	731.02881	47.26679	882.44635	727.0061	631.09137	896.95361	728.89368	-210.40799	159.55392	628.8786	-216.81013	460.66476	601.70935	-210.40799	159.55392	628.8786	-216.81013	460.66476	601.70935	212.69614	314.07825	914.73639	67.04458	130.33838	898.0199
5	0.033	-299.91727	352.21011	1088.3009	-155.76689	342.13922	942.17175	-379.54016	228.46616	982.04523	-411.01227	259.09506	574.93787	-412.75635	304.11362	576.6806	-414.29013	351.04166	571.40118	-320.98773	122.8984	650.07068	-337.10101	500.28165	616.83173	-210.39755	159.86977	629.13843	-216.87901	460.95468	601.63452	-214.42598	204.91385	1068.82019	-76.04088	155.87259	1007.31641	47.61089	154.78618	845.2688	87.1199	109.01279	956.29016	135.00751	220.59608	965.05859	245.18643	293.33997	906.65515	178.72833	338.73926	936.37683	-214.38585	509.9646	1029.24182	-72.61888	586.53021	879.83337	-163.15378	615.86389	876.70355	-27.49265	574.35388	731.93842	-33.01362	660.06281	784.45929	100.01251	641.25421	808.08801	220.04942	563.34332	809.11389	232.79314	622.55573	750.74323	661.59753	-345.68192	732.4389	75.61247	-361.02521	731.03967	47.23021	882.48615	727.01526	631.08606	897.00439	728.87567	-210.39755	159.86977	629.13843	-216.87901	460.95468	601.63452	-210.39755	159.86977	629.13843	-216.87901	460.95468	601.63452	211.95738	316.03961	921.51599	67.36539	131.89949	900.77948
6	0.042	-300.18484	352.92102	1088.36609	-155.86458	342.62601	942.48737	-379.96066	229.01782	981.85687	-411.04895	259.29623	575.0401	-412.76544	304.30295	576.77411	-414.25436	351.24332	571.42822	-320.98428	123.21003	650.36536	-337.15689	500.57291	616.74438	-210.3954	160.18016	629.42407	-216.92409	461.2522	601.6167	-215.32527	205.83527	1069.4989	-76.69415	156.30415	1009.25549	47.50424	157.89928	848.74072	87.62847	109.50601	958.3382	134.97812	221.05727	969.86938	244.66356	295.80215	913.01471	177.88939	340.22784	944.13678	-214.55598	510.40939	1029.36633	-72.68774	586.80243	879.9007	-163.19591	616.25598	876.79474	-27.57287	574.62524	731.93622	-33.02663	660.34741	784.37408	99.96792	641.56866	808.0022	219.94653	563.54559	809.12531	232.72374	622.72241	750.72925	661.58661	-345.61566	732.42566	75.60176	-360.9584	731.05054	47.2099	882.53156	727.02191	631.10205	897.05255	728.85822	-210.3954	160.18016	629.42407	-216.92409	461.2522	601.6167	-210.3954	160.18016	629.42407	-216.92409	461.2522	601.6167	211.27647	318.01498	928.57574	67.56636	133.70264	903.53949
7	0.05	-300.51456	353.67297	1088.44104	-156.02179	343.04532	942.84247	-380.45959	229.59033	981.71545	-411.07755	259.51349	575.133	-412.76031	304.50406	576.8609	-414.202	351.45697	571.45935	-320.99301	123.51637	650.64746	-337.18146	500.86676	616.69421	-210.39801	160.47723	629.72217	-216.93906	461.54254	601.6521	-216.34009	206.85957	1070.25098	-77.40211	156.87286	1011.14484	47.39139	161.2076	852.07507	87.87942	110.21227	960.31946	134.8369	221.6308	974.64117	244.22197	298.15732	919.49707	177.15446	341.7085	951.87256	-214.73759	510.82205	1029.53333	-72.69893	587.01477	880.00549	-163.15962	616.59857	876.93042	-27.67244	574.86078	731.96387	-33.03083	660.57666	784.30511	99.9449	641.87872	807.90479	219.87747	563.79211	809.12183	232.66388	622.93256	750.69312	661.58203	-345.55991	732.41431	75.59478	-360.9006	731.05975	47.20178	882.57196	727.02545	631.1275	897.09064	728.84357	-210.39801	160.47723	629.72217	-216.93906	461.54254	601.6521	-210.39801	160.47723	629.72217	-216.93906	461.54254	601.6521	210.68822	319.93292	935.68481	67.6354	135.70993	906.19727
8	0.058	-300.89462	354.4585	1088.52417	-156.23482	343.40842	943.22479	-381.01352	230.1732	981.64032	-411.09232	259.73816	575.21588	-412.74115	304.71033	576.94098	-414.13669	351.67496	571.49719	-321.0072	123.81047	650.90833	-337.16611	501.14767	616.68085	-210.39999	160.75316	630.01544	-216.91705	461.80911	601.7298	-217.42694	207.94403	1071.03101	-78.15591	157.60469	1012.91388	47.32777	164.60934	855.15625	87.82281	111.14368	962.20441	134.54185	222.3251	979.26141	243.87801	300.32874	926.00232	176.53442	343.13971	959.38293	-214.93506	511.21292	1029.73975	-72.65482	587.18048	880.14734	-163.05211	616.89069	877.10718	-27.78584	575.03687	732.02539	-33.02737	660.73981	784.25378	99.94082	642.177	807.79938	219.84843	564.08411	809.10968	232.61723	623.17462	750.62659	661.5835	-345.52283	732.40515	75.59167	-360.86249	731.0658	47.20174	882.59875	727.02551	631.15198	897.11212	728.8338	-210.39999	160.75316	630.01544	-216.91705	461.80911	601.7298	-210.39999	160.75316	630.01544	-216.91705	461.80911	601.7298	210.20621	321.73422	942.69263	67.57529	137.87651	908.6803
