PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\ts_19jul2013\Trimmed_ts2_2.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	1354	31	mm	120	1	1354																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
9	0.067	-211.55719	340.47958	1110.9032	-68.93932	330.72598	942.64508	-330.01324	182.8924	993.15485	-436.09875	277.20874	671.99591	-432.64691	307.23309	661.98792	-436.45578	348.14154	661.1933	-296.76489	80.202	651.1546	-307.08899	509.37033	648.64093	-181.57785	137.10124	568.82318	-190.45383	451.13882	593.5293	-175.77971	181.81886	1101.40002	-68.28188	62.63396	962.70459	-71.76614	48.16601	775.82458	-31.81447	-23.26685	863.2807	68.37769	60.119	879.85101	133.34029	143.58495	815.17297	97.72334	181.46999	892.84045	-160.41035	492.95749	1051.85144	-114.91098	620.76025	866.72705	-226.75665	605.97443	903.61566	-151.17964	622.57507	703.4765	-156.03423	714.37976	789.66583	-33.81054	715.80676	800.47589	93.05931	648.90277	786.75317	92.47844	739.02917	756.35352	661.38342	-350.08032	726.1496	78.5976	-356.22	721.35364	65.08189	887.29541	723.92139	645.41156	894.00391	725.33258	-181.57785	137.10124	568.82318	-190.45383	451.13882	593.5293	-181.57785	137.10124	568.82318	-190.45383	451.13882	593.5293	115.53181	162.52747	854.00671	-51.79031	12.44958	819.55261
10	0.075	-211.35959	340.66138	1110.91199	-68.77009	330.9317	942.64746	-329.72543	182.98674	993.2168	-435.94	277.21329	672.04193	-432.51422	307.23575	662.03345	-436.36411	348.16403	661.26733	-296.57794	80.26606	651.22144	-307.02905	509.40805	648.65375	-181.41304	137.18898	568.87543	-190.38013	451.20416	593.54211	-175.54945	182.02426	1101.47534	-68.14432	62.41045	963.05621	-71.87806	47.2238	776.2428	-31.72248	-24.06497	863.82886	68.32381	59.56888	879.98523	133.06075	142.93808	814.96783	97.46863	181.01498	892.56671	-160.31871	493.13452	1051.82788	-114.85826	620.90411	866.68237	-226.70547	606.14325	903.58893	-151.19196	622.74933	703.43781	-155.99168	714.53546	789.63971	-33.7831	715.91229	800.45422	93.0864	648.92194	786.73871	92.50321	739.04694	756.33051	661.37787	-350.08804	726.15112	78.59702	-356.22614	721.35284	65.08854	887.28662	723.91888	645.41229	893.99823	725.33209	-181.41304	137.18898	568.87543	-190.38013	451.20416	593.54211	-181.41304	137.18898	568.87543	-190.38013	451.20416	593.54211	115.26469	161.97653	853.76727	-51.80027	11.57942	820.03583
11	0.083	-211.17326	340.84558	1110.91724	-68.60432	331.13217	942.65985	-329.45407	183.08679	993.27551	-435.77936	277.22049	672.08337	-432.38098	307.24261	662.07373	-436.27078	348.18854	661.33765	-296.3942	80.32745	651.29089	-306.96344	509.4458	648.65723	-181.24925	137.26936	568.93011	-190.30127	451.26556	593.54865	-175.3342	182.22928	1101.55469	-68.06137	62.1528	963.41193	-71.96023	46.35655	776.67511	-31.63994	-24.85311	864.37604	68.25808	59.01551	880.15607	132.78693	142.30208	814.83264	97.20167	180.55312	892.36005	-160.23506	493.31589	1051.79956	-114.80717	621.05475	866.63336	-226.6414	606.30316	903.54559	-151.20738	622.91931	703.39178	-155.95438	714.6897	789.60138	-33.76155	716.01526	800.42761	93.0973	648.94269	786.7337	92.52459	739.05872	756.30652	661.37622	-350.10049	726.15155	78.59294	-356.23407	721.3515	65.09008	887.27362	723.91486	645.41034	893.98944	725.33374	-181.24925	137.26936	568.93011	-190.30127	451.26556	593.54865	-181.24925	137.26936	568.93011	-190.30127	451.26556	593.54865	114.99429	161.4276	853.59637	-51.80009	10.75172	820.52557
12	0.092	-211.00056	341.03235	1110.9198	-68.44354	331.32526	942.68097	-329.20468	183.19246	993.3324	-435.62323	277.23062	672.12311	-432.25131	307.2547	662.11102	-436.17767	348.21472	661.40381	-296.21527	80.385	651.36401	-306.89621	509.48221	648.65106	-181.08957	137.34163	568.98651	-190.22179	451.32214	593.54712	-175.13487	182.43446	1101.63806	-68.02299	61.87468	963.76599	-71.98724	45.57585	777.10364	-31.56222	-25.60966	864.91284	68.19006	58.47466	880.36072	132.53102	141.69296	814.77222	96.9355	180.09653	892.22559	-160.15947	493.50137	1051.76807	-114.76127	621.21344	866.58038	-226.56561	606.45093	903.48724	-151.22714	623.08228	703.34045	-155.92198	714.84271	789.5528	-33.74696	716.11157	800.39783	93.08465	648.96515	786.74207	92.54239	739.06494	756.28326	661.38	-350.11511	726.1507	78.58616	-356.24268	721.35004	65.08699	887.25885	723.90948	645.40576	893.97882	725.33722	-181.08957	137.34163	568.98651	-190.22179	451.32214	593.54712	-181.08957	137.34163	568.98651	-190.22179	451.32214	593.54712	114.73326	160.89474	853.4989	-51.77473	9.9831	821.00824
13	0.1	-210.84354	341.2226	1110.92065	-68.29166	331.50989	942.70697	-328.98062	183.30363	993.38904	-435.47733	277.24362	672.1637	-432.129	307.27225	662.14746	-436.08627	348.24213	661.46558	-296.04205	80.43826	651.44128	-306.83142	509.51566	648.63544	-180.93637	137.40604	569.04352	-190.14601	451.37311	593.53632	-174.95267	182.63994	1101.7251	-68.01517	61.59237	964.11365	-71.93586	44.88281	777.51013	-31.48576	-26.31536	865.43231	68.12906	57.96151	880.59674	132.3071	141.12221	814.78711	96.6829	179.65868	892.16412	-160.09122	493.69019	1051.73425	-114.72254	621.38019	866.52319	-226.48192	606.58575	903.41675	-151.25069	623.23596	703.28564	-155.89427	714.99445	789.49713	-33.74003	716.19891	800.36621	93.04628	648.98944	786.76459	92.5577	739.06702	756.26245	661.3894	-350.12885	726.14899	78.57831	-356.25073	721.34912	65.08083	887.24469	723.90363	645.39929	893.96814	725.34113	-180.93637	137.40604	569.04352	-190.14601	451.37311	593.53632	-180.93637	137.40604	569.04352	-190.14601	451.37311	593.53632	114.495	160.39044	853.47559	-51.71081	9.28373	821.47125
14	0.108	-210.70383	341.41766	1110.92102	-68.15406	331.68604	942.73248	-328.78287	183.41983	993.44653	-435.34561	277.25876	672.20605	-432.01614	307.29434	662.18396	-435.99768	348.27014	661.52289	-295.87469	80.48744	651.52222	-306.77155	509.54404	648.61108	-180.79056	137.46367	569.10022	-190.0764	451.41711	593.51611	-174.78857	182.8452	1101.81506	-68.02307	61.32277	964.4505	-71.78982	44.27219	777.87811	-31.40839	-26.9546	865.93097	68.08227	57.49023	880.86157	132.12651	140.59853	814.87164	96.45406	179.25391	892.16992	-160.02928	493.88016	1051.69849	-114.69137	621.55353	866.46143	-226.39615	606.70898	903.33734	-151.27611	623.3786	703.22827	-155.87144	715.14441	789.43701	-33.74032	716.27722	800.33325	92.98584	649.01617	786.79913	92.57191	739.06702	756.24475	661.40356	-350.13934	726.14648	78.5712	-356.25705	721.34906	65.07316	887.23328	723.89813	645.39209	893.95923	725.34381	-180.79056	137.46367	569.10022	-190.0764	451.41711	593.51611	-180.79056	137.46367	569.10022	-190.0764	451.41711	593.51611	114.29029	159.92621	853.52075	-51.5991	8.6588	821.90454
15	0.117	-210.58318	341.61865	1110.92175	-68.03585	331.85449	942.75256	-328.61057	183.54053	993.50549	-435.23041	277.27505	672.24951	-431.9129	307.31924	662.22003	-435.91245	348.29819	661.57544	-295.71338	80.5333	651.60522	-306.71658	509.56534	648.57849	-180.65228	137.51566	569.15527	-190.01294	451.45239	593.48676	-174.64323	183.04999	1101.90735	-68.03378	61.08152	964.77252	-71.54582	43.73418	778.19452	-31.32843	-27.51635	866.4082	68.05384	57.07274	881.15039	131.98976	140.1311	815.01172	96.25604	178.89525	892.23053	-159.97307	494.06818	1051.6604	-114.66692	621.73022	866.39478	-226.31453	606.82318	903.25208	-151.30067	623.50916	703.16821	-155.8532	715.29102	789.37347	-33.74545	716.34753	800.29883	92.91238	649.04559	786.84076	92.58576	739.06757	756.23004	661.42126	-350.14514	726.14282	78.56609	-356.2608	721.34979	65.06503	887.22668	723.89374	645.38556	893.95355	725.34375	-180.65228	137.51566	569.15527	-190.01294	451.45239	593.48676	-180.65228	137.51566	569.15527	-190.01294	451.45239	593.48676	114.1229	159.51317	853.62109	-51.43713	8.10891	822.30133
16	0.125	-210.48393	341.82614	1110.92407	-67.93962	332.01685	942.76477	-328.46164	183.66551	993.56592	-435.13223	277.29147	672.29242	-431.81812	307.34485	662.25427	-435.83075	348.32571	661.62219	-295.55927	80.57645	651.68793	-306.66455	509.57813	648.53845	-180.52191	137.56238	569.20734	-189.95381	451.47705	593.44922	-174.51686	183.25479	1102.00061	-68.03767	60.88158	965.0766	-71.22121	43.25477	778.45288	-31.24405	-27.99446	866.86475	68.04521	56.71703	881.45575	131.88652	139.72984	815.18665	96.09329	178.59196	892.32916	-159.92291	494.25085	1051.61902	-114.64783	621.90607	866.32349	-226.24266	606.93127	903.16302	-151.3212	623.62738	703.10449	-155.8383	715.43195	789.30585	-33.75148	716.4118	800.26221	92.83787	649.07727	786.88354	92.5994	739.07086	756.21735	661.4411	-350.14572	726.13721	78.56339	-356.26157	721.3512	65.0573	887.22607	723.89081	645.3811	893.95203	725.34064	-180.52191	137.56238	569.20734	-189.95381	451.47705	593.44922	-180.52191	137.56238	569.20734	-189.95381	451.47705	593.44922	113.98991	159.1609	853.75793	-51.23263	7.63015	822.65881
17	0.133	-210.4086	342.0401	1110.9292	-67.86441	332.17505	942.76941	-328.33344	183.79501	993.62732	-435.05008	277.30722	672.3324	-431.73053	307.36923	662.28491	-435.75244	348.35187	661.66229	-295.41476	80.61678	651.76776	-306.61301	509.58182	648.49207	-180.40053	137.60313	569.25525	-189.89677	451.48975	593.40497	-174.40904	183.4608	1102.0946	-68.02847	60.73225	965.3606	-70.85395	42.81973	778.65613	-31.15321	-28.38767	867.30066	68.05624	56.42643	881.76794	131.8046	139.40216	815.37494	95.96792	178.34805	892.44824	-159.88019	494.42575	1051.57349	-114.63289	622.07635	866.24786	-226.18529	607.03644	903.07178	-151.33432	623.73395	703.03619	-155.82513	715.56543	789.23322	-33.75421	716.47278	800.22211	92.77324	649.11053	786.92261	92.61272	739.07806	756.20538	661.46075	-350.1416	726.1297	78.56262	-356.25961	721.35278	65.05058	887.23114	723.8894	645.37933	893.95441	725.33502	-180.40053	137.60313	569.25525	-189.89677	451.48975	593.40497	-180.40053	137.60313	569.25525	-189.89677	451.48975	593.40497	113.88626	158.87511	853.91156	-51.00358	7.21603	822.97839
18	0.142	-210.35875	342.26004	1110.93762	-67.80672	332.3309	942.76904	-328.22311	183.92928	993.68884	-434.98203	277.32184	672.36737	-431.64969	307.39108	662.31085	-435.67746	348.37537	661.69464	-295.28326	80.65311	651.84259	-306.56046	509.57693	648.4408	-180.29039	137.6362	569.29803	-189.84067	451.49008	593.35577	-174.31857	183.66943	1102.18896	-68.00207	60.63873	965.6239	-70.48895	42.421	778.81525	-31.05366	-28.69932	867.71399	68.08608	56.19979	882.07599	131.73654	139.15042	815.55902	95.88026	178.1627	892.573	-159.84663	494.59201	1051.52344	-114.62106	622.23682	866.16876	-226.1458	607.14124	902.97943	-151.33682	623.8302	702.96271	-155.812	715.69049	789.15497	-33.7501	716.53345	800.17719	92.72618	649.1438	786.95532	92.62562	739.08911	756.19305	661.47717	-350.13434	726.12115	78.56274	-356.25583	721.35437	65.04497	887.24048	723.88959	645.38043	893.95935	725.32831	-180.29039	137.6362	569.29803	-189.84067	451.49008	593.35577	-180.29039	137.6362	569.29803	-189.84067	451.49008	593.35577	113.8084	158.65657	854.06604	-50.7713	6.86084	823.26459
