PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\em_22aug2013\Trimmed_em2_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	821	31	mm	120	1	821																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
9	0.067	-250.49803	329.62143	1100.53284	-113.33333	322.16782	949.06189	-331.18777	211.96397	995.78156	-393.64716	250.24152	592.25922	-396.63428	296.35681	596.36566	-399.20285	344.60748	593.16052	-289.20944	113.8361	648.67194	-319.96576	493.4454	644.4549	-182.50748	156.20058	619.42865	-200.83727	459.70413	614.44122	-163.9854	188.07779	1085.65063	-40.24777	144.31053	969.04779	13.10992	197.90967	776.68689	86.2291	120.78744	846.28497	136.02354	227.43526	877.29724	219.24121	327.97021	815.88733	168.13441	353.9028	878.71265	-159.33228	486.0513	1051.82495	-23.57773	572.94189	893.07764	-114.07722	596.08929	895.09381	11.21651	547.46503	747.40198	0.2929	637.91394	785.81274	134.16042	649.22424	799.9375	270.56384	587.52332	803.5719	266.51813	649.15924	747.69092	660.33179	-344.80313	732.48792	77.55405	-360.38904	731.12354	45.78604	882.61188	727.15338	627.69189	897.93427	728.8028	-182.50748	156.20058	619.42865	-200.83727	459.70413	614.44122	-182.50748	156.20058	619.42865	-200.83727	459.70413	614.44122	193.68781	340.93652	847.29999	49.66951	159.34856	811.4859
10	0.075	-250.70364	330.09448	1100.62537	-113.47491	322.58527	949.19958	-331.32208	212.3382	996.01019	-393.64243	250.28595	592.31525	-396.621	296.39679	596.41467	-399.18045	344.66718	593.18774	-289.2518	113.91806	648.85278	-319.94901	493.51172	644.40564	-182.53491	156.24965	619.61627	-200.8167	459.73526	614.44678	-164.05077	188.52733	1085.87219	-40.14692	144.96664	969.71973	14.06636	199.77592	777.94574	86.40134	121.94545	847.48602	135.89735	228.21815	880.14642	219.70003	329.41556	820.60278	167.9003	354.71518	883.2973	-159.51199	486.44635	1051.86792	-23.58718	573.11066	893.11591	-114.00632	596.33459	895.15021	11.3704	547.55115	747.35547	0.33432	638.04889	785.77307	134.14632	649.34924	799.86243	270.53421	587.58234	803.58032	266.51511	649.18726	747.6908	660.32477	-344.79297	732.48578	77.5584	-360.3833	731.11816	45.78281	882.60944	727.1535	627.71667	897.94818	728.80859	-182.53491	156.24965	619.61627	-200.8167	459.73526	614.44678	-182.53491	156.24965	619.61627	-200.8167	459.73526	614.44678	193.80017	342.06537	851.95001	50.23385	160.86069	812.71588
11	0.083	-250.89566	330.55661	1100.73169	-113.61605	322.97128	949.35718	-331.43881	212.69185	996.28894	-393.63901	250.32777	592.38074	-396.61218	296.43512	596.47064	-399.15997	344.72455	593.21851	-289.31711	113.99943	649.05524	-319.91995	493.57318	644.35498	-182.58041	156.28673	619.82697	-200.78583	459.74902	614.45721	-164.13268	188.93811	1086.0647	-40.14525	145.6792	970.30536	14.94392	201.76308	779.06757	86.32767	123.14884	848.59808	135.64561	228.93633	882.96509	220.25603	330.63324	825.41571	167.72598	355.38275	887.90118	-159.67407	486.83655	1051.9043	-23.56779	573.26678	893.14575	-113.90546	596.56671	895.20453	11.48629	547.62933	747.3241	0.38937	638.15985	785.71912	134.14117	649.45062	799.77924	270.52414	587.61475	803.59064	266.51529	649.19342	747.68945	660.31903	-344.80362	732.48529	77.56071	-360.40036	731.11151	45.78376	882.59204	727.15369	627.73456	897.94232	728.81616	-182.58041	156.28673	619.82697	-200.78583	459.74902	614.45721	-182.58041	156.28673	619.82697	-200.78583	459.74902	614.45721	193.991	343.008	856.65845	50.6358	162.45596	813.83282
12	0.092	-251.08217	331.00952	1100.84692	-113.7556	323.32257	949.53314	-331.56027	213.03293	996.57996	-393.63467	250.36649	592.45593	-396.60632	296.47101	596.53278	-399.14108	344.77777	593.25293	-289.39667	114.07984	649.26978	-319.87946	493.63226	644.30133	-182.63783	156.31448	620.0462	-200.74631	459.75122	614.46411	-164.26657	189.30438	1086.23181	-40.25789	146.366	970.81281	15.65839	203.83305	780.14465	86.06808	124.35043	849.55884	135.30524	229.5439	885.71704	220.82478	331.66483	830.27606	167.58803	355.86746	892.5462	-159.82159	487.22012	1051.93506	-23.53171	573.40979	893.17059	-113.79525	596.78632	895.24628	11.5706	547.68958	747.31348	0.4522	638.24567	785.65564	134.15057	649.51953	799.6991	270.53787	587.61554	803.59802	266.5224	649.18085	747.68707	660.31641	-344.82825	732.48389	77.56215	-360.43301	731.10535	45.78959	882.56555	727.15356	627.74585	897.9223	728.82288	-182.63783	156.31448	620.0462	-200.74631	459.75122	614.46411	-182.63783	156.31448	620.0462	-200.74631	459.75122	614.46411	194.20641	343.76614	861.41113	50.86324	164.09175	814.85175
13	0.1	-251.27594	331.45346	1100.96362	-113.89357	323.63654	949.72601	-331.71112	213.37308	996.84619	-393.62747	250.40178	592.53839	-396.6015	296.50388	596.59821	-399.12335	344.82587	593.28955	-289.48105	114.15849	649.48761	-319.82874	493.69226	644.2431	-182.69978	156.33543	620.26263	-200.69942	459.74881	614.46161	-164.48378	189.62283	1086.38123	-40.49181	146.95448	971.24835	16.14438	205.93149	781.24408	85.6731	125.50954	850.34528	134.89063	230.01338	888.38855	221.33353	332.54269	835.1554	167.4447	356.15164	897.24664	-159.95944	487.59424	1051.9613	-23.49137	573.53864	893.19452	-113.69443	596.99347	895.2677	11.63096	547.72565	747.3266	0.51884	638.30872	785.59149	134.17807	649.55054	799.63391	270.57526	587.58453	803.5965	266.53812	649.15564	747.68341	660.31818	-344.85727	732.47937	77.56393	-360.47089	731.10126	45.79971	882.53772	727.15216	627.7511	897.89655	728.82648	-182.69978	156.33543	620.26263	-200.69942	459.74881	614.46161	-182.69978	156.33543	620.26263	-200.69942	459.74881	614.46161	194.38911	344.34717	866.20105	50.90874	165.72052	815.79468
14	0.108	-251.49025	331.88736	1101.07434	-114.03015	323.91144	949.9353	-331.9136	213.7231	997.05908	-393.61575	250.43327	592.62335	-396.5954	296.53308	596.6626	-399.10645	344.8681	593.32629	-289.56122	114.23456	649.70245	-319.7692	493.75632	644.17908	-182.75845	156.35194	620.47021	-200.64574	459.74847	614.44757	-164.80904	189.89453	1086.52063	-40.84774	147.40173	971.62018	16.36751	207.9926	782.39679	85.17506	126.59548	850.97607	134.39064	230.3381	890.98608	221.7265	333.28445	840.0434	167.23744	356.24051	901.99786	-160.0938	487.95569	1051.98389	-23.45681	573.65302	893.22113	-113.61647	597.18817	895.26453	11.67436	547.7373	747.3623	0.5872	638.35321	785.53693	134.22353	649.54504	799.59119	270.63217	587.52679	803.58167	266.56216	649.12628	747.67822	660.32361	-344.88129	732.47076	77.5662	-360.5032	731.09961	45.81296	882.51599	727.14819	627.75159	897.87299	728.82532	-182.75845	156.35194	620.47021	-200.64574	459.74847	614.44757	-182.75845	156.35194	620.47021	-200.64574	459.74847	614.44757	194.48196	344.76248	871.02063	50.77128	167.29404	816.6864
15	0.117	-251.7357	332.31021	1101.17395	-114.16471	324.14664	950.16156	-332.18546	214.09058	997.20233	-393.5986	250.46049	592.70508	-396.58557	296.55826	596.72119	-399.08963	344.90411	593.3606	-289.62894	114.30727	649.91003	-319.7019	493.82578	644.1084	-182.80626	156.3661	620.66626	-200.58517	459.75473	614.4223	-165.25912	190.12425	1086.65527	-41.32298	147.69923	971.94141	16.32533	209.94835	783.60522	84.58987	127.58585	851.49817	133.77895	230.52542	893.52771	221.96387	333.8952	844.93811	166.90298	356.15405	906.77625	-160.23103	488.30222	1052.00378	-23.43406	573.75409	893.25214	-113.56863	597.37048	895.2359	11.70624	547.73029	747.41449	0.65536	638.38458	785.49921	134.28317	649.51111	799.57281	270.70142	587.45239	803.55243	266.59265	649.10095	747.67126	660.32971	-344.89371	732.45868	77.56797	-360.52139	731.09998	45.82818	882.50543	727.14105	627.74933	897.85748	728.81891	-182.80626	156.3661	620.66626	-200.58517	459.75473	614.4223	-182.80626	156.3661	620.66626	-200.58517	459.75473	614.4223	194.43343	345.02463	875.85718	50.4576	168.76711	817.5517
16	0.125	-252.01849	332.7222	1101.25916	-114.29655	324.3429	950.40564	-332.53885	214.47981	997.27142	-393.57547	250.48364	592.77856	-396.56946	296.57983	596.7702	-399.07172	344.9343	593.38989	-289.6777	114.37586	650.10675	-319.62717	493.89969	644.03064	-182.83711	156.37938	620.84888	-200.51707	459.76907	614.38647	-165.84288	190.3187	1086.78601	-41.91422	147.86533	972.23004	16.03865	211.73697	784.8587	83.92553	128.46176	851.96698	133.02893	230.58722	896.03137	222.01765	334.37415	849.83398	166.38673	355.9155	911.54645	-160.37685	488.63281	1052.02271	-23.42493	573.84381	893.28741	-113.55291	597.54095	895.18463	11.72992	547.7146	747.47327	0.72013	638.40875	785.48102	134.35046	649.46088	799.57593	270.77396	587.37421	803.5119	266.62662	649.08551	747.66254	660.33386	-344.89209	732.44519	77.56851	-360.52148	731.10162	45.84433	882.508	727.13086	627.74658	897.85315	728.80786	-182.83711	156.37938	620.84888	-200.51707	459.76907	614.38647	-182.83711	156.37938	620.84888	-200.51707	459.76907	614.38647	194.20219	345.14484	880.69025	49.98209	170.09937	818.41284
17	0.133	-252.34013	333.12509	1101.32935	-114.42719	324.50323	950.66748	-332.97992	214.89291	997.27124	-393.54578	250.50403	592.84021	-396.54489	296.59912	596.80762	-399.05127	344.9599	593.41223	-289.70419	114.43973	650.28949	-319.54492	493.97559	643.94574	-182.84792	156.39233	621.01587	-200.44086	459.79031	614.34033	-166.56284	190.48563	1086.90991	-42.61964	147.93085	972.50647	15.54302	213.3087	786.14594	83.19002	129.20424	852.4314	132.12375	230.53281	898.50726	221.8687	334.72046	854.71417	165.65112	355.54233	916.26862	-160.53484	488.94696	1052.04248	-23.42869	573.92505	893.32489	-113.56792	597.70099	895.11646	11.74613	547.70154	747.52753	0.77708	638.4306	785.47955	134.41624	649.40845	799.59375	270.84024	587.30505	803.46692	266.65994	649.08197	747.65253	660.33594	-344.87781	732.43262	77.56853	-360.505	731.10419	45.85996	882.52203	727.11823	627.74597	897.86066	728.79382	-182.84792	156.39233	621.01587	-200.44086	459.79031	614.34033	-182.84792	156.39233	621.01587	-200.44086	459.79031	614.34033	193.75992	345.13138	885.49139	49.36652	171.25647	819.2887
18	0.142	-252.69861	333.52179	1101.38538	-114.56197	324.63278	950.94458	-333.51025	215.33099	997.21265	-393.50891	250.52353	592.88831	-396.51035	296.61758	596.83282	-399.02698	344.98245	593.42651	-289.70883	114.49869	650.45477	-319.45529	494.0509	643.85394	-182.83907	156.40508	621.16425	-200.3567	459.81613	614.28375	-167.41777	190.63448	1087.02173	-43.43936	147.92509	972.78986	14.88398	214.62764	787.45813	82.3945	129.7933	852.92761	131.05855	230.36551	900.95563	221.50511	334.93518	859.54987	164.67725	355.04346	920.90283	-160.7065	489.24411	1052.06409	-23.44509	574.00226	893.36157	-113.6108	597.8515	895.03876	11.75342	547.69989	747.56818	0.82157	638.45294	785.48792	134.46931	649.3667	799.61646	270.89215	587.25482	803.42657	266.68832	649.08807	747.64246	660.33801	-344.8555	732.42255	77.56963	-360.47809	731.10754	45.87305	882.54333	727.10474	627.75024	897.87848	728.77899	-182.83907	156.40508	621.16425	-200.3567	459.81613	614.28375	-182.83907	156.40508	621.16425	-200.3567	459.81613	614.28375	193.09119	344.98932	890.22632	48.63924	172.21048	820.19287
19	0.15	-253.09052	333.91586	1101.4292	-114.70934	324.73819	951.23218	-334.12878	215.79492	997.10931	-393.46439	250.54361	592.92218	-396.46497	296.6362	596.84601	-398.99789	345.00327	593.43237	-289.69431	114.55308	650.59888	-319.35895	494.12415	643.75623	-182.81311	156.41776	621.29041	-200.26547	459.84485	614.21704	-168.40526	190.77722	1087.11658	-44.37431	147.86711	973.09534	14.1193	215.6727	788.784	81.55116	130.20888	853.48016	129.83809	230.08228	903.3703	220.92113	335.01981	864.30359	163.46091	354.42294	925.41022	-160.89322	489.52454	1052.08704	-23.47605	574.08118	893.39374	-113.67837	597.99274	894.95813	11.75008	547.71326	747.59064	0.8497	638.4754	785.49677	134.49957	649.3446	799.63361	270.9245	587.22852	803.40015	266.7084	649.09937	747.63379	660.34174	-344.8324	732.41571	77.57255	-360.44907	731.11157	45.8819	882.56586	727.09277	627.76074	897.90179	728.76569	-182.81311	156.41776	621.29041	-200.26547	459.84485	614.21704	-182.81311	156.41776	621.29041	-200.26547	459.84485	614.21704	192.19101	344.72137	894.85693	47.83523	172.9408	821.13208
20	0.158	-253.51332	334.31091	1101.46399	-114.87813	324.82611	951.52448	-334.83374	216.28555	996.97449	-393.41193	250.565	592.94165	-396.40842	296.65546	596.84753	-398.96332	345.02338	593.42981	-289.66412	114.60361	650.71802	-319.25693	494.1951	643.6535	-182.77339	156.43074	621.39069	-200.16855	459.87579	614.1402	-169.52306	190.92798	1087.19116	-45.42456	147.76448	973.43329	13.3266	216.44048	790.10101	80.66801	130.43211	854.10748	128.47311	229.67654	905.74353	220.11719	334.9733	868.93457	162.0071	353.68579	929.75293	-161.09846	489.7905	1052.10962	-23.52536	574.16785	893.41821	-113.76752	598.12433	894.87939	11.73598	547.73822	747.59564	0.85881	638.49536	785.49713	134.50206	649.34454	799.6377	270.93576	587.22595	803.39447	266.71884	649.11108	747.6283	660.34674	-344.8165	732.41193	77.57661	-360.42581	731.11591	45.88616	882.58374	727.08472	627.77594	897.92334	728.75562	-182.77339	156.43074	621.39069	-200.16855	459.87579	614.1402	-182.77339	156.43074	621.39069	-200.16855	459.87579	614.1402	191.06213	344.32956	899.34375	46.99731	173.43629	822.10425
21	0.167	-253.96664	334.70981	1101.49268	-115.07517	324.90179	951.81683	-335.62311	216.80394	996.81934	-393.35184	250.58752	592.94659	-396.34134	296.67535	596.83789	-398.92303	345.04337	593.41919	-289.62201	114.65113	650.81018	-319.14984	494.26428	643.54718	-182.72334	156.44431	621.46338	-200.06683	459.90881	614.05432	-170.76889	191.10072	1087.24597	-46.58889	147.61768	973.8103	12.60119	216.94383	791.37268	79.74476	130.44655	854.82532	126.976	229.142	908.06879	219.10091	334.78912	873.40314	160.327	352.83975	933.89392	-161.32745	490.04584	1052.13013	-23.59744	574.26703	893.43268	-113.87551	598.24561	894.80481	11.71279	547.76556	747.58856	0.8478	638.50867	785.48273	134.47881	649.36163	799.6264	270.92758	587.24213	803.41205	266.72	649.11975	747.6272	660.35144	-344.8139	732.41071	77.58046	-360.41406	731.12018	45.88646	882.5929	727.08228	627.79272	897.93658	728.74945	-182.72334	156.44431	621.46338	-200.06683	459.90881	614.05432	-182.72334	156.44431	621.46338	-200.06683	459.90881	614.05432	189.71394	343.81445	903.64856	46.17297	173.69519	823.099
