PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\kw_5mar2013\Trimmed_kw2_5.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	203	31	mm	120	1	203																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-312.43588	203.39328	1068.29736	-174.39001	194.88203	968.36853	-370.7601	106.6039	942.3454	-389.3743	192.3709	613.55975	-382.32266	224.73753	611.72144	-388.07501	252.34192	608.24408	-306.83643	58.14603	685.67981	-316.89084	392.85104	678.06836	-203.03021	76.92047	660.62006	-203.60913	368.00125	651.05377	-257.08133	43.58211	1021.77899	-160.73814	-51.34531	865.06207	-140.80739	-11.12453	717.15253	-126.09505	-97.22306	771.77515	-35.641	-87.69375	791.23541	90.56011	-104.72997	754.98267	91.72134	-30.30921	773.83051	-227.63475	354.21854	1035.1355	-104.44003	395.96942	871.02301	-193.47444	427.81168	868.98169	-120.29215	354.4599	722.23254	-71.77346	424.85251	766.70166	10.95305	318.93097	814.80731	46.05483	228.42163	796.79114	91.17912	289.22379	799.40881	669.57739	-371.07629	720.88049	89.674	-379.95166	725.56085	70.96342	861.50348	722.43256	657.02405	869.24384	719.77856	-201.01572	93.51308	672.4455	-203.40556	348.03702	670.83026	-201.01587	93.51217	672.4444	-203.40587	348.03644	670.82898	68.61697	258.82269	798.09998	-96.03281	389.65619	744.4671
2	0.008	-312.83356	202.11653	1068.1925	-174.75189	193.69336	968.38995	-371.20187	105.71703	942.05841	-389.48004	192.25304	613.51178	-382.40784	224.62045	611.68732	-388.16888	252.2518	608.25641	-306.88925	57.8247	685.45325	-316.8284	392.40714	678.28876	-203.08995	76.69778	660.52673	-203.76022	367.66907	651.33051	-257.63889	42.38894	1021.39233	-160.98967	-52.26624	864.72626	-140.92506	-11.87611	716.86414	-126.04575	-97.9922	771.49695	-35.64921	-88.19658	791.05634	90.64543	-104.8045	754.94733	91.61582	-30.41163	773.86047	-227.71844	352.83908	1035.93542	-104.9072	395.40161	871.61169	-194.01878	426.63577	869.94397	-120.98978	354.4082	722.63702	-72.46024	424.66602	767.4093	10.39392	318.44058	814.80548	45.68617	228.04265	796.02991	90.78319	288.93121	799.09003	669.57947	-371.07343	720.89069	89.66396	-379.94794	725.56622	70.95458	861.50629	722.42413	657.01147	869.24304	719.78375	-201.06201	93.17314	672.22174	-203.36151	347.56409	670.94489	-201.06209	93.17209	672.22058	-203.36176	347.56339	670.94354	68.23468	258.48694	797.55994	-96.72501	389.53711	745.02313
3	0.017	-313.25583	200.79968	1068.09412	-175.14139	192.46573	968.41614	-371.65506	104.81528	941.75775	-389.58099	192.13911	613.47174	-382.49631	224.48254	611.659	-388.26273	252.1631	608.28046	-306.93753	57.48907	685.22693	-316.75766	391.94949	678.52289	-203.11725	76.48026	660.43243	-203.90108	367.31573	651.6308	-258.229	41.16277	1021.00262	-161.24675	-53.19155	864.39111	-141.02538	-12.61057	716.58289	-126.01197	-98.74679	771.21906	-35.65828	-88.6849	790.87378	90.73486	-104.87736	754.901	91.52748	-30.50532	773.89386	-227.89664	351.42828	1036.73682	-105.46329	394.95984	872.24011	-194.67079	425.50247	870.88208	-121.64907	354.30496	723.13977	-73.17123	424.48398	768.16266	9.86488	318.03659	814.96271	45.3608	227.74332	795.54919	90.42471	288.71698	798.94653	669.57684	-371.07245	720.89996	89.65266	-379.94434	725.57166	70.9446	861.50793	722.41455	656.99939	869.242	719.78833	-201.10411	92.81812	671.99347	-203.31023	347.07651	671.06494	-201.10411	92.81696	671.99231	-203.31036	347.07565	671.06354	67.89275	258.23016	797.24786	-97.41015	389.39447	745.65125
4	0.025	-313.70422	199.44536	1068.00403	-175.55194	191.19887	968.45538	-372.125	103.9023	941.43958	-389.6778	192.02814	613.43732	-382.58508	224.32744	611.63879	-388.35327	252.077	608.31714	-306.98721	57.13998	685.00012	-316.67117	391.47604	678.77625	-203.11528	76.26937	660.3338	-204.02663	366.93442	651.95496	-258.85535	39.90612	1020.60962	-161.51689	-54.11827	864.06	-141.11055	-13.32805	716.31622	-125.99134	-99.48099	770.94049	-35.6673	-89.15707	790.69293	90.82774	-104.94914	754.84271	91.45544	-30.59009	773.92883	-228.16881	349.98856	1037.53015	-106.08841	394.6217	872.91553	-195.40645	424.41074	871.79993	-122.2365	354.11566	723.75342	-73.8773	424.28882	768.96436	9.40283	317.70981	815.29016	45.10182	227.50388	795.37201	90.12433	288.56674	798.99432	669.57208	-371.07248	720.90735	89.64418	-379.9411	725.57562	70.93486	861.50842	722.40497	656.99072	869.24097	719.79138	-201.14633	92.44488	671.76227	-203.24593	346.56781	671.19659	-201.14626	92.4437	671.76129	-203.24591	346.56686	671.19543	67.61308	258.03531	797.18317	-98.0569	389.20224	746.35889
5	0.033	-314.18246	198.06064	1067.92322	-175.97987	189.8965	968.51013	-372.6167	102.98081	941.10114	-389.77103	191.9171	613.40533	-382.6694	224.16083	611.62762	-388.43723	251.99399	608.36597	-307.04361	56.78144	684.77295	-316.55844	390.98456	679.05286	-203.09599	76.06053	660.22986	-204.13474	366.52057	652.30133	-259.52054	38.62263	1020.21405	-161.80544	-55.045	863.73615	-141.18086	-14.02932	716.07281	-125.9783	-100.19107	770.66132	-35.67455	-89.61236	790.52002	90.92223	-105.01922	754.77368	91.39713	-30.66704	773.96411	-228.53156	348.52252	1038.30896	-106.75587	394.35477	873.64746	-196.19397	423.35464	872.70599	-122.71902	353.8172	724.48193	-74.54992	424.06335	769.81982	9.03503	317.44357	815.79474	44.92564	227.30098	795.5116	89.89629	288.4588	799.24438	669.56799	-371.07236	720.91199	89.64222	-379.93912	725.57654	70.92707	861.50775	722.39691	656.9881	869.2403	719.79248	-201.19208	92.05266	671.53119	-203.16	346.03064	671.34607	-201.19191	92.05159	671.53046	-203.15981	346.02969	671.3454	67.41096	257.87988	797.37799	-98.63447	388.94028	747.15088
6	0.042	-314.69269	196.65443	1067.85156	-176.42458	188.56502	968.57617	-373.13184	102.05156	940.74207	-389.85959	191.80331	613.37183	-382.74249	223.99077	611.62323	-388.51166	251.91364	608.42493	-307.11066	56.41884	684.54541	-316.40945	390.47461	679.35468	-203.07558	75.84312	660.12207	-204.22702	366.07394	652.66754	-260.22543	37.31691	1019.8175	-162.11613	-55.97226	863.42206	-141.23189	-14.7095	715.86139	-125.96685	-100.8745	770.38336	-35.67748	-90.04988	790.3606	91.01562	-105.08597	754.69647	91.34845	-30.73821	773.99841	-228.98102	347.03259	1039.07117	-107.43607	394.11646	874.4472	-196.99681	422.32376	873.61041	-123.0714	353.40067	725.32306	-75.16281	423.78864	770.73737	8.77874	317.21283	816.47778	44.8408	227.10851	795.96643	89.74757	288.36368	799.7002	669.56677	-371.07138	720.91339	89.64821	-379.93912	725.57397	70.92292	861.50604	722.39227	656.99255	869.24005	719.79193	-201.24318	91.64265	671.30579	-203.04393	345.46005	671.52087	-201.24294	91.64182	671.30542	-203.04352	345.4592	671.52057	67.29419	257.73608	797.83331	-99.1171	388.59467	748.03021
7	0.05	-315.23483	195.23575	1067.78784	-176.88683	187.21149	968.64508	-373.66879	101.11325	940.36456	-389.94012	191.68581	613.3327	-382.79678	223.82625	611.61969	-388.57538	251.83388	608.49164	-307.18991	56.05544	684.31488	-316.2193	389.94736	679.68225	-203.0674	75.60378	660.01349	-204.30829	365.59879	653.05164	-260.96823	35.99482	1019.42194	-162.45122	-56.90094	863.11981	-141.25711	-15.35811	715.68677	-125.95232	-101.52829	770.11023	-35.67377	-90.46828	790.21802	91.1048	-105.14738	754.61475	91.30453	-30.80592	774.03076	-229.51247	345.52036	1039.81836	-108.09821	393.85559	875.32581	-197.77757	421.30338	874.52222	-123.28408	352.86942	726.27209	-75.69314	423.44449	771.72693	8.64046	316.98703	817.33435	44.84851	226.8981	796.71796	89.67763	288.24609	800.35748	669.56934	-371.06949	720.9115	89.66099	-379.94141	725.56854	70.9235	861.50336	722.39246	657.00311	869.24017	719.79016	-201.29961	91.21624	671.09186	-202.89299	344.85522	671.72931	-201.29927	91.21582	671.09186	-202.89236	344.85458	671.72968	67.26307	257.57208	798.53772	-99.48861	388.15695	748.99951
8	0.058	-315.80716	193.81245	1067.72864	-177.36685	185.84232	968.70776	-374.22458	100.16354	939.97186	-390.0087	191.56519	613.28528	-382.82703	223.67403	611.61017	-388.62894	251.7511	608.56311	-307.28119	55.69062	684.07648	-315.98981	389.4053	680.03351	-203.07814	75.33098	659.90698	-204.3846	365.10141	653.45135	-261.74478	34.66294	1019.0296	-162.80923	-57.83054	862.83038	-141.254	-15.96829	715.54767	-125.93075	-102.14993	769.84601	-35.66183	-90.86643	790.09106	91.18711	-105.20192	754.53229	91.26057	-30.87244	774.06097	-230.11865	343.98618	1040.55298	-108.71298	393.51752	876.29181	-198.50026	420.27805	875.44873	-123.36369	352.23367	727.32385	-76.12338	423.01166	772.79797	8.61474	316.7326	818.35242	44.94481	226.6387	797.73334	89.67937	288.06744	801.20416	669.57538	-371.06699	720.90698	89.67763	-379.94598	725.56134	70.9288	861.50012	722.39789	657.01758	869.24072	719.78729	-201.36049	90.77365	670.89178	-202.70821	344.21942	671.9765	-201.36006	90.77373	670.8924	-202.7074	344.21912	671.97754	67.31209	257.35309	799.46875	-99.74353	387.62268	750.06091
