PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\pk_25feb2013\Trimmed_pk4_4.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	250	31	mm	120	1	250																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-325.15546	269.30048	1046.29114	-178.2473	271.18082	961.38483	-363.88882	134.24316	911.01636	-375.89368	214.203	614.69757	-372.92432	252.59163	613.71576	-385.97195	293.76505	616.091	-260.40128	62.93044	665.78748	-261.87994	471.67932	660.18835	-115.39875	129.55182	616.48889	-135.11044	407.23203	607.77203	-223.82774	113.87858	1030.17944	-109.87819	63.6346	875.93304	-110.05876	94.16814	704.30829	-67.71062	23.72348	777.56366	-10.19325	79.89735	807.2276	96.66241	158.56458	799.57794	47.38101	215.44901	811.93304	-252.4147	437.77228	1013.35358	-175.06253	537.33582	830.40045	-264.0174	538.28802	844.61896	-178.18166	492.00235	681.20862	-177.36827	581.28442	727.54047	-21.40668	565.18152	783.31189	49.38211	528.61981	767.56732	37.50766	601.74152	750.32697	646.27655	-368.86365	721.11707	64.597	-365.77286	723.36768	69.62469	875.69531	723.3111	653.11505	872.37842	719.74982	-115.39983	129.55119	616.49078	-135.1107	407.23199	607.77332	-115.39875	129.55182	616.48889	-135.11044	407.23203	607.77203	72.02171	187.00679	805.75549	-88.88469	58.94581	740.93597
2	0.008	-325.14291	269.31577	1046.27454	-178.21527	271.71701	961.40338	-363.30261	134.11665	911.18976	-375.841	214.1881	614.76221	-372.89822	252.57614	613.73358	-385.97055	293.7381	616.07776	-260.11615	63.0752	665.93066	-262.09976	471.72223	660.10748	-115.19255	129.8488	616.60596	-135.24673	407.40298	607.73596	-223.17334	114.31929	1030.34863	-109.03342	64.81274	876.10382	-109.3897	94.97414	704.37823	-66.64463	24.94653	777.88403	-9.44826	81.58907	807.17096	97.13793	160.38695	799.21838	47.83369	217.35596	810.92603	-252.94797	438.03693	1013.26239	-175.40445	537.58588	830.48138	-264.53738	538.38831	844.51477	-178.27313	492.1626	681.2688	-177.45892	581.42743	727.591	-21.45541	565.25897	783.33398	49.39112	528.64154	767.58398	37.51949	601.76874	750.32831	646.28125	-368.8631	721.11884	64.59612	-365.77393	723.36707	69.61759	875.69849	723.30853	653.11017	872.3775	719.75464	-115.19248	129.84973	616.60352	-135.24696	407.40387	607.73438	-115.19255	129.8488	616.60596	-135.24673	407.40298	607.73596	72.48581	188.87146	805.0722	-88.01717	59.96033	741.13116
3	0.017	-325.09933	269.36661	1046.26404	-178.17906	272.26303	961.40283	-362.75613	134.02704	911.36401	-375.76401	214.1958	614.82709	-372.85745	252.57487	613.75159	-385.95126	293.71692	616.06287	-259.82663	63.21988	666.09192	-262.31494	471.77811	660.01355	-114.9793	130.14195	616.74438	-135.37546	407.58316	607.69897	-222.55954	114.73544	1030.51807	-108.36526	65.74329	876.24573	-108.8089	95.47889	704.39709	-65.75632	25.87191	778.24292	-9.07686	82.99029	807.34424	97.36095	161.93916	799.34741	47.96122	218.95053	810.28833	-253.44626	438.31805	1013.18414	-175.74213	537.86633	830.58466	-265.04315	538.53046	844.44208	-178.39722	492.36597	681.33868	-177.55652	581.61133	727.66498	-21.51443	565.34576	783.35675	49.39302	528.66644	767.59943	37.53541	601.80396	750.328	646.28796	-368.86218	721.12134	64.59447	-365.77512	723.367	69.60933	875.70117	723.30493	653.10651	872.37579	719.75977	-114.97858	130.14371	616.73975	-135.37563	407.58456	607.69598	-114.9793	130.14195	616.74438	-135.37546	407.58316	607.69897	72.66109	190.44485	804.81787	-87.28262	60.6754	741.32001
4	0.025	-325.02835	269.45367	1046.26001	-178.13109	272.81659	961.38654	-362.25748	133.97615	911.5379	-375.66278	214.22603	614.89215	-372.80414	252.58974	613.77075	-385.91724	293.70389	616.04822	-259.53738	63.36547	666.27026	-262.52539	471.85019	659.90363	-114.76385	130.43031	616.89996	-135.49834	407.77408	607.65601	-222.00824	115.12861	1030.69385	-107.86488	66.42509	876.38232	-108.26195	95.71405	704.39569	-65.0123	26.51723	778.65509	-9.06206	84.11646	807.79108	97.36549	163.24588	800.00446	47.80354	220.25833	810.10284	-253.90352	438.60989	1013.11823	-176.0742	538.17468	830.70178	-265.52521	538.71918	844.39856	-178.54515	492.61096	681.41083	-177.65477	581.83557	727.75928	-21.58512	565.44629	783.37897	49.38535	528.69464	767.61316	37.55488	601.84674	750.3255	646.29633	-368.86081	721.12445	64.59256	-365.77652	723.36688	69.60091	875.70282	723.30035	653.10406	872.37341	719.76483	-114.76285	130.4323	616.89459	-135.49847	407.77563	607.65247	-114.76385	130.43031	616.89996	-135.49834	407.77408	607.65601	72.58452	191.75211	805.05365	-86.63712	61.11564	741.52539
5	0.033	-324.93622	269.57724	1046.26318	-178.06316	273.36993	961.35956	-361.81509	133.96614	911.70892	-375.53992	214.27972	614.9588	-372.73972	252.62292	613.79224	-385.87192	293.70142	616.03668	-259.2558	63.51534	666.46271	-262.7287	471.94226	659.77496	-114.55318	130.71373	617.0661	-135.61584	407.97641	607.60095	-221.54405	115.50563	1030.88416	-107.51643	66.86652	876.54541	-107.69723	95.72879	704.41608	-64.37688	26.91341	779.1391	-9.35412	84.99335	808.53333	97.20523	164.34338	801.16962	47.4314	221.31488	810.41907	-254.31067	438.90875	1013.06372	-176.39597	538.50757	830.82147	-265.97141	538.95508	844.37885	-178.71562	492.89731	681.48041	-177.746	582.09985	727.8689	-21.66717	565.56323	783.39954	49.36478	528.7251	767.62408	37.57695	601.89746	750.32037	646.30511	-368.85925	721.12769	64.5909	-365.77838	723.36615	69.59322	875.70306	723.29541	653.1026	872.37061	719.76959	-114.55212	130.71561	617.06079	-135.61595	407.97794	607.59741	-114.55318	130.71373	617.0661	-135.61584	407.97641	607.60095	72.31831	192.82913	805.79437	-86.03705	61.3211	741.77759
6	0.042	-324.83026	269.73828	1046.27332	-177.97017	273.91159	961.3269	-361.43887	134.00023	911.87311	-375.40057	214.3587	615.02899	-372.66525	252.67691	613.81714	-385.81772	293.71216	616.03082	-258.9913	63.67273	666.66357	-262.92236	472.05847	659.62579	-114.35603	130.99158	617.23383	-135.72876	408.19107	607.52802	-221.19041	115.87716	1031.09692	-107.29902	67.08804	876.77435	-107.07355	95.58555	704.51007	-63.81357	27.10258	779.71716	-9.86391	85.65437	809.56354	96.94609	165.27989	802.77112	46.92996	222.16539	811.24365	-254.65691	439.21317	1013.01917	-176.70059	538.86261	830.93243	-266.36804	539.23419	844.37415	-178.91359	493.22443	681.54413	-177.82315	582.40454	727.98627	-21.75816	565.69672	783.41736	49.32867	528.75616	767.63147	37.60101	601.95642	750.31287	646.31226	-368.85794	721.13031	64.58956	-365.78091	723.3645	69.58703	875.7016	723.29083	653.10156	872.36768	719.77374	-114.355	130.99312	617.22919	-135.72882	408.19235	607.52496	-114.35603	130.99158	617.23383	-135.72876	408.19107	607.52802	71.93803	193.72264	807.00739	-85.44356	61.34406	742.11365
7	0.05	-324.71719	269.94022	1046.28943	-177.85191	274.43271	961.29248	-361.13821	134.08411	912.02594	-375.25226	214.46492	615.10425	-372.58252	252.75412	613.84631	-385.75613	293.73917	616.03241	-258.75461	63.8388	666.86566	-263.10263	472.20206	659.45697	-114.18183	131.2608	617.39368	-135.83688	408.41763	607.43378	-220.96469	116.25484	1031.33923	-107.18678	67.12327	877.11243	-106.36713	95.35499	704.7359	-63.28594	27.13543	780.41022	-10.4641	86.13837	810.84351	96.65692	166.10966	804.70776	46.38132	222.86461	812.53772	-254.93126	439.52338	1012.98132	-176.97963	539.23969	831.02484	-266.70224	539.54956	844.37384	-179.1472	493.59103	681.59784	-177.88071	582.75061	728.10077	-21.85342	565.84491	783.4314	49.27607	528.78625	767.63495	37.62696	602.02325	750.30396	646.31549	-368.85736	721.13147	64.58829	-365.78418	723.36212	69.58316	875.69843	723.28754	653.10065	872.36469	719.77692	-114.18089	131.26193	617.39001	-135.83691	408.41861	607.43127	-114.18183	131.2608	617.39368	-135.83688	408.41763	607.43378	71.51912	194.48714	808.62274	-84.82654	61.24521	742.57306
8	0.058	-324.60178	270.18915	1046.31006	-177.71352	274.93063	961.25873	-360.91922	134.22633	912.16302	-375.10391	214.5993	615.18481	-372.49542	252.85631	613.88049	-385.68857	293.7858	616.04218	-258.5564	64.01289	667.06158	-263.26178	472.3743	659.27197	-114.03954	131.5154	617.53601	-135.93686	408.65295	607.31635	-220.87354	116.64877	1031.61572	-107.14824	67.01811	877.59961	-105.57379	95.11013	705.15216	-62.75904	27.06812	781.23065	-11.00428	86.48567	812.31226	96.39911	166.88493	806.87555	45.85269	223.47246	814.22308	-255.1243	439.84161	1012.94489	-177.22319	539.64008	831.09045	-266.96396	539.89392	844.36792	-179.42365	493.99451	681.6366	-177.91418	583.13818	728.19812	-21.94645	566.00452	783.44043	49.20805	528.81555	767.6344	37.65446	602.09619	750.29541	646.31366	-368.85776	721.1308	64.58688	-365.78766	723.35968	69.58233	875.69415	723.28607	653.1004	872.36182	719.77869	-114.03871	131.51608	617.53339	-135.93681	408.65353	607.31451	-114.03954	131.5154	617.53601	-135.93686	408.65295	607.31635	71.1259	195.1787	810.54932	-84.16642	61.08913	743.19141
