PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\am_25jun2013\Trimmed_am3_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	1653	31	mm	120	1	1653																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-187.21704	307.72678	1137.66638	-60.88356	295.14444	1033.08923	-249.36946	208.88269	1070.39209	-364.09225	231.7001	658.8797	-364.07385	277.97028	662.14258	-363.53879	327.2774	660.0509	-239.34561	103.38864	700.01251	-249.92198	458.01459	686.28485	-163.64748	145.59523	639.56378	-156.23535	399.9101	629.86023	-104.89439	151.68362	1122.94495	-31.46336	100.27183	915.32581	-88.04878	131.96904	770.5896	-16.52262	50.29685	816.67236	53.74769	117.78927	837.08258	167.24626	212.57021	776.25964	139.30412	242.75407	844.72333	-95.51148	475.95251	1064.01501	8.82627	543.8114	888.74536	-82.57567	566.461	922.35632	10.61138	519.29065	737.34399	29.56903	605.74878	761.89282	159.72969	604.14886	768.76331	276.95596	518.58997	797.62067	279.54541	581.58215	740.29822	671.88776	-355.18686	721.44934	84.94526	-357.8345	721.89777	77.8103	885.89258	720.12762	664.17139	887.04395	718.75452	-163.6864	144.59279	627.7627	-158.323	405.73383	616.00305	-163.6864	144.59279	627.7627	-158.323	405.73383	616.00305	153.27519	227.66214	810.49146	-52.2857	91.13295	793.63098
2	0.008	-186.64272	307.58618	1137.68066	-60.44108	295.01498	1032.97229	-248.86589	208.74663	1070.4325	-363.97314	231.87434	658.98297	-363.91867	278.13034	662.24835	-363.33942	327.42914	660.1557	-239.2708	103.46474	699.97211	-249.64229	458.13834	686.31952	-163.62862	145.64055	639.50775	-156.08855	400.05511	629.82214	-104.30054	151.53339	1122.91687	-31.45356	100.14678	915.0047	-88.43626	132.36314	770.42395	-17.02087	50.33626	816.06891	53.44271	117.61806	836.47504	167.07201	212.28337	775.65796	139.36404	242.32991	844.27649	-95.0537	475.76654	1064.14343	9.05519	543.75958	888.75806	-82.29442	566.39069	922.49194	10.57232	519.32385	737.36597	29.60303	605.76837	761.90857	159.78337	604.08203	768.80035	276.96155	518.47913	797.604	279.58148	581.50262	740.30359	671.8833	-355.18842	721.45197	84.9389	-357.8392	721.90002	77.80992	885.88861	720.12714	664.1745	887.03314	718.75836	-163.65079	144.63605	627.66254	-158.13829	405.81458	615.94604	-163.65079	144.63605	627.66254	-158.13829	405.81458	615.94604	153.21803	227.30664	809.96722	-52.72856	91.3497	793.24646
3	0.017	-186.09256	307.43045	1137.68872	-60.02198	294.866	1032.86084	-248.38782	208.60033	1070.46252	-363.86865	232.03377	659.07556	-363.78397	278.28146	662.34979	-363.15616	327.57111	660.24664	-239.20345	103.53521	699.92737	-249.40346	458.2627	686.35236	-163.61423	145.68407	639.4472	-155.97261	400.21118	629.78223	-103.74973	151.37424	1122.9082	-31.41247	100.02895	914.72565	-88.76611	132.75508	770.2901	-17.45028	50.383	815.49402	53.17834	117.46239	835.979	166.94069	212.08556	775.28864	139.4156	241.94284	844.07013	-94.61244	475.5672	1064.26575	9.2688	543.70404	888.77191	-82.02942	566.30835	922.62378	10.53618	519.34595	737.38806	29.63475	605.7793	761.92969	159.83488	604.0144	768.84521	276.96561	518.38007	797.59009	279.61212	581.43286	740.30902	671.88068	-355.18915	721.45453	84.93332	-357.8436	721.9043	77.81305	885.88318	720.12866	664.17798	887.02222	718.76093	-163.62549	144.68147	627.55963	-157.98854	405.90524	615.88824	-163.62549	144.68147	627.55963	-157.98854	405.90524	615.88824	153.17815	227.01421	809.67938	-53.1082	91.56904	792.89203
4	0.025	-185.56963	307.26138	1137.69165	-59.62937	294.70029	1032.75708	-247.93535	208.4458	1070.48254	-363.77734	232.17638	659.15808	-363.67032	278.42181	662.4483	-362.98871	327.70251	660.32513	-239.14078	103.59985	699.87921	-249.20338	458.38449	686.38702	-163.59775	145.72778	639.38275	-155.88615	400.37308	629.74335	-103.24277	151.20766	1122.9248	-31.34104	99.92229	914.49011	-89.04044	133.13695	770.18915	-17.80821	50.43776	814.9549	52.95979	117.32494	835.58502	166.84537	211.97325	775.11237	139.46407	241.60022	844.06329	-94.18913	475.35681	1064.38232	9.46638	543.64337	888.78961	-81.7845	566.21368	922.75128	10.49889	519.3584	737.41333	29.66288	605.78058	761.95679	159.88097	603.94867	768.89648	276.9689	518.29468	797.57825	279.63745	581.3736	740.31445	671.88019	-355.1886	721.45673	84.92912	-357.84634	721.90997	77.81931	885.87695	720.1322	664.1814	887.01331	718.76184	-163.60774	144.72957	627.4552	-157.87143	406.00339	615.83295	-163.60774	144.72957	627.4552	-157.87143	406.00339	615.83295	153.15471	226.78674	809.58783	-53.42432	91.78735	792.57202
5	0.033	-185.07709	307.08102	1137.69043	-59.26606	294.5209	1032.66309	-247.50812	208.28462	1070.49329	-363.69843	232.30101	659.23083	-363.57672	278.54904	662.54358	-362.83783	327.82184	660.39258	-239.08087	103.6583	699.82819	-249.03806	458.49966	686.42694	-163.57326	145.7749	639.31372	-155.82585	400.53506	629.70953	-102.77848	151.0356	1122.9707	-31.24363	99.82878	914.29742	-89.26157	133.50121	770.11938	-18.09637	50.50006	814.45721	52.78902	117.20757	835.27521	166.77692	211.93668	775.07428	139.51506	241.30679	844.19769	-93.785	475.13693	1064.49377	9.64837	543.57526	888.81335	-81.56252	566.10663	922.87384	10.46517	519.35803	737.44092	29.68649	605.7713	761.98956	159.91754	603.88751	768.95148	276.97266	518.22412	797.56769	279.65732	581.32593	740.31964	671.8811	-355.18671	721.45813	84.92641	-357.84641	721.91602	77.82726	885.87085	720.13708	664.18402	887.00781	718.76117	-163.59439	144.78017	627.3512	-157.78223	406.10501	615.78448	-163.59439	144.78017	627.3512	-157.78223	406.10501	615.78448	153.146	226.62173	809.63599	-53.67897	92.00063	792.28827
6	0.042	-184.6185	306.89133	1137.68604	-58.93429	294.33102	1032.58069	-247.10516	208.11798	1070.49487	-363.6315	232.40697	659.29431	-363.50064	278.6604	662.63391	-362.70554	327.92667	660.45032	-239.02228	103.71004	699.77454	-248.90256	458.60422	686.47418	-163.53618	145.82867	639.23871	-155.78691	400.6918	629.68481	-102.35335	150.86115	1123.04846	-31.12719	99.74696	914.14429	-89.43426	133.8399	770.078	-18.31929	50.56746	814.00354	52.66563	117.11087	835.02588	166.72432	211.96245	775.11243	139.57292	241.06459	844.40753	-93.40078	474.90845	1064.60022	9.81606	543.49701	888.84424	-81.36459	565.98761	922.99084	10.44349	519.33954	737.46802	29.70503	605.75	762.02722	159.94133	603.8327	769.00751	276.97815	518.16852	797.55731	279.67114	581.29095	740.32428	671.88214	-355.18365	721.45862	84.92499	-357.8436	721.92114	77.83475	885.86615	720.14221	664.18524	887.00598	718.75983	-163.58205	144.83246	627.24969	-157.7149	406.20569	615.74658	-163.58205	144.83246	627.24969	-157.7149	406.20569	615.74658	153.14862	226.51352	809.75995	-53.87677	92.20368	792.04077
7	0.05	-184.19766	306.69421	1137.67957	-58.63548	294.13406	1032.51099	-246.72531	207.94667	1070.48901	-363.57614	232.49371	659.34961	-363.43845	278.75357	662.71722	-362.59363	328.01434	660.50031	-238.96355	103.75454	699.71869	-248.79222	458.69458	686.5293	-163.48384	145.89111	639.15668	-155.7643	400.83966	629.67188	-101.9623	150.68854	1123.15808	-30.99969	99.67145	914.02515	-89.56608	134.14566	770.06171	-18.48224	50.63617	813.5929	52.58815	117.0343	834.8114	166.67494	212.03665	775.1665	139.64064	240.87236	844.62939	-93.03699	474.67224	1064.70178	9.97082	543.40607	888.88153	-81.18964	565.85803	923.1015	10.4423	519.29724	737.49103	29.71786	605.71576	762.06848	159.95097	603.78448	769.06281	276.98618	518.1275	797.54639	279.67841	581.26947	740.32788	671.88196	-355.1799	721.45813	84.9245	-357.8385	721.92438	77.83971	885.86353	720.14648	664.18512	887.0072	718.75879	-163.56734	144.88533	627.15283	-157.6637	406.30115	615.7218	-163.56734	144.88533	627.15283	-157.6637	406.30115	615.7218	153.15779	226.4545	809.89795	-54.02416	92.39091	791.82727
8	0.058	-183.81697	306.49161	1137.67261	-58.3696	293.93356	1032.45483	-246.36758	207.77113	1070.47766	-363.53073	232.56099	659.39795	-363.38586	278.82684	662.79193	-362.5025	328.0827	660.54492	-238.90277	103.79099	699.66132	-248.70341	458.76813	686.59125	-163.41571	145.9622	639.06769	-155.75342	400.9769	629.67175	-101.59994	150.52275	1123.29834	-30.86917	99.59361	913.93262	-89.66662	134.41333	770.06677	-18.58998	50.7023	813.22101	52.55488	116.97575	834.60815	166.61618	212.14645	775.18518	139.72	240.72487	844.81055	-92.69502	474.43036	1064.79871	10.11354	543.30145	888.92279	-81.0348	565.71979	923.20465	10.46812	519.22675	737.50604	29.72358	605.66852	762.11194	159.94682	603.74182	769.11627	276.99634	518.09998	797.53479	279.67874	581.26105	740.33026	671.8797	-355.17599	721.45715	84.92436	-357.83252	721.92548	77.84093	885.86279	720.14929	664.18402	887.01019	718.75922	-163.54713	144.9373	627.06213	-157.62415	406.38803	615.71051	-163.54713	144.9373	627.06213	-157.62415	406.38803	615.71051	153.16809	226.43565	809.99786	-54.1283	92.55782	791.64386
