PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\am_25jun2013\Trimmed_am2_1.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	1739	31	mm	120	1	1739																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
9	0.067	-229.21715	274.28827	1145.41541	-87.508	277.64709	1065.70386	-283.37796	189.06131	1056.57202	-333.00522	223.19868	658.67865	-334.47943	268.73279	663.62402	-335.97791	317.52521	663.19971	-199.81346	99.19842	689.86957	-225.32135	451.57788	692.02002	-131.72319	141.28918	629.72644	-136.34479	405.99191	630.60236	-156.46272	118.75227	1123.28699	-62.61185	70.30646	915.45801	-108.70559	103.9285	766.7193	-40.94017	23.632	821.68634	28.45649	91.7029	845.09192	147.01746	185.32143	789.29413	113.19678	217.1299	853.61884	-155.67239	461.59784	1095.91455	-78.21357	541.90082	897.40619	-168.85335	548.01746	938.97119	-87.20796	514.11566	738.76642	-81.6993	599.41803	774.65253	51.93885	609.60229	789.43018	172.23146	545.97296	787.86798	173.60313	619.24481	742.0238	671.83905	-355.25861	721.40442	84.63628	-357.81442	722.01978	79.38278	885.11737	720.03925	664.11725	886.95679	718.70782	-128.58682	146.60414	616.92029	-134.26541	406.2634	616.39862	-128.58682	146.60414	616.92029	-134.26541	406.2634	616.39862	130.10712	201.22566	821.45648	-74.82288	63.78025	794.20282
10	0.075	-228.62941	274.77512	1145.46521	-87.09187	278.11731	1065.60278	-282.86411	189.40906	1056.78101	-332.86334	223.30908	658.7793	-334.33939	268.86496	663.71954	-335.81512	317.64127	663.27362	-199.74103	99.29666	689.96777	-225.0993	451.71332	691.93225	-131.60403	141.36745	629.79486	-136.2782	406.1138	630.53601	-155.87672	119.33086	1123.62256	-62.17759	70.68758	915.80176	-108.50253	104.04184	767.06689	-40.56289	23.92081	822.08398	28.77735	92.11415	845.30188	147.14813	185.76819	789.22125	113.39335	217.65128	853.52454	-155.35139	461.96719	1095.74377	-78.10751	542.17664	897.15442	-168.73334	548.27734	938.77429	-87.20889	514.32422	738.54498	-81.68425	599.64441	774.39581	51.92646	609.76569	789.29163	172.18864	546.0954	787.90924	173.63669	619.27332	741.95801	671.84155	-355.25879	721.40625	84.63527	-357.81793	722.02081	79.38152	885.1167	720.04004	664.11322	886.9585	718.70844	-128.54434	146.6299	616.94226	-134.11461	406.31641	616.27454	-128.54434	146.6299	616.94226	-134.11461	406.31641	616.27454	130.27074	201.70973	821.37292	-74.53271	63.98132	794.57544
11	0.083	-228.02647	275.25842	1145.51257	-86.65899	278.5737	1065.50366	-282.3508	189.76482	1056.98669	-332.71829	223.41714	658.87939	-334.19446	268.98892	663.81647	-335.64716	317.74924	663.349	-199.66583	99.38572	690.06421	-224.87613	451.84607	691.84521	-131.49361	141.4317	629.86523	-136.1973	406.22046	630.46552	-155.30643	119.89874	1123.95215	-61.78977	71.01515	916.12524	-108.35532	104.10461	767.39301	-40.25443	24.14896	822.46277	29.02617	92.4578	845.50946	147.22827	186.1434	789.16608	113.53389	218.10143	853.44476	-155.01317	462.32672	1095.57056	-77.9959	542.4519	896.8988	-168.60234	548.53082	938.57141	-87.20351	514.53259	738.31891	-81.66995	599.86713	774.13409	51.92086	609.92291	789.15369	172.1429	546.21973	787.95154	173.66963	619.29865	741.89423	671.84369	-355.25922	721.40845	84.63387	-357.82199	722.02155	79.38083	885.11627	720.04095	664.10846	886.96033	718.70935	-128.50011	146.64716	616.96204	-133.96342	406.36749	616.15002	-128.50011	146.64716	616.96204	-133.96342	406.36749	616.15002	130.38109	202.12241	821.30542	-74.30487	64.12679	794.92786
12	0.092	-227.40996	275.73907	1145.55994	-86.20706	279.01447	1065.40662	-281.83981	190.12921	1057.19055	-332.57126	223.52036	658.98096	-334.04593	269.10339	663.91504	-335.47766	317.84741	663.42554	-199.58224	99.46609	690.15936	-224.65494	451.9729	691.76105	-131.39264	141.47874	629.93518	-136.09866	406.31088	630.3927	-154.75285	120.45489	1124.27502	-61.44881	71.29181	916.43347	-108.2531	104.12447	767.69891	-40.0113	24.32374	822.82428	29.20852	92.73898	845.71509	147.26434	186.453	789.12958	113.62012	218.48724	853.37848	-154.6613	462.67795	1095.39551	-77.87699	542.7251	896.63898	-168.461	548.78003	938.36438	-87.19478	514.74103	738.08649	-81.65439	600.08728	773.86871	51.92113	610.07477	789.01569	172.09666	546.34552	787.99457	173.70151	619.32068	741.83282	671.84589	-355.26001	721.41071	84.63245	-357.82645	722.02148	79.38106	885.11609	720.04138	664.10443	886.96155	718.71027	-128.44943	146.65855	616.98065	-133.81351	406.41614	616.02728	-128.44943	146.65855	616.98065	-133.81351	406.41614	616.02728	130.44223	202.47012	821.25403	-74.1322	64.22411	795.2616
13	0.1	-226.78244	276.21796	1145.60962	-85.73679	279.43839	1065.31006	-281.33282	190.50262	1057.3938	-332.42459	223.61606	659.08588	-333.89569	269.2074	664.01617	-335.31119	317.93436	663.50323	-199.48674	99.53792	690.25385	-224.43762	452.09109	691.68164	-131.29945	141.5074	630.00177	-135.98386	406.3876	630.32062	-154.21657	120.99915	1124.59143	-61.15363	71.52135	916.73212	-108.18233	104.11045	767.9859	-39.82765	24.45164	823.17145	29.33103	92.96281	845.91833	147.2625	186.70419	789.11053	113.6557	218.81601	853.3244	-154.29732	463.02261	1095.21863	-77.74809	542.99408	896.37408	-168.3105	549.026	938.15582	-87.18333	514.94916	737.84674	-81.63573	600.30585	773.60046	51.92533	610.22327	788.87695	172.05232	546.47192	788.03815	173.73175	619.33997	741.7735	671.84875	-355.26117	721.41248	84.63132	-357.83118	722.02032	79.38279	885.11597	720.04102	664.10229	886.96179	718.71082	-128.38965	146.66565	616.99872	-133.66618	406.46133	615.9079	-128.38965	146.66565	616.99872	-133.66618	406.46133	615.9079	130.45909	202.7601	821.21747	-74.00499	64.28104	795.57867
14	0.108	-226.14737	276.69595	1145.66382	-85.25189	279.84454	1065.21179	-280.83112	190.88483	1057.59741	-332.28094	223.70206	659.19556	-333.74619	269.30005	664.12085	-335.15152	318.00931	663.58264	-199.37849	99.6011	690.34808	-224.22519	452.1983	691.60828	-131.21118	141.51839	630.06238	-135.85782	406.45483	630.25183	-153.69743	121.53169	1124.90247	-60.90192	71.70885	917.02631	-108.12991	104.07154	768.25537	-39.69542	24.53768	823.50867	29.40034	93.13525	846.11823	147.22736	186.90546	789.10669	113.64379	219.0941	853.28082	-153.91916	463.36163	1095.04004	-77.60674	543.25641	896.10291	-168.15167	549.26886	937.94836	-87.16749	515.15582	737.59943	-81.61349	600.52441	773.32977	51.93137	610.37054	788.73688	172.01215	546.59753	788.08264	173.75958	619.3576	741.71582	671.85236	-355.26245	721.41345	84.63067	-357.83566	722.01819	79.38632	885.11554	720.03992	664.10254	886.96094	718.71075	-128.32059	146.66887	617.01642	-133.52258	406.50137	615.79266	-128.32059	146.66887	617.01642	-133.52258	406.50137	615.79266	130.43558	202.99977	821.19373	-73.91266	64.30461	795.88202
15	0.117	-225.50804	277.17413	1145.72363	-84.757	280.23178	1065.11023	-280.33505	191.27525	1057.80151	-332.14279	223.77702	659.31104	-333.60013	269.38058	664.22955	-335.0007	318.07236	663.66394	-199.25896	99.65536	690.4422	-224.0182	452.29248	691.54144	-131.12466	141.51352	630.11572	-135.72565	406.51617	630.18756	-153.19511	122.05293	1125.21008	-60.69034	71.86047	917.32031	-108.08811	104.01328	768.51056	-39.60623	24.58578	823.84088	29.42324	93.26321	846.31482	147.16194	187.06561	789.11493	113.58659	219.32686	853.24536	-153.52258	463.69519	1094.85999	-77.45146	543.51007	895.82471	-167.98407	549.50812	937.74408	-87.14584	515.36005	737.34601	-81.58852	600.74426	773.05707	51.93795	610.51764	788.59564	171.97813	546.72052	788.12885	173.7845	619.37482	741.65912	671.85602	-355.26346	721.41388	84.63061	-357.83926	722.0155	79.39114	885.11481	720.03833	664.1048	886.95953	718.71008	-128.24391	146.66788	617.03363	-133.38367	406.53409	615.68146	-128.24391	146.66788	617.03363	-133.38367	406.53409	615.68146	130.37427	203.19623	821.18011	-73.84717	64.29952	796.17572
16	0.125	-224.86707	277.65338	1145.7887	-84.25581	280.59857	1065.00452	-279.84436	191.67343	1058.00598	-332.0123	223.84052	659.43274	-333.45941	269.44846	664.3418	-334.85889	318.12457	663.74713	-199.13139	99.70045	690.53632	-223.81709	452.37213	691.48102	-131.03662	141.49532	630.16193	-135.58968	406.57233	630.12659	-152.70999	122.56422	1125.51587	-60.51413	71.98255	917.61713	-108.05608	103.93648	768.75671	-39.55304	24.59945	824.17242	29.40762	93.3541	846.50995	147.06822	187.19293	789.13165	113.48747	219.51955	853.21582	-153.10394	464.0228	1094.67969	-77.28201	543.75348	895.53992	-167.80579	549.74365	937.54419	-87.1197	515.56195	737.08887	-81.56211	600.96558	772.78278	51.94511	610.66443	788.4538	171.95149	546.83905	788.17786	173.80669	619.3924	741.60315	671.8587	-355.26395	721.414	84.63132	-357.84155	722.01276	79.39587	885.11432	720.03668	664.10815	886.95813	718.70911	-128.1622	146.66177	617.05066	-133.24994	406.55719	615.57471	-128.1622	146.66177	617.05066	-133.24994	406.55719	615.57471	130.27785	203.35623	821.17371	-73.80457	64.26797	796.46454
17	0.133	-224.22638	278.13428	1145.85767	-83.75083	280.94363	1064.89429	-279.35965	192.07899	1058.21143	-331.89105	223.89268	659.56024	-333.3241	269.50342	664.45581	-334.72491	318.16739	663.83209	-199.00067	99.73595	690.63025	-223.62152	452.43677	691.42621	-130.94395	141.46666	630.20178	-135.44884	406.62094	630.06628	-152.24339	123.06783	1125.8208	-60.36672	72.08092	917.91821	-108.03667	103.83923	768.99969	-39.53035	24.58237	824.50629	29.3634	93.41535	846.70703	146.94835	187.29465	789.15308	113.35294	219.67834	853.19	-152.66153	464.34344	1094.49988	-77.09923	543.98602	895.24951	-167.61401	549.97552	937.34882	-87.09326	515.76337	736.83069	-81.53502	601.18665	772.50751	51.95338	610.8103	788.31183	171.93216	546.95221	788.23077	173.82684	619.41052	741.54773	671.8595	-355.26407	721.41437	84.63313	-357.84259	722.01013	79.39883	885.11511	720.03534	664.11163	886.95703	718.70807	-128.07864	146.64911	617.06836	-133.12068	406.56885	615.47284	-128.07864	146.64911	617.06836	-133.12068	406.56885	615.47284	130.15065	203.4865	821.17157	-73.78352	64.2108	796.75299
18	0.142	-223.5872	278.61679	1145.92871	-83.24411	281.26703	1064.7793	-278.88284	192.49179	1058.41833	-331.77945	223.93427	659.6922	-333.19244	269.54547	664.56946	-334.59677	318.20221	663.91858	-198.87277	99.76151	690.72357	-223.4303	452.48685	691.37573	-130.84459	141.42995	630.23553	-135.30019	406.65775	630.0033	-151.79665	123.56596	1126.12561	-60.24	72.16068	918.22357	-108.0328	103.71987	769.24451	-39.53304	24.53875	824.8443	29.30214	93.45457	846.90973	146.80559	187.37683	789.17511	113.19267	219.81056	853.16559	-152.19481	464.65536	1094.32104	-76.90518	544.20862	894.95477	-167.40575	550.20386	937.15802	-87.07123	515.96674	736.57336	-81.507	601.40527	772.23175	51.9627	610.95563	788.17023	171.91888	547.06036	788.28815	173.84564	619.42957	741.49298	671.85785	-355.26416	721.4151	84.63605	-357.84259	722.00769	79.39898	885.11749	720.03436	664.11487	886.95624	718.7074	-127.99698	146.62793	617.08734	-132.99435	406.56754	615.3761	-127.99698	146.62793	617.08734	-132.99435	406.56754	615.3761	129.99913	203.59369	821.17035	-73.78292	64.12931	797.04443
