PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\kw_5mar2013\Trimmed_kw5_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	314	31	mm	120	1	314																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
9	0.067	-329.91995	166.24884	1065.86963	-192.40115	156.81693	967.78784	-390.77298	80.87801	930.91608	-395.64832	187.38147	609.77234	-386.65598	219.51393	608.82233	-392.57352	247.34782	606.98969	-315.20602	47.89353	677.37146	-319.02325	377.71179	685.68988	-205.34023	75.64383	653.81085	-210.26878	355.37073	662.01111	-283.72614	9.15522	1009.8147	-180.28662	-92.38762	870.16101	-148.91628	-57.24043	724.33325	-133.42732	-141.27571	782.48578	-40.97119	-130.07678	804.29205	85.75463	-142.60838	763.01727	83.98847	-69.81994	786.48846	-251.06706	307.40112	1055.27161	-115.55711	376.43488	917.06274	-205.46385	397.82773	904.401	-104.64831	348.72705	765.1745	-70.23244	417.38861	821.97699	12.3855	314.93225	875.30603	54.0033	227.85611	860.03479	97.22322	289.64474	869.59009	669.69708	-371.02966	720.87787	82.46561	-378.94101	726.83716	70.96201	861.48767	722.45087	657.02393	869.25616	719.75439	-208.46405	81.82983	668.52081	-206.20866	331.1405	679.11346	-208.46356	81.82989	668.52277	-206.20732	331.13986	679.11609	75.61326	258.75043	864.81244	-87.44038	383.05783	793.57574
10	0.075	-330.78601	164.76505	1065.86597	-193.30646	154.9929	967.97382	-391.88785	79.95534	930.42365	-395.6727	187.1037	609.69861	-386.64685	219.21805	608.92126	-392.53955	247.04601	607.15527	-315.43628	47.43106	677.15979	-318.63242	377.0137	686.26093	-205.64299	75.17712	653.69995	-210.19724	354.52402	662.6134	-285.36047	7.6655	1009.35199	-181.41766	-93.44939	869.64978	-149.32227	-57.12424	724.54083	-134.21843	-141.81744	781.73578	-41.70971	-131.75845	803.94226	85.25408	-143.53232	762.77289	83.30899	-71.61779	788.37775	-251.91618	305.28387	1056.21448	-115.79669	375.04486	919.17181	-205.54198	396.64053	906.16089	-104.41638	348.23273	767.13043	-70.28558	416.63171	824.38208	12.67905	314.37677	877.20483	54.22049	227.3186	861.78052	97.36588	289.20276	871.23053	669.69659	-371.03156	720.87531	82.46559	-378.94101	726.83716	70.96326	861.48767	722.4519	657.01569	869.25336	719.74945	-208.63049	81.18856	668.39581	-205.90523	330.24741	679.57916	-208.62975	81.18795	668.39807	-205.90376	330.24582	679.58179	75.79318	258.26068	866.50549	-87.35098	382.43222	795.75623
11	0.083	-331.6348	163.28464	1065.85852	-194.20592	153.14622	968.11462	-393.01239	79.05266	929.93536	-395.69858	186.8291	609.61841	-386.6521	218.93596	609.03271	-392.52969	246.76521	607.33411	-315.70108	46.96118	676.94202	-318.22592	376.36636	686.8421	-205.9671	74.68502	653.59644	-210.10457	353.67416	663.21393	-286.99362	6.16945	1008.89417	-182.6689	-94.48936	869.02057	-149.68018	-56.94467	724.60779	-135.25504	-142.32729	780.83801	-42.74165	-133.52515	803.53339	84.54035	-144.63089	762.69806	82.42444	-73.68624	790.51337	-252.73885	303.11322	1057.177	-116.03031	373.44232	921.25555	-205.61812	395.37488	907.91382	-104.24119	347.50595	769.09607	-70.41553	415.68823	826.74219	12.9234	313.71005	879.09277	54.31039	226.62923	863.56757	97.40379	288.61224	872.85608	669.69342	-371.03506	720.87207	82.46559	-378.94101	726.83716	70.96463	861.48761	722.45264	657.00775	869.25049	719.7439	-208.82764	80.52364	668.25336	-205.5943	329.38855	680.03925	-208.82672	80.5223	668.2558	-205.5929	329.38602	680.04175	75.85709	257.62073	868.21179	-87.32836	381.59708	797.91913
12	0.092	-332.45618	161.80219	1065.8457	-195.08141	151.27969	968.20703	-394.13647	78.15792	929.46045	-395.73398	186.55815	609.53387	-386.67645	218.66879	609.14966	-392.53659	246.50325	607.51862	-315.99933	46.47672	676.71411	-317.82736	375.76221	687.42706	-206.31303	74.16703	653.50049	-210.00255	352.83047	663.81177	-288.60367	4.67124	1008.44391	-184.03488	-95.50536	868.26532	-149.99257	-56.70781	724.51239	-136.54489	-142.80766	779.77863	-44.10537	-135.35593	803.08734	83.57443	-145.94621	762.87122	81.30688	-76.02314	792.87189	-253.51282	300.89523	1058.14648	-116.26594	371.64127	923.26141	-205.70801	394.03806	909.62976	-104.14896	346.57101	771.0141	-70.64449	414.57944	829.00671	13.0798	312.92526	880.89709	54.22565	225.79453	865.3111	97.3084	287.85733	874.3938	669.68866	-371.03934	720.86877	82.46559	-378.94101	726.83716	70.96592	861.48779	722.45306	657.00238	869.24786	719.73822	-209.05629	79.83566	668.09613	-205.29564	328.56451	680.49506	-209.05534	79.83367	668.09863	-205.29449	328.56131	680.49725	75.76703	256.82593	869.85248	-87.39673	380.57523	800.01044
13	0.1	-333.23801	160.31035	1065.82642	-195.91776	149.3934	968.25183	-395.25116	77.26083	929.00769	-395.78769	186.28938	609.44818	-386.72037	218.41443	609.263	-392.5484	246.25604	607.70032	-316.32742	45.96927	676.47101	-317.457	375.18741	688.00842	-206.68126	73.62256	653.41248	-209.90222	351.99979	664.40881	-290.17459	3.17435	1008.00403	-185.51137	-96.50037	867.383	-150.27724	-56.42319	724.2511	-138.09149	-143.26686	778.55457	-45.83097	-137.23456	802.63263	82.31436	-147.53162	763.36377	79.9334	-78.62669	795.42181	-254.21693	298.63727	1059.10901	-116.51438	369.67239	925.13593	-205.82841	392.64197	911.27814	-104.17201	345.46548	772.82477	-70.99236	413.33716	831.12238	13.10696	312.0199	882.54443	53.91103	224.82655	866.92566	97.04671	286.91983	875.76575	669.68323	-371.04355	720.86591	82.4656	-378.94101	726.83716	70.967	861.4881	722.45319	657.00098	869.24579	719.73297	-209.31459	79.12351	667.92798	-205.02571	327.76929	680.94904	-209.31371	79.12115	667.93018	-205.0249	327.76581	680.95074	75.47887	255.87318	871.3457	-87.58219	379.40131	801.97357
14	0.108	-333.96667	158.80342	1065.80164	-196.70567	147.48578	968.25262	-396.34845	76.35474	928.58447	-395.86838	186.01901	609.36578	-386.77994	218.1671	609.36407	-392.55334	246.01808	607.87073	-316.67899	45.43095	676.20764	-317.1293	374.62564	688.57861	-207.07228	73.05096	653.33258	-209.80884	351.18555	665.00836	-291.69559	1.68137	1007.57721	-187.09612	-97.48174	866.38129	-150.56291	-56.10555	723.83484	-139.89647	-143.71796	777.17285	-47.93684	-139.15021	802.19855	80.72172	-149.44203	764.22144	78.28641	-81.50049	798.12799	-254.83212	296.34924	1060.05029	-116.78838	367.58337	926.82709	-205.99478	391.20169	912.82996	-104.35418	344.24112	774.46979	-71.47681	412.00055	833.03552	12.96051	310.99326	883.9671	53.30123	223.73256	868.33466	96.58138	285.77454	876.89325	669.67773	-371.04724	720.86389	82.46562	-378.94098	726.83716	70.9677	861.48853	722.45306	657.0036	869.24426	719.72815	-209.59755	78.3857	667.75171	-204.79558	326.99332	681.40271	-209.59679	78.38335	667.75354	-204.79512	326.99005	681.40387	74.94131	254.75354	872.61395	-87.9155	378.12085	803.75269
15	0.117	-334.63135	157.27829	1065.77246	-197.44067	145.55579	968.21301	-397.4209	75.43633	928.19476	-395.9819	185.7426	609.29071	-386.8483	217.91925	609.44507	-392.54352	245.78261	608.02161	-317.04907	44.85648	675.91956	-316.85312	374.06049	689.1311	-207.48659	72.4515	653.26099	-209.72327	350.38864	665.61353	-293.16043	0.19413	1007.16693	-188.78903	-98.46098	865.27606	-150.88063	-55.77581	723.28296	-141.95589	-144.17693	775.64893	-50.42657	-141.09904	801.80872	78.76949	-151.72534	765.45001	76.35424	-84.65906	800.95746	-255.34315	294.04312	1060.95642	-117.10102	365.43542	928.28833	-206.22023	389.73288	914.25995	-104.7508	342.95877	775.89398	-72.11163	410.61102	834.69556	12.59295	309.84265	885.10693	52.32154	222.50255	869.47833	95.87003	284.38425	877.70294	669.67285	-371.05023	720.86249	82.46568	-378.94098	726.83716	70.96774	861.48895	722.45276	657.00995	869.24335	719.72308	-209.90085	77.62099	667.57166	-204.61169	326.22443	681.85907	-209.90022	77.61908	667.57306	-204.61147	326.22189	681.85968	74.09579	253.44341	873.59064	-88.43121	376.78491	805.2948
16	0.125	-335.22662	155.73463	1065.74011	-198.12119	143.60434	968.13538	-398.46094	74.50428	927.8385	-396.12915	185.45671	609.22479	-386.91818	217.66406	609.49994	-392.51633	245.54187	608.14606	-317.43811	44.24416	675.6048	-316.63367	373.4761	689.66187	-207.92473	71.82328	653.198	-209.64749	349.60892	666.22632	-294.56702	-1.2861	1006.77802	-190.59294	-99.45575	864.08795	-151.25429	-55.4618	722.61707	-144.25835	-144.6599	774.00592	-53.2896	-143.08649	801.47681	76.44646	-154.41566	767.00964	74.13136	-88.12973	803.88281	-255.74098	291.73236	1061.81567	-117.46417	363.29578	929.48224	-206.51649	388.25006	915.54749	-105.4215	341.67725	777.04761	-72.90276	409.20557	836.05872	11.95503	308.55716	885.91846	50.89299	221.10237	870.31494	94.86514	282.69659	878.13251	669.66882	-371.05261	720.86121	82.46574	-378.94098	726.83716	70.96707	861.48914	722.45239	657.01917	869.2431	719.71716	-210.22461	76.82861	667.39606	-204.4781	325.44781	682.3252	-210.22395	76.82761	667.39667	-204.47787	325.44647	682.32507	72.87907	251.89949	874.22375	-89.16213	375.44141	806.55316
17	0.133	-335.75137	154.17601	1065.70605	-198.74748	141.63412	968.02252	-399.46033	73.55933	927.51263	-396.30627	185.16019	609.16766	-386.98453	217.39667	609.5257	-392.47464	245.28824	608.24072	-317.85101	43.59491	675.26355	-316.47427	372.85873	690.16956	-208.3873	71.16525	653.14386	-209.58807	348.84781	666.84644	-295.91608	-2.75857	1006.41565	-192.51183	-100.48843	862.83923	-151.6955	-55.19871	721.85864	-146.78746	-145.18378	772.27386	-56.50411	-145.12921	801.20496	73.75669	-157.5293	768.81982	71.61794	-91.94983	806.88135	-256.02371	289.43106	1062.61914	-117.88703	361.22711	930.3822	-206.89417	386.76636	916.67865	-106.41846	340.44257	777.88879	-73.84579	407.8111	837.09094	10.99854	307.11224	886.37201	48.9422	219.47597	870.81567	93.51897	280.64481	878.13531	669.66589	-371.0546	720.8598	82.46585	-378.94098	726.83716	70.96612	861.48846	722.4527	657.03094	869.24384	719.71045	-210.57278	76.00845	667.23364	-204.39796	324.64862	682.80902	-210.57198	76.00869	667.2334	-204.39748	324.64883	682.80817	71.23058	250.06038	874.47546	-90.13213	374.12683	807.48987
18	0.142	-336.20734	152.6105	1065.67395	-199.32172	139.65034	967.87927	-400.4108	72.60505	927.21289	-396.50757	184.85448	609.11932	-387.04578	217.11389	609.52283	-392.42654	245.01663	608.30756	-318.29211	42.91074	674.89624	-316.37585	372.19955	690.65466	-208.87492	70.47615	653.09888	-209.55472	348.11014	667.46942	-297.20987	-4.22274	1006.08441	-194.54575	-101.57947	861.55389	-152.20831	-55.02751	721.03113	-149.52357	-145.7692	770.48846	-60.03867	-147.25563	800.98352	70.71656	-161.06601	770.77234	68.81883	-96.16116	809.92932	-256.19571	287.15289	1063.36304	-118.37225	359.27802	930.97345	-207.36012	385.29221	917.64783	-107.77662	339.28156	778.38702	-74.92664	406.44031	837.77014	9.68045	305.46906	886.45276	46.41194	217.55588	870.9588	91.79107	278.15265	877.68311	669.66394	-371.0563	720.85785	82.466	-378.94098	726.83716	70.96558	861.48627	722.45428	657.04474	869.24609	719.70416	-210.94917	75.16115	667.0882	-204.37257	323.81662	683.31439	-210.94804	75.16277	667.08691	-204.37158	323.81839	683.31274	69.1015	247.85426	874.32092	-91.35163	372.86093	808.07855
