Version	3.0
Starting Frame	42
Avg Step Width (cm)	  12.81
R_Velocity	142.364	140.225
R_Stride_Len	140.914	141.524
R_Cadence	121.008	119.008
L_Velocity	140.853	136.980
L_Stride_Len	140.601	139.591
L_Cadence	120.000	118.033
R_Support_Time	56.303	57.025
L_Support_Time	62.500	63.115
R_Non_Support	43.697	42.975
L_Non_Support	37.500	36.885
R_Step_Len	69.516	70.439
L_Step_Len	71.398	71.085	69.152
R_Dbl_Support	10.924	12.397
L_Dbl_Support	6.667	7.377
RHS	57.000	176.000	297.000
LHS	116.000	236.000	358.000
RTO	4.000	124.000	245.000	368.000
LTO	70.000	191.000	313.000
RHS FP	
LHS FP	115.000	237.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-15.237	-2.911	-5.940	-13.138	-1.963	30.816	9.623	-15.375	-7.547	54.786	21.343	-13.022	-20.055	-1.267	25.969	-3.825	-1.818	11.330	16.317	-8.269	-0.561	14.996	19.740	-21.164	0.000	0.000	0.000	-1.847	-3.996	5.877	-0.093	8.458	0.663	-17.050	52.447	0.000	-8.184	-3.211	0.000	-0.215	0.046	-0.013	-0.114	0.005	-0.019	-0.039	0.002	0.002	0.000	0.000	0.000	-0.213	-0.018	0.015	-0.080	-0.024	0.012	-0.025	-0.005	0.005	0.000	0.000	0.000	-0.019	-0.118	-0.309	0.005	-0.061	0.059	0.001	0.001	-0.023	0.001	0.050	0.067	-0.001	0.021	-0.034	0.003	0.001	-0.012	0.944	-0.338	-0.090	0.070	0.057	0.013	25.535	33.140	13.612	9.383	34.066	8.911	7.456	7.058
-15.533	-3.575	-4.609	-12.821	-2.143	33.693	8.584	-15.276	-10.408	54.073	21.107	-13.463	-19.670	-1.020	25.457	-3.552	-1.813	12.197	15.734	-8.571	0.343	15.126	19.669	-20.640	0.000	0.000	0.000	-1.759	-4.018	5.922	0.039	8.404	0.743	-17.506	55.887	0.000	-8.105	-2.765	0.000	-0.212	0.049	-0.013	-0.110	0.004	-0.019	-0.039	0.002	0.001	0.000	0.000	0.000	-0.208	-0.021	0.010	-0.078	-0.025	0.010	-0.024	-0.004	0.005	0.000	0.000	0.000	-0.022	-0.123	-0.314	0.005	-0.064	0.064	0.000	0.000	-0.024	0.001	0.038	0.070	-0.001	0.018	-0.037	0.003	0.001	-0.013	1.035	-0.364	-0.084	0.078	0.054	0.016	24.926	40.240	12.435	9.233	41.069	8.725	7.917	7.151
-15.901	-4.274	-3.150	-12.293	-2.408	36.603	7.451	-15.121	-12.989	53.288	20.851	-13.881	-19.257	-0.740	24.881	-3.404	-1.758	12.906	15.205	-8.810	1.255	15.291	19.595	-20.064	0.000	0.000	0.000	-1.659	-4.017	5.963	0.205	8.366	0.804	-17.888	58.878	0.000	-8.048	-2.429	0.000	-0.207	0.049	-0.013	-0.105	0.002	-0.020	-0.039	0.002	0.000	0.000	0.000	0.000	-0.201	-0.023	0.004	-0.075	-0.024	0.008	-0.023	-0.003	0.004	0.000	0.000	0.000	-0.024	-0.127	-0.314	0.006	-0.067	0.068	0.000	0.000	-0.025	0.000	0.024	0.072	-0.001	0.015	-0.038	0.003	0.001	-0.013	1.094	-0.384	-0.074	0.086	0.047	0.018	24.700	47.384	11.170	8.940	48.042	8.479	8.317	7.162
-16.321	-4.995	-1.584	-11.624	-2.756	39.490	6.305	-14.912	-15.136	52.443	20.581	-14.277	-18.886	-0.430	24.243	-3.324	-1.673	13.451	14.752	-8.986	2.139	15.495	19.515	-19.441	0.000	0.000	0.000	-1.551	-3.994	5.997	0.404	8.342	0.849	-18.209	61.289	0.000	-8.011	-2.166	0.000	-0.201	0.048	-0.012	-0.098	0.001	-0.020	-0.038	0.003	-0.001	0.000	0.000	0.000	-0.194	-0.025	-0.002	-0.072	-0.023	0.006	-0.022	-0.002	0.004	0.000	0.000	0.000	-0.026	-0.128	-0.308	0.006	-0.068	0.073	-0.000	0.000	-0.025	0.000	0.009	0.072	-0.000	0.011	-0.038	0.002	0.001	-0.012	1.116	-0.395	-0.060	0.092	0.039	0.019	25.038	54.142	10.007	8.522	54.614	8.229	8.670	7.107
-16.772	-5.712	0.060	-10.892	-3.177	42.294	5.228	-14.686	-16.732	51.553	20.308	-14.653	-18.601	-0.095	23.553	-3.272	-1.582	13.835	14.395	-9.094	2.971	15.745	19.420	-18.780	0.000	0.000	0.000	-1.440	-3.953	6.021	0.624	8.331	0.889	-18.483	63.051	0.000	-7.988	-1.951	0.000	-0.193	0.044	-0.011	-0.089	-0.000	-0.019	-0.037	0.005	-0.002	0.000	0.000	0.000	-0.187	-0.025	-0.008	-0.070	-0.022	0.003	-0.021	-0.001	0.004	0.000	0.000	0.000	-0.027	-0.128	-0.297	0.006	-0.069	0.076	-0.001	-0.000	-0.025	-0.000	-0.006	0.070	-0.000	0.008	-0.037	0.002	0.001	-0.012	1.098	-0.395	-0.043	0.096	0.029	0.019	26.083	60.117	9.044	8.009	60.796	8.003	8.963	6.996
-17.233	-6.396	1.757	-10.178	-3.651	44.954	4.295	-14.508	-17.713	50.630	20.040	-15.008	-18.419	0.252	22.822	-3.233	-1.507	14.072	14.153	-9.129	3.736	16.044	19.307	-18.088	0.000	0.000	0.000	-1.330	-3.897	6.032	0.846	8.333	0.933	-18.724	64.168	0.000	-7.977	-1.762	0.000	-0.185	0.040	-0.009	-0.080	-0.001	-0.019	-0.036	0.007	-0.002	0.000	0.000	0.000	-0.180	-0.024	-0.014	-0.068	-0.020	0.001	-0.020	-0.001	0.003	0.000	0.000	0.000	-0.028	-0.126	-0.281	0.007	-0.070	0.079	-0.001	-0.001	-0.025	-0.001	-0.020	0.067	-0.000	0.004	-0.036	0.002	0.001	-0.012	1.043	-0.383	-0.026	0.097	0.019	0.018	27.869	64.909	8.309	7.466	66.884	7.813	9.167	6.848
-17.676	-7.013	3.483	-9.563	-4.149	47.409	3.574	-14.450	-18.070	49.680	19.785	-15.340	-18.329	0.592	22.064	-3.213	-1.459	14.177	14.040	-9.086	4.431	16.397	19.170	-17.376	0.000	0.000	0.000	-1.227	-3.830	6.023	1.049	8.350	0.990	-18.933	64.696	0.000	-7.972	-1.587	0.000	-0.177	0.034	-0.007	-0.071	-0.002	-0.018	-0.034	0.008	-0.003	0.000	0.000	0.000	-0.174	-0.022	-0.018	-0.066	-0.019	-0.001	-0.019	0.000	0.003	0.000	0.000	0.000	-0.029	-0.122	-0.261	0.007	-0.069	0.080	-0.002	-0.001	-0.024	-0.001	-0.032	0.063	0.000	0.000	-0.034	0.002	0.001	-0.012	0.958	-0.359	-0.009	0.095	0.009	0.017	30.308	68.049	7.771	6.940	73.112	7.643	9.232	6.688
-18.074	-7.531	5.219	-9.116	-4.642	49.608	3.117	-14.569	-17.851	48.710	19.549	-15.647	-18.307	0.901	21.289	-3.233	-1.441	14.165	14.062	-8.966	5.055	16.807	19.007	-16.652	0.000	0.000	0.000	-1.137	-3.754	5.987	1.209	8.382	1.061	-19.105	64.714	0.000	-7.974	-1.415	0.000	-0.169	0.028	-0.005	-0.062	-0.003	-0.017	-0.032	0.010	-0.003	0.000	0.000	0.000	-0.169	-0.020	-0.022	-0.065	-0.017	-0.002	-0.019	0.000	0.003	0.000	0.000	0.000	-0.029	-0.117	-0.239	0.007	-0.067	0.081	-0.002	-0.001	-0.023	-0.002	-0.043	0.058	0.000	-0.003	-0.032	0.002	0.001	-0.012	0.851	-0.324	0.007	0.090	0.001	0.016	33.248	68.911	7.375	6.454	79.383	7.470	9.119	6.532
-18.401	-7.925	6.943	-8.878	-5.100	51.510	2.955	-14.890	-17.137	47.724	19.336	-15.926	-18.318	1.156	20.500	-3.320	-1.445	14.051	14.212	-8.776	5.612	17.273	18.817	-15.924	0.000	0.000	0.000	-1.062	-3.671	5.920	1.308	8.427	1.146	-19.225	64.292	0.000	-7.982	-1.245	0.000	-0.161	0.021	-0.003	-0.054	-0.004	-0.016	-0.029	0.012	-0.004	0.000	0.000	0.000	-0.165	-0.018	-0.024	-0.064	-0.016	-0.003	-0.018	0.001	0.002	0.000	0.000	0.000	-0.029	-0.110	-0.214	0.007	-0.065	0.079	-0.002	-0.001	-0.022	-0.002	-0.052	0.052	0.000	-0.005	-0.029	0.002	0.001	-0.011	0.731	-0.280	0.020	0.084	-0.005	0.014	36.500	67.199	7.066	6.021	85.208	7.271	8.848	6.394
-18.642	-8.182	8.639	-8.859	-5.497	53.088	3.090	-15.390	-16.028	46.724	19.148	-16.176	-18.328	1.340	19.694	-3.491	-1.459	13.843	14.473	-8.531	6.107	17.796	18.602	-15.198	0.000	0.000	0.000	-1.004	-3.586	5.818	1.334	8.480	1.240	-19.278	63.485	0.000	-7.996	-1.075	0.000	-0.153	0.015	-0.001	-0.046	-0.005	-0.014	-0.026	0.013	-0.004	0.000	0.000	0.000	-0.161	-0.015	-0.026	-0.063	-0.015	-0.004	-0.018	0.001	0.002	0.000	0.000	0.000	-0.028	-0.102	-0.188	0.007	-0.062	0.076	-0.002	-0.001	-0.021	-0.002	-0.059	0.046	0.000	-0.007	-0.027	0.001	0.001	-0.011	0.609	-0.230	0.030	0.076	-0.010	0.013	39.764	63.325	6.805	5.648	89.639	7.036	8.485	6.283
